DanTh 1:1
ἐνύπνιόν N2N-ASN--- ἐνύπνιον
μου RP--GS---- ἐγώ
εἴπατέ VA--AAD2P- εἶπον
μοι RP--DS---- ἐγώ
καὶ C--------- καί
γνώσομαι VF--FMI1S- γιγνώσκω
ὅτι C--------- ὅτι
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτοῦ RD--GSN--- αὐτός
ἀναγγελεῖτέ VF2-FAI2P- ἀγγέλλω ἀνα
μοι RP--DS---- ἐγώ

DanTh 2:10
ἀπεκρίθησαν VCI-API3P- κρίνω ἀπο
οἱ RA--NPM--- ὁ
Χαλδαῖοι N2--NPM--- Χαλδαῖος
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
λέγουσιν V1--PAI3P- λέγω
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
ξηρᾶς A1A-GSF--- ξηρός
ὅστις RX--NSM--- ὅστις
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
δυνήσεται VF--FMI3S- δύναμαι
γνωρίσαι VA--AAN--- γνωρίζω
καθότι D--------- καθότι
πᾶς A3--NSM--- πᾶς
βασιλεὺς N3V-NSM--- βασιλεύς
μέγας A1P-NSM--- μέγας
καὶ C--------- καί
ἄρχων N3--NSM--- ἄρχων
ῥῆμα N3M-ASN--- ῥῆμα
τοιοῦτο RD--ASN--- τοιοῦτος
οὐκ D--------- οὐ
ἐπερωτᾷ V3--PAI3S- ἐρωτάω ἐπι
ἐπαοιδόν N2--ASM--- ἐπαοιδός
μάγον N2--ASM--- μάγος
καὶ C--------- καί
Χαλδαῖον N2--ASM--- Χαλδαῖος

DanTh 2:11
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
ὃν RR--ASM--- ὅς
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐπερωτᾷ V3--PAI3S- ἐρωτάω ἐπι
βαρύς A3U-NSM--- βαρύς
καὶ C--------- καί
ἕτερος A1A-NSM--- ἕτερος
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ὃς RR--NSM--- ὅς
ἀναγγελεῖ VF2-FAI3S- ἀγγέλλω ἀνα
αὐτὸν RD--ASM--- αὐτός
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
θεοί N2--NPM--- θεός
ὧν RR--GPM--- ὅς
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἡ RA--NSF--- ὁ
κατοικία N1A-NSF--- κατοικία
μετὰ P--------- μετά
πάσης A1S-GSF--- πᾶς
σαρκός N3K-GSF--- σάρξ

DanTh 2:12
τότε D--------- τότε
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐν P--------- ἐν
θυμῷ N2--DSM--- θυμός
καὶ C--------- καί
ὀργῇ N1--DSF--- ὀργή
πολλῇ A1--DSF--- πολύς
εἶπεν VBI-AAI3S- εἶπον
ἀπολέσαι VA--AAN--- ὀλλύω ἀπο
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
σοφοὺς A1--APM--- σοφός
Βαβυλῶνος N3W-GSF--- Βαβυλών

DanTh 2:13
καὶ C--------- καί
τὸ RA--NSN--- ὁ
δόγμα N3M-NSN--- δόγμα
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
σοφοὶ A1--NPM--- σοφός
ἀπεκτέννοντο V1I-IMI3P- κτείνω ἀπο
καὶ C--------- καί
ἐζήτησαν VAI-AAI3P- ζητέω
Δανιηλ N---ASM--- Δανιηλ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
φίλους A1--APM--- φίλος
αὐτοῦ RD--GSM--- αὐτός
ἀνελεῖν VB--AAN--- αἱρέω ἀνα

DanTh 2:14
τότε D--------- τότε
Δανιηλ N---NSM--- Δανιηλ
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
βουλὴν N1--ASF--- βουλή
καὶ C--------- καί
γνώμην N1--ASF--- γνώμη
τῷ RA--DSM--- ὁ
Αριωχ N---DSM--- Αριωχ
τῷ RA--DSM--- ὁ
ἀρχιμαγείρῳ N2--DSM--- ἀρχιμάγειρος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ὃς RR--NSM--- ὅς
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ἀναιρεῖν V2--PAN--- αἱρέω ἀνα
τοὺς RA--APM--- ὁ
σοφοὺς A1--APM--- σοφός
Βαβυλῶνος N3W-GSF--- Βαβυλών

DanTh 2:15
ἄρχων N3--VSM--- ἄρχων
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
περὶ P--------- περί
τίνος RI--GSN--- τίς
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ἡ RA--NSF--- ὁ
γνώμη N1--NSF--- γνώμη
ἡ RA--NSF--- ὁ
ἀναιδὴς A3H-NSM--- ἀναιδής
ἐκ P--------- ἐκ
προσώπου N2N-GSN--- πρόσωπον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἐγνώρισεν VAI-AAI3S- γνωρίζω
δὲ X--------- δέ
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
Αριωχ N---NSM--- Αριωχ
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ

DanTh 2:16
καὶ C--------- καί
Δανιηλ N---NSM--- Δανιηλ
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
καὶ C--------- καί
ἠξίωσεν VAI-AAI3S- ἀξιόω
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
ὅπως C--------- ὅπως
χρόνον N2--ASM--- χρόνος
δῷ VO--AAS3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτοῦ RD--GSN--- αὐτός
ἀναγγείλῃ VA--AAS3S- ἀγγέλλω ἀνα
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς

DanTh 2:17
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
Δανιηλ N---NSM--- Δανιηλ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Ανανια N---DSM--- Ανανιας
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Μισαηλ N---DSM--- Μισαηλ
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Αζαρια N---DSM--- Αζαριας
τοῖς RA--DPM--- ὁ
φίλοις A1--DPM--- φίλος
αὐτοῦ RD--GSM--- αὐτός
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
ἐγνώρισεν VAI-AAI3S- γνωρίζω

DanTh 2:18
καὶ C--------- καί
οἰκτιρμοὺς N2--APM--- οἰκτιρμός
ἐζήτουν V2I-IAI3P- ζητέω
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ὑπὲρ P--------- ὑπέρ
τοῦ RA--GSN--- ὁ
μυστηρίου N2N-GSN--- μυστήριον
τούτου RD--GSN--- οὗτος
ὅπως C--------- ὅπως
ἂν X--------- ἄν
μὴ D--------- μή
ἀπόλωνται VB--AMS3P- ὀλλύω ἀπο
Δανιηλ N---NSM--- Δανιηλ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
φίλοι A1--NPM--- φίλος
αὐτοῦ RD--GSM--- αὐτός
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
ἐπιλοίπων A1B-GPM--- ἐπίλοιπος
σοφῶν A1--GPM--- σοφός
Βαβυλῶνος N3W-GSF--- Βαβυλών

DanTh 2:19
τότε D--------- τότε
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
ἐν P--------- ἐν
ὁράματι N3M-DSN--- ὅραμα
τῆς RA--GSF--- ὁ
νυκτὸς N3--GSF--- νύξ
τὸ RA--NSN--- ὁ
μυστήριον N2N-NSN--- μυστήριον
ἀπεκαλύφθη VVI-API3S- καλύπτω ἀπο
καὶ C--------- καί
εὐλόγησεν VA--AAI3S- εὐλογέω
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός

DanTh 2:20
Δανιηλ N---NSM--- Δανιηλ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
εἴη V9--PAO3S- εἰμί
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
εὐλογημένον VM--XPPNSN εὐλογέω
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
αἰῶνος N3W-GSM--- αἰών
καὶ C--------- καί
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
αἰῶνος N3W-GSM--- αἰών
ὅτι C--------- ὅτι
ἡ RA--NSF--- ὁ
σοφία N1A-NSF--- σοφία
καὶ C--------- καί
ἡ RA--NSF--- ὁ
σύνεσις N3I-NSF--- σύνεσις
αὐτοῦ RD--GSM--- αὐτός
ἐστιν V9--PAI3S- εἰμί

DanTh 2:21
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
ἀλλοιοῖ V4--PAI3S- ἀλλοιόω
καιροὺς N2--APM--- καιρός
καὶ C--------- καί
χρόνους N2--APM--- χρόνος
καθιστᾷ V6--PAI3S- ἵστημι κατα
βασιλεῖς N3V-NPM--- βασιλεύς
καὶ C--------- καί
μεθιστᾷ V6--PAI3S- ἵστημι μετα
διδοὺς V8--PAPNSM δίδωμι
σοφίαν N1A-ASF--- σοφία
τοῖς RA--DPM--- ὁ
σοφοῖς A1--DPM--- σοφός
καὶ C--------- καί
φρόνησιν N3I-ASF--- φρόνησις
τοῖς RA--DPM--- ὁ
εἰδόσιν VX--XAPDPM οἶδα
σύνεσιν N3I-ASF--- σύνεσις

DanTh 2:22
αὐτὸς RD--NSM--- αὐτός
ἀποκαλύπτει V1--PAI3S- καλύπτω ἀπο
βαθέα A3U-APN--- βαθύς
καὶ C--------- καί
ἀπόκρυφα A1A-APN--- ἀπόκρυφος
γινώσκων V1--PAPNSM γιγνώσκω
τὰ RA--APN--- ὁ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
σκότει N3E-DSN--- σκότος
καὶ C--------- καί
τὸ RA--NSN--- ὁ
φῶς N3T-NSN--- φῶς
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
ἐστιν V9--PAI3S- εἰμί

DanTh 2:23
σοί RP--DS---- σύ
ὁ RA--VSM--- ὁ
θεὸς N2--VSM--- θεός
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
μου RP--GS---- ἐγώ
ἐξομολογοῦμαι V2--PMI1S- ὁμολογέω ἐκ
καὶ C--------- καί
αἰνῶ V2--PAI1S- αἰνέω
ὅτι C--------- ὅτι
σοφίαν N1A-ASF--- σοφία
καὶ C--------- καί
δύναμιν N3I-ASF--- δύναμις
ἔδωκάς VAI-AAI2S- δίδωμι
μοι RP--DS---- ἐγώ
καὶ C--------- καί
νῦν D--------- νῦν
ἐγνώρισάς VAI-AAI2S- γνωρίζω
μοι RP--DS---- ἐγώ
ἃ RR--APN--- ὅς
ἠξιώσαμεν VAI-AAI1P- ἀξιόω
παρὰ P--------- παρά
σοῦ RP--GS---- σύ
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ὅραμα N3M-ASN--- ὅραμα
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἐγνώρισάς VAI-AAI2S- γνωρίζω
μοι RP--DS---- ἐγώ

DanTh 2:24
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
Δανιηλ N---NSM--- Δανιηλ
πρὸς P--------- πρός
Αριωχ N---ASM--- Αριωχ
ὃν RR--ASM--- ὅς
κατέστησεν VAI-AAI3S- ἵστημι κατα
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἀπολέσαι VA--AAN--- ὀλλύω ἀπο
τοὺς RA--APM--- ὁ
σοφοὺς A1--APM--- σοφός
Βαβυλῶνος N3W-GSF--- Βαβυλών
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
τοὺς RA--APM--- ὁ
σοφοὺς A1--APM--- σοφός
Βαβυλῶνος N3W-GSF--- Βαβυλών
μὴ D--------- μή
ἀπολέσῃς VA--AAS2S- ὀλλύω ἀπο
εἰσάγαγε VB--AAD2S- ἄγω εἰς
δέ X--------- δέ
με RP--AS---- ἐγώ
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
ἀναγγελῶ VF2-FAI1S- ἀγγέλλω ἀνα

DanTh 2:25
τότε D--------- τότε
Αριωχ N---NSM--- Αριωχ
ἐν P--------- ἐν
σπουδῇ N1--DSF--- σπουδή
εἰσήγαγεν VBI-AAI3S- ἄγω εἰς
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
εὕρηκα VX--XAI1S- εὑρίσκω
ἄνδρα N3--ASM--- ἀνήρ
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία
ὅστις RX--NSM--- ὅστις
τὸ RA--ASN--- ὁ
σύγκριμα N3M-ASN--- σύγκριμα
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
ἀναγγελεῖ VF2-FAI3S- ἀγγέλλω ἀνα

DanTh 2:26
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
οὗ RR--GSM--- ὅς
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
Βαλτασαρ N---NSM--- Βαλτασαρ
εἰ C--------- εἰ
δύνασαί V6--PMI2S- δύναμαι
μοι RP--DS---- ἐγώ
ἀναγγεῖλαι VA--AAN--- ἀγγέλλω ἀνα
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
ὃ RR--ASN--- ὅς
εἶδον VBI-AAI3P- ὁράω
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτοῦ RD--GSN--- αὐτός

DanTh 2:27
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
Δανιηλ N---NSM--- Δανιηλ
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
λέγει V1--PAI3S- λέγω
τὸ RA--NSN--- ὁ
μυστήριον N2N-NSN--- μυστήριον
ὃ RR--ASN--- ὅς
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐπερωτᾷ V3--PAI3S- ἐρωτάω ἐπι
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
σοφῶν A1--GPM--- σοφός
μάγων N2--GPM--- μάγος
ἐπαοιδῶν N2--GPM--- ἐπαοιδός
γαζαρηνῶν N2--GPM--- γαζαρηνός
ἀναγγεῖλαι VA--AAN--- ἀγγέλλω ἀνα
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς

DanTh 2:28
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
ἔστιν V9--PAI3S- εἰμί
θεὸς N2--NSM--- θεός
ἐν P--------- ἐν
οὐρανῷ N2--DSM--- οὐρανός
ἀποκαλύπτων V1--PAPNSM καλύπτω ἀπο
μυστήρια N2N-APN--- μυστήριον
καὶ C--------- καί
ἐγνώρισεν VAI-AAI3S- γνωρίζω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
Ναβουχοδονοσορ N---DSM--- Ναβουχοδονοσορ
ἃ RR--NPN--- ὅς
δεῖ V2--PAI3S- δέω
γενέσθαι VB--AMN--- γίγνομαι
ἐπ' P--------- ἐπί
ἐσχάτων A1--GPF--- ἔσχατος
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα
τὸ RA--NSN--- ὁ
ἐνύπνιόν N2N-NSN--- ἐνύπνιον
σου RP--GS---- σύ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ὁράσεις N3I-NPF--- ὅρασις
τῆς RA--GSF--- ὁ
κεφαλῆς N1--GSF--- κεφαλή
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κοίτης N1--GSF--- κοίτη
σου RP--GS---- σύ
τοῦτό RD--NSN--- οὗτος
ἐστιν V9--PAI3S- εἰμί

DanTh 2:29
σὺ RP--VS---- σύ
βασιλεῦ N3V-VSM--- βασιλεύς
οἱ RA--NPM--- ὁ
διαλογισμοί N2--NPM--- διαλογισμός
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κοίτης N1--GSF--- κοίτη
σου RP--GS---- σύ
ἀνέβησαν VZI-AAI3P- βαίνω ἀνα
τί RI--NSN--- τίς
δεῖ V2--PAI3S- δέω
γενέσθαι VB--AMN--- γίγνομαι
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἀποκαλύπτων V1--PAPNSM καλύπτω ἀπο
μυστήρια N2N-APN--- μυστήριον
ἐγνώρισέν VAI-AAI3S- γνωρίζω
σοι RP--DS---- σύ
ἃ RR--NPN--- ὅς
δεῖ V2--PAI3S- δέω
γενέσθαι VB--AMN--- γίγνομαι

DanTh 2:30
καὶ C--------- καί
ἐμοὶ RP--DS---- ἐγώ
δὲ X--------- δέ
οὐκ D--------- οὐ
ἐν P--------- ἐν
σοφίᾳ N1A-DSF--- σοφία
τῇ RA--DSF--- ὁ
οὔσῃ V9--PAPDSF εἰμί
ἐν P--------- ἐν
ἐμοὶ RP--DS---- ἐγώ
παρὰ P--------- παρά
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ζῶντας V3--PAPAPM ζάω
τὸ RA--NSN--- ὁ
μυστήριον N2N-NSN--- μυστήριον
τοῦτο RD--NSN--- οὗτος
ἀπεκαλύφθη VVI-API3S- καλύπτω ἀπο
ἀλλ' C--------- ἀλλά
ἕνεκεν P--------- ἕνεκεν
τοῦ RA--GSN--- ὁ
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
γνωρίσαι VA--AAN--- γνωρίζω
ἵνα C--------- ἵνα
τοὺς RA--APM--- ὁ
διαλογισμοὺς N2--APM--- διαλογισμός
τῆς RA--GSF--- ὁ
καρδίας N1A-GSF--- καρδία
σου RP--GS---- σύ
γνῷς VZ--AAS2S- γιγνώσκω

DanTh 2:31
σύ RP--NS---- σύ
βασιλεῦ N3V-VSM--- βασιλεύς
ἐθεώρεις V2I-IAI2S- θεωρέω
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
εἰκὼν N3N-NSF--- εἰκών
μία A1A-NSF--- εἷς
μεγάλη A1--NSF--- μέγας
ἡ RA--NSF--- ὁ
εἰκὼν N3N-NSF--- εἰκών
ἐκείνη RD--NSF--- ἐκεῖνος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
πρόσοψις N3I-NSF--- πρόσοψις
αὐτῆς RD--GSF--- αὐτός
ὑπερφερής A3H-NSF--- ὑπερφερής
ἑστῶσα VXI-XAPNSF ἵστημι
πρὸ P--------- πρό
προσώπου N2N-GSN--- πρόσωπον
σου RP--GS---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις
αὐτῆς RD--GSF--- αὐτός
φοβερά A1A-NSF--- φοβερός

DanTh 2:32
ἡ RA--NSF--- ὁ
εἰκών N3N-NSF--- εἰκών
ἧς RR--GSF--- ὅς
ἡ RA--NSF--- ὁ
κεφαλὴ N1--NSF--- κεφαλή
χρυσίου N2N-GSN--- χρυσίον
χρηστοῦ A1--GSN--- χρηστός
αἱ RA--NPF--- ὁ
χεῖρες N3--NPF--- χείρ
καὶ C--------- καί
τὸ RA--NSN--- ὁ
στῆθος N3E-NSN--- στῆθος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
βραχίονες N3N-NPM--- βραχίων
αὐτῆς RD--GSF--- αὐτός
ἀργυροῖ A1C-NPM--- ἀργυροῦς
ἡ RA--NSF--- ὁ
κοιλία N1A-NSF--- κοιλία
καὶ C--------- καί
οἱ RA--NPM--- ὁ
μηροὶ N2--NPM--- μηρός
χαλκοῖ A1C-NPM--- χαλκοῦς

DanTh 2:33
αἱ RA--NPF--- ὁ
κνῆμαι N1--NPF--- κνήμη
σιδηραῖ A1C-NPF--- σιδηροῦς
οἱ RA--NPM--- ὁ
πόδες N3D-NPM--- πούς
μέρος N3E-NSN--- μέρος
τι RI--NSN--- τις
σιδηροῦν A1C-NSN--- σιδηροῦς
καὶ C--------- καί
μέρος N3E-NSN--- μέρος
τι RI--NSN--- τις
ὀστράκινον A1--NSN--- ὀστράκινος

DanTh 2:34
ἐθεώρεις V2I-IAI2S- θεωρέω
ἕως P--------- ἕως
οὗ RR--GSM--- ὅς
ἐτμήθη VCI-API3S- τέμνω
λίθος N2--NSM--- λίθος
ἐξ P--------- ἐκ
ὄρους N3E-GSN--- ὄρος
ἄνευ P--------- ἄνευ
χειρῶν N3--GPF--- χείρ
καὶ C--------- καί
ἐπάταξεν VAI-AAI3S- πατάσσω
τὴν RA--ASF--- ὁ
εἰκόνα N3N-ASF--- εἰκών
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
πόδας N3D-APM--- πούς
τοὺς RA--APM--- ὁ
σιδηροῦς A1C-APM--- σιδηροῦς
καὶ C--------- καί
ὀστρακίνους A1--APM--- ὀστράκινος
καὶ C--------- καί
ἐλέπτυνεν VAI-AAI3S- λεπτύνω
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
τέλος N3E-ASN--- τέλος

DanTh 2:35
τότε D--------- τότε
ἐλεπτύνθησαν VCI-API3P- λεπτύνω
εἰς P--------- εἰς
ἅπαξ D--------- ἅπαξ
τὸ RA--NSN--- ὁ
ὄστρακον N2N-NSN--- ὄστρακον
ὁ RA--NSM--- ὁ
σίδηρος N2--NSM--- σίδηρος
ὁ RA--NSM--- ὁ
χαλκός N2--NSM--- χαλκός
ὁ RA--NSM--- ὁ
ἄργυρος N2--NSM--- ἄργυρος
ὁ RA--NSM--- ὁ
χρυσὸς A1--NSM--- χρυσός
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
ὡσεὶ D--------- ὡσεί
κονιορτὸς N2--NSM--- κονιορτός
ἀπὸ P--------- ἀπό
ἅλωνος N3W-GSF--- ἅλων
θερινῆς A1--GSF--- θερινός
