Jos 1:1
καὶ C--------- καί
ποιήσετε VF--FAI2P- ποιέω
καὶ D--------- καί
ὑμεῖς RP--NP---- σύ
ἔλεος N3E-ASN--- ἔλεος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ

Jos 2:13
καὶ C--------- καί
ζωγρήσετε VF--FAI2P- ζωγρέω
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
μητέρα N3--ASF--- μήτηρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἀδελφούς N2--APM--- ἀδελφός
μου RP--GS---- ἐγώ
καὶ C--------- καί
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
οἶκόν N2--ASM--- οἶκος
μου RP--GS---- ἐγώ
καὶ C--------- καί
πάντα A3--APN--- πᾶς
ὅσα A1--NPN--- ὅσος
ἐστὶν V9--PAI3S- εἰμί
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
ἐξελεῖσθε VF2-FMI2P- αἱρέω ἐκ
τὴν RA--ASF--- ὁ
ψυχήν N1--ASF--- ψυχή
μου RP--GS---- ἐγώ
ἐκ P--------- ἐκ
θανάτου N2--GSM--- θάνατος

Jos 2:14
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
αὐτῇ RD--DSF--- αὐτός
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
ἡ RA--NSF--- ὁ
ψυχὴ N1--NSF--- ψυχή
ἡμῶν RP--GP---- ἐγώ
ἀνθ' P--------- ἀντί
ὑμῶν RP--GP---- σύ
εἰς P--------- εἰς
θάνατον N2--ASM--- θάνατος
καὶ C--------- καί
αὐτὴ RD--NSF--- αὐτός
εἶπεν VBI-AAI3S- εἶπον
ὡς C--------- ὡς
ἂν X--------- ἄν
παραδῷ VO--AAS3S- δίδωμι παρα
κύριος N2--NSM--- κύριος
ὑμῖν RP--DP---- σύ
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
ποιήσετε VF--FAI2P- ποιέω
εἰς P--------- εἰς
ἐμὲ RP--AS---- ἐγώ
ἔλεος N3E-ASN--- ἔλεος
καὶ C--------- καί
ἀλήθειαν N1A-ASF--- ἀλήθεια

Jos 2:15
καὶ C--------- καί
κατεχάλασεν VAI-AAI3S- χαλάω κατα
αὐτοὺς RD--APM--- αὐτός
διὰ P--------- διά
τῆς RA--GSF--- ὁ
θυρίδος N3D-GSF--- θυρίς

Jos 2:16
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ὀρεινὴν N1--ASF--- ὀρεινή
ἀπέλθετε VB--AAD2P- ἔρχομαι ἀπο
μὴ D--------- μή
συναντήσωσιν VA--AAS3P- ἀντάω συν
ὑμῖν RP--DP---- σύ
οἱ RA--NPM--- ὁ
καταδιώκοντες V1--PAPNPM διώκω κατα
καὶ C--------- καί
κρυβήσεσθε VD--FPI2P- κρύπτω
ἐκεῖ D--------- ἐκεῖ
τρεῖς A3--APF--- τρεῖς
ἡμέρας N1A-APF--- ἡμέρα
ἕως C--------- ἕως
ἂν X--------- ἄν
ἀποστρέψωσιν VA--AAS3P- στρέφω ἀπο
οἱ RA--NPM--- ὁ
καταδιώκοντες V1--PAPNPM διώκω κατα
ὀπίσω P--------- ὀπίσω
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
ἀπελεύσεσθε VF--FMI2P- ἔρχομαι ἀπο
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
ὑμῶν RP--GP---- σύ

Jos 2:17
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
πρὸς P--------- πρός
αὐτήν RD--ASF--- αὐτός
ἀθῷοί A1B-NPM--- ἀθῷος
ἐσμεν V9--PAI1P- εἰμί
τῷ RA--DSM--- ὁ
ὅρκῳ N2--DSM--- ὅρκος
σου RP--GS---- σύ
τούτῳ RD--DSM--- οὗτος

Jos 2:18
ἰδοὺ I--------- ἰδού
ἡμεῖς RP--NP---- ἐγώ
εἰσπορευόμεθα V1--PMI1P- πορεύομαι εἰς
εἰς P--------- εἰς
μέρος N3E-ASN--- μέρος
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
καὶ C--------- καί
θήσεις VF--FAI2S- τίθημι
τὸ RA--ASN--- ὁ
σημεῖον N2--ASN--- σημεῖον
τὸ RA--ASN--- ὁ
σπαρτίον N2--ASN--- σπαρτίον
τὸ RA--ASN--- ὁ
κόκκινον A1--ASN--- κόκκινος
τοῦτο RD--ASN--- οὗτος
ἐκδήσεις VF--FAI2S- δέω ἐκ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
θυρίδα N3D-ASF--- θυρίς
δι' P--------- διά
ἧς RR--GSF--- ὅς
κατεβίβασας VAI-AAI2S- βιβάζω κατα
ἡμᾶς RP--AP---- ἐγώ
δι' P--------- διά
αὐτῆς RD--GSF--- αὐτός
τὸν RA--ASM--- ὁ
δὲ X--------- δέ
πατέρα N3--ASM--- πατήρ
σου RP--GS---- σύ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
μητέρα N3--ASF--- μήτηρ
σου RP--GS---- σύ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἀδελφούς N2--APM--- ἀδελφός
σου RP--GS---- σύ
καὶ C--------- καί
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
σου RP--GS---- σύ
συνάξεις VF--FAI2S- ἄγω συν
πρὸς P--------- πρός
σεαυτὴν RD--ASF--- σεαυτοῦ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
οἰκίαν N1A-ASF--- οἰκία
σου RP--GS---- σύ

Jos 2:19
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
πᾶς A3--NSM--- πᾶς
ὃς RR--NSM--- ὅς
ἂν X--------- ἄν
ἐξέλθῃ VB--AAS3S- ἔρχομαι ἐκ
τὴν RA--ASF--- ὁ
θύραν N1A-ASF--- θύρα
τῆς RA--GSF--- ὁ
οἰκίας N1A-GSF--- οἰκία
σου RP--GS---- σύ
ἔξω D--------- ἔξω
ἔνοχος A1B-NSM--- ἔνοχος
ἑαυτῷ RD--DSM--- ἑαυτοῦ
ἔσται VF--FMI3S- εἰμί
ἡμεῖς RP--NP---- ἐγώ
δὲ X--------- δέ
ἀθῷοι A1--NPM--- ἀθῷος
τῷ RA--DSM--- ὁ
ὅρκῳ N2--DSM--- ὅρκος
σου RP--GS---- σύ
τούτῳ RD--DSM--- οὗτος
καὶ C--------- καί
ὅσοι A1--NPM--- ὅσος
ἐὰν C--------- ἐάν
γένωνται VB--AMS3P- γίγνομαι
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
οἰκίᾳ N1A-DSF--- οἰκία
σου RP--GS---- σύ
ἡμεῖς RP--NP---- ἐγώ
ἔνοχοι A1B-NPM--- ἔνοχος
ἐσόμεθα VF--FMI1P- εἰμί

Jos 2:20
ἐὰν C--------- ἐάν
δέ X--------- δέ
τις RI--NSM--- τις
ἡμᾶς RP--AP---- ἐγώ
ἀδικήσῃ VA--AAS3S- ἀδικέω
ἢ C--------- ἤ
καὶ D--------- καί
ἀποκαλύψῃ VA--AAS3S- καλύπτω ἀπο
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
ἡμῶν RP--GP---- ἐγώ
τούτους RD--APM--- οὗτος
ἐσόμεθα VF--FMI1P- εἰμί
ἀθῷοι A1--NPM--- ἀθῷος
τῷ RA--DSM--- ὁ
ὅρκῳ N2--DSM--- ὅρκος
σου RP--GS---- σύ
τούτῳ RD--DSM--- οὗτος

Jos 2:21
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
ὑμῶν RP--GP---- σύ
οὕτως D--------- οὕτως
ἔστω V9--PAD3S- εἰμί
καὶ C--------- καί
ἐξαπέστειλεν VAI-AAI3S- στέλλω ἐκ ἀπο
αὐτούς RD--APM--- αὐτός

Jos 2:22
καὶ C--------- καί
ἐπορεύθησαν VCI-API3P- πορεύομαι
καὶ C--------- καί
ἤλθοσαν VBI-AAI3P- ἔρχομαι
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ὀρεινὴν N1--ASF--- ὀρεινή
καὶ C--------- καί
κατέμειναν VAI-AAI3P- μένω κατα
ἐκεῖ D--------- ἐκεῖ
τρεῖς A3--APF--- τρεῖς
ἡμέρας N1A-APF--- ἡμέρα
καὶ C--------- καί
ἐξεζήτησαν VAI-AAI3P- ζητέω ἐκ
οἱ RA--NPM--- ὁ
καταδιώκοντες V1--PAPNPM διώκω κατα
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ὁδοὺς N2--APF--- ὁδός
καὶ C--------- καί
οὐχ D--------- οὐ
εὕροσαν VA--AAI3P- εὑρίσκω

Jos 2:23
καὶ C--------- καί
ὑπέστρεψαν VAI-AAI3P- στρέφω ὑπο
οἱ RA--NPM--- ὁ
δύο M--------- δύο
νεανίσκοι N2--NPM--- νεανίσκος
καὶ C--------- καί
κατέβησαν VZI-AAI3P- βαίνω κατα
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
ὄρους N3E-GSN--- ὄρος
καὶ C--------- καί
διέβησαν VZI-AAI3P- βαίνω δια
πρὸς P--------- πρός
Ἰησοῦν N---ASM--- Ἰησοῦς
υἱὸν N2--ASM--- υἱός
Ναυη N---GS---- Ναυη
καὶ C--------- καί
διηγήσαντο VAI-AMI3P- ἡγέομαι δια
αὐτῷ RD--DSM--- αὐτός
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
συμβεβηκότα VX--XAPAPN βαίνω συν
αὐτοῖς RD--DPM--- αὐτός

Jos 2:24
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
πρὸς P--------- πρός
Ἰησοῦν N---ASM--- Ἰησοῦς
ὅτι C--------- ὅτι
παρέδωκεν VAI-AAI3S- δίδωμι παρα
κύριος N2--NSM--- κύριος
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
κατέπτηκεν VX--XAI3S- πτήσσω κατα
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
κατοικῶν V2--PAPNSM οἰκέω κατα
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἐκείνην RD--ASF--- ἐκεῖνος
ἀφ' P--------- ἀπό
ἡμῶν RP--GP---- ἐγώ

Jos 3:1
καὶ C--------- καί
ὤρθρισεν VAI-AAI3S- ὀρθρίζω
Ἰησοῦς N---NSM--- Ἰησοῦς
τὸ RA--ASN--- ὁ
πρωί D--------- πρωΐ
καὶ C--------- καί
ἀπῆραν VAI-AAI3P- αἴρω ἀπο
ἐκ P--------- ἐκ
Σαττιν N---G----- Σαττιν
καὶ C--------- καί
ἤλθοσαν VBI-AAI3P- ἔρχομαι
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
καὶ C--------- καί
κατέλυσαν VAI-AAI3P- λύω κατα
ἐκεῖ D--------- ἐκεῖ
πρὸ P--------- πρό
τοῦ RA--GSN--- ὁ
διαβῆναι VZ--AAN--- βαίνω δια

Jos 3:2
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
μετὰ P--------- μετά
τρεῖς A3--APF--- τρεῖς
ἡμέρας N1A-APF--- ἡμέρα
διῆλθον VBI-AAI3P- ἔρχομαι δια
οἱ RA--NPM--- ὁ
γραμματεῖς N3V-NPM--- γραμματεύς
διὰ P--------- διά
τῆς RA--GSF--- ὁ
παρεμβολῆς N1--GSF--- παρεμβολή

Jos 3:3
καὶ C--------- καί
ἐνετείλαντο VAI-AMI3P- τέλλομαι ἐν
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
λέγοντες V1--PAPNPM λέγω
ὅταν D--------- ὅταν
ἴδητε VB--AAS2P- ὁράω
τὴν RA--ASF--- ὁ
κιβωτὸν N2--ASF--- κιβωτός
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἱερεῖς N3V-APM--- ἱερεύς
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
Λευίτας N1M-APM--- Λευίτης
αἴροντας V1--PAPAPM αἴρω
αὐτήν RD--ASF--- αὐτός
ἀπαρεῖτε VF2-FAI2P- αἴρω ἀπο
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
τόπων N2--GPM--- τόπος
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
πορεύεσθε V1--PMD2P- πορεύομαι
ὀπίσω P--------- ὀπίσω
αὐτῆς RD--GSF--- αὐτός

Jos 3:4
ἀλλὰ C--------- ἀλλά
μακρὰν D--------- μακράν
ἔστω V9--PAD3S- εἰμί
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἐκείνης RD--GSF--- ἐκεῖνος
ὅσον A1--ASN--- ὅσος
δισχιλίους A1A-APM--- δισχίλιοι
πήχεις N3I-APM--- πῆχυς
στήσεσθε VF--FMI2P- ἵστημι
μὴ D--------- μή
προσεγγίσητε VA--AAS2P- ἐγγίζω προς
αὐτῇ RD--DSF--- αὐτός
ἵν' C--------- ἵνα
ἐπίστησθε V6--PMS2P- ἐπίσταμαι
τὴν RA--ASF--- ὁ
ὁδόν N2--ASF--- ὁδός
ἣν RR--ASF--- ὅς
πορεύεσθε V1--PMI2P- πορεύομαι
αὐτήν RD--ASF--- αὐτός
οὐ D--------- οὐ
γὰρ X--------- γάρ
πεπόρευσθε VM--XMI2P- πορεύομαι
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
ἀπ' P--------- ἀπό
ἐχθὲς D--------- χθές
καὶ C--------- καί
τρίτης A1--GSF--- τρίτος
ἡμέρας N1A-GSF--- ἡμέρα

Jos 3:5
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ἰησοῦς N---NSM--- Ἰησοῦς
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
ἁγνίσασθε VA--AMD2P- ἁγνίζω
εἰς P--------- εἰς
αὔριον D--------- αὔριον
ὅτι C--------- ὅτι
αὔριον D--------- αὔριον
ποιήσει VF--FAI3S- ποιέω
ἐν P--------- ἐν
ὑμῖν RP--DP---- σύ
κύριος N2--NSM--- κύριος
θαυμαστά A1--APN--- θαυμαστός

Jos 3:6
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ἰησοῦς N---NSM--- Ἰησοῦς
τοῖς RA--DPM--- ὁ
ἱερεῦσιν N3V-DPM--- ἱερεύς
ἄρατε VA--AAD2P- αἴρω
τὴν RA--ASF--- ὁ
κιβωτὸν N2--ASF--- κιβωτός
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
προπορεύεσθε V1--PMD2P- πορεύομαι προ
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
καὶ C--------- καί
ἦραν VAI-AAI3P- αἴρω
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
τὴν RA--ASF--- ὁ
κιβωτὸν N2--ASF--- κιβωτός
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἐπορεύοντο V1I-IMI3P- πορεύομαι
ἔμπροσθεν P--------- ἔμπροσθεν
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός

Jos 3:7
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
Ἰησοῦν N---ASM--- Ἰησοῦς
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ταύτῃ RD--DSF--- οὗτος
ἄρχομαι V1--PMI1S- ἄρχω
ὑψῶσαί VA--AAN--- ὑψόω
σε RP--AS---- σύ
κατενώπιον P--------- κατενώπιον
πάντων A3--GPM--- πᾶς
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἵνα C--------- ἵνα
γνῶσιν VZ--AAS3P- γιγνώσκω
καθότι D--------- καθότι
ἤμην V9I-IMI1S- εἰμί
μετὰ P--------- μετά
Μωυσῆ N1M-GSM--- Μωυσῆς
οὕτως D--------- οὕτως
ἔσομαι VF--FMI1S- εἰμί
καὶ D--------- καί
μετὰ P--------- μετά
σοῦ RP--GS---- σύ

Jos 3:8
καὶ C--------- καί
νῦν D--------- νῦν
ἔντειλαι VA--AMD2S- τέλλομαι ἐν
τοῖς RA--DPM--- ὁ
ἱερεῦσιν N3V-DPM--- ἱερεύς
τοῖς RA--DPM--- ὁ
αἴρουσιν V1--PAPDPM αἴρω
τὴν RA--ASF--- ὁ
κιβωτὸν N2--ASF--- κιβωτός
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
λέγων V1--PAPNSM λέγω
ὡς C--------- ὡς
ἂν X--------- ἄν
εἰσέλθητε VB--AAS2P- ἔρχομαι εἰς
ἐπὶ P--------- ἐπί
μέρους N3E-GSN--- μέρος
τοῦ RA--GSN--- ὁ
ὕδατος N3T-GSN--- ὕδωρ
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Ιορδάνῃ N1M-DSM--- Ἰορδάνης
στήσεσθε VF--FMI2P- ἵστημι

Jos 3:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ἰησοῦς N---NSM--- Ἰησοῦς
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
προσαγάγετε VB--AAD2P- ἄγω προς
ὧδε D--------- ὧδε
καὶ C--------- καί
ἀκούσατε VA--AAD2P- ἀκούω
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ

Jos 3:10
ἐν P--------- ἐν
τούτῳ RD--DSN--- οὗτος
γνώσεσθε VF--FMI2P- γιγνώσκω
ὅτι C--------- ὅτι
θεὸς N2--NSM--- θεός
ζῶν V3--PAPNSM ζάω
ἐν P--------- ἐν
ὑμῖν RP--DP---- σύ
καὶ C--------- καί
ὀλεθρεύων V1--PAPNSM ὀλεθρεύω
ὀλεθρεύσει VF--FAI3S- ὀλεθρεύω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
ἡμῶν RP--GP---- ἐγώ
τὸν RA--ASM--- ὁ
Χαναναῖον N2--ASM--- Χαναναῖος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Χετταῖον N2--ASM--- Χετταῖος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Φερεζαῖον N2--ASM--- Φερεζαῖος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Ευαῖον N2--ASM--- Ευαῖος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Αμορραῖον N2--ASM--- Ἀμορραῖος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Γεργεσαῖον N2--ASM--- Γεργεσαῖος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Ιεβουσαῖον N2--ASM--- Ιεβουσαῖος

Jos 3:11
ἰδοὺ I--------- ἰδού
ἡ RA--NSF--- ὁ
κιβωτὸς N2--NSF--- κιβωτός
διαθήκης N1--GSF--- διαθήκη
κυρίου N2--GSM--- κύριος
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
διαβαίνει V1--PAI3S- βαίνω δια
τὸν RA--ASM--- ὁ
Ιορδάνην N1M-ASM--- Ἰορδάνης

Jos 3:12
προχειρίσασθε VA--AMD2P- χειρέω προ
ὑμῖν RP--DP---- σύ
δώδεκα M--------- δώδεκα
ἄνδρας N3--APM--- ἀνήρ
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἕνα A3--ASM--- εἷς
ἀφ' P--------- ἀπό
ἑκάστης A1--GSF--- ἕκαστος
φυλῆς N1--GSF--- φυλή

Jos 3:13
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ὡς C--------- ὡς
ἂν X--------- ἄν
καταπαύσωσιν VA--AAS3P- παύω κατα
οἱ RA--NPM--- ὁ
πόδες N3D-NPM--- πούς
τῶν RA--GPM--- ὁ
ἱερέων N3V-GPM--- ἱερεύς
τῶν RA--GPM--- ὁ
αἰρόντων V1--PAPGPM αἴρω
τὴν RA--ASF--- ὁ
κιβωτὸν N2--ASF--- κιβωτός
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
κυρίου N2--GSM--- κύριος
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ὕδατι N3T-DSN--- ὕδωρ
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
τὸ RA--NSN--- ὁ
ὕδωρ N3T-NSN--- ὕδωρ
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
ἐκλείψει VF--FAI3S- λείπω ἐκ
τὸ RA--NSN--- ὁ
δὲ X--------- δέ
ὕδωρ N3T-NSN--- ὕδωρ
τὸ RA--NSN--- ὁ
καταβαῖνον V1--PAPNSN βαίνω κατα
στήσεται VF--FMI3S- ἵστημι

Jos 3:14
καὶ C--------- καί
ἀπῆρεν VAI-AAI3S- αἴρω ἀπο
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
ἐκ P--------- ἐκ
τῶν RA--GPN--- ὁ
σκηνωμάτων N3M-GPN--- σκήνωμα
αὐτῶν RD--GPM--- αὐτός
διαβῆναι VZ--AAN--- βαίνω δια
τὸν RA--ASM--- ὁ
Ιορδάνην N1S-ASM--- Ἰορδάνης
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
ἱερεῖς N3V-NPM--- ἱερεύς
ἤροσαν VAI-AAI3P- αἰρω
τὴν RA--ASF--- ὁ
κιβωτὸν N2--ASF--- κιβωτός
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
κυρίου N2--GSM--- κύριος
πρότεροι A1A-NPMC-- πρότερος
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός

Jos 3:15
ὡς C--------- ὡς
δὲ X--------- δέ
εἰσεπορεύοντο V1I-IMI3P- πορεύομαι εἰς
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
οἱ RA--NPM--- ὁ
αἴροντες V1--PAPNPM αἴρω
τὴν RA--ASF--- ὁ
κιβωτὸν N2--ASF--- κιβωτός
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
Ιορδάνην N1M-ASM--- Ἰορδάνης
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πόδες N3D-NPM--- πούς
τῶν RA--GPM--- ὁ
ἱερέων N3V-GPM--- ἱερεύς
