Est 1:1a
Περσῶν N1M-GPM--- Πέρσης
καὶ C--------- καί
Μήδων N2--GPM--- Μῆδοι
ἀκούσασαι VA--AAPNPF ἀκούω
τὰ RA--APN--- ὁ
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
λεχθέντα VQ--APPAPN λέγω
ὑπ' P--------- ὑπό
αὐτῆς RD--GSF--- αὐτός
τολμήσουσιν VF--FAI3P- τολμάω
ὁμοίως D--------- ὁμοίως
ἀτιμάσαι VA--AAN--- ἀτιμάζω
τοὺς RA--APM--- ὁ
ἄνδρας N3--APM--- ἀνήρ
αὐτῶν RD--GPF--- αὐτός

Est 1:19
εἰ C--------- εἰ
οὖν X--------- οὖν
δοκεῖ V2--PAI3S- δοκέω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
προσταξάτω VA--AAD3S- τάσσω προς
βασιλικόν A1--ASN--- βασιλικός
καὶ C--------- καί
γραφήτω VD--APD3S- γράφω
κατὰ P--------- κατά
τοὺς RA--APM--- ὁ
νόμους N2--APM--- νόμος
Μήδων N2--GPM--- Μῆδοι
καὶ C--------- καί
Περσῶν N1M-GPM--- Πέρσης
καὶ C--------- καί
μὴ D--------- μή
ἄλλως D--------- ἄλλως
χρησάσθω VA--AMD3S- χράω
μηδὲ C--------- μηδέ
εἰσελθάτω VA--AAD3S- ἔρχομαι εἰς
ἔτι D--------- ἔτι
ἡ RA--NSF--- ὁ
βασίλισσα N1A-NSF--- βασίλισσα
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
αὐτῆς RD--GSF--- αὐτός
δότω VO--AAD3S- δίδωμι
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
γυναικὶ N3K-DSF--- γυνή
κρείττονι A3C-DSF--- κρείσσων
αὐτῆς RD--GSF--- αὐτός

Est 1:20
καὶ C--------- καί
ἀκουσθήτω VC--APD3S- ἀκούω
ὁ RA--NSM--- ὁ
νόμος N2--NSM--- νόμος
ὁ RA--NSM--- ὁ
ὑπὸ P--------- ὑπό
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ὃν RR--ASM--- ὅς
ἐὰν C--------- ἐάν
ποιῇ V2--PAS3S- ποιέω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οὕτως D--------- οὕτως
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
περιθήσουσιν VF--FAI3P- τίθημι περι
τιμὴν N1--ASF--- τιμή
τοῖς RA--DPM--- ὁ
ἀνδράσιν N3--DPM--- ἀνήρ
ἑαυτῶν RD--GPF--- ἑαυτοῦ
ἀπὸ P--------- ἀπό
πτωχοῦ N2--GSM--- πτωχός
ἕως P--------- ἕως
πλουσίου A1A-GSF--- πλούσιος

Est 1:21
καὶ C--------- καί
ἤρεσεν VAI-AAI3S- ἀρέσκω
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἄρχουσι N3--DPM--- ἄρχων
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καθὰ D--------- καθά
ἐλάλησεν VAI-AAI3S- λαλέω
ὁ RA--NSM--- ὁ
Μουχαιος N2--NSM--- Μουχαῖος

Est 1:22
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
εἰς P--------- εἰς
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
κατὰ P--------- κατά
χώραν N1A-ASF--- χώρα
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
λέξιν N3I-ASF--- λέξις
αὐτῶν RD--GPM--- αὐτός
ὥστε C--------- ὥστε
εἶναι V9--PAN--- εἰμί
φόβον N2--ASM--- φόβος
αὐτοῖς RD--DPM--- αὐτός
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
οἰκίαις N1A-DPF--- οἰκία
αὐτῶν RD--GPM--- αὐτός

Est 2:1
καὶ C--------- καί
μετὰ P--------- μετά
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τούτους RD--APM--- οὗτος
ἐκόπασεν VAI-AAI3S- κοπάζω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τοῦ RA--GSM--- ὁ
θυμοῦ N2--GSM--- θυμός
καὶ C--------- καί
οὐκέτι D--------- οὐκέτι
ἐμνήσθη VSI-API3S- μιμνήσκω
τῆς RA--GSF--- ὁ
Αστιν N---GSF--- Αστιν
μνημονεύων V1--PAPNSM μνημονεύω
οἷα A1A-APN--- οἷος
ἐλάλησεν VAI-AAI3S- λαλέω
καὶ C--------- καί
ὡς C--------- ὡς
κατέκρινεν VAI-AAI3S- κρίνω κατα
αὐτήν RD--ASF--- αὐτός

Est 2:2
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
οἱ RA--NPM--- ὁ
διάκονοι N2--NPM--- διάκονος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ζητηθήτω VA--APD3S- ζητέω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
κοράσια N2N-APN--- κοράσιον
ἄφθορα A1B-APN--- ἄφθορος
καλὰ A1--APN--- καλός
τῷ RA--DSN--- ὁ
εἴδει N3E-DSN--- εἶδος

Est 2:3
καὶ C--------- καί
καταστήσει VF--FAI3S- ἵστημι κατα
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
κωμάρχας N1M-APM--- κωμάρχης
ἐν P--------- ἐν
πάσαις A1S-DPF--- πᾶς
ταῖς RA--DPF--- ὁ
χώραις N1A-DPF--- χώρα
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπιλεξάτωσαν VA--AAD3P- λέγω ἐπι
κοράσια N2N-APN--- κοράσιον
παρθενικὰ A1--APN--- παρθενικός
καλὰ A1--APN--- καλός
τῷ RA--DSN--- ὁ
εἴδει N3E-DSN--- εἶδος
εἰς P--------- εἰς
Σουσαν N---AS---- Σουσαν
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
γυναικῶνα N3W-ASM--- γυναικών
καὶ C--------- καί
παραδοθήτωσαν VC--APD3P- δίδωμι παρα
τῷ RA--DSM--- ὁ
εὐνούχῳ N2--DSM--- εὐνοῦχος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
τῷ RA--DSM--- ὁ
φύλακι N3K-DSM--- φύλαξ
τῶν RA--GPF--- ὁ
γυναικῶν N3K-GPF--- γυνή
καὶ C--------- καί
δοθήτω VC--APD3S- δίδωμι
σμῆγμα N3M-NSN--- σμῆγμα
καὶ C--------- καί
ἡ RA--NSF--- ὁ
λοιπὴ A1--NSF--- λοιπός
ἐπιμέλεια N1A-NSF--- ἐπιμέλεια

Est 2:4
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γυνή N3K-NSF--- γυνή
ἣ RR--NSF--- ὅς
ἂν X--------- ἄν
ἀρέσῃ VA--AAS3S- ἀρέσκω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
βασιλεύσει VF--FAI3S- βασιλεύω
ἀντὶ P--------- ἀντί
Αστιν N---GSF--- Αστιν
καὶ C--------- καί
ἤρεσεν VAI-AAI3S- ἀρέσκω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
τὸ RA--NSN--- ὁ
πρᾶγμα N3M-NSN--- πρᾶγμα
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
οὕτως D--------- οὕτως

Est 2:5
καὶ C--------- καί
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἦν V9--IAI3S- εἰμί
Ιουδαῖος N2--NSM--- Ἰουδαῖος
ἐν P--------- ἐν
Σούσοις N---DPN--- Σουσά
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις
καὶ C--------- καί
ὄνομα N3M-NSN--- ὄνομα
αὐτῷ RD--DSM--- αὐτός
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ὁ RA--NSM--- ὁ
τοῦ RA--GSM--- ὁ
Ιαϊρου N2--GSM--- Ιαϊρος
τοῦ RA--GSM--- ὁ
Σεμεϊου N---GSM--- Σεμεϊας
τοῦ RA--GSM--- ὁ
Κισαιου N---GSM--- Κισαιας
ἐκ P--------- ἐκ
φυλῆς N1--GSF--- φυλή
Βενιαμιν N---GSM--- Βενιαμίν

Est 2:6
ὃς RR--NSM--- ὅς
ἦν V9--IAI3S- εἰμί
αἰχμάλωτος A1B-NSM--- αἰχμάλωτος
ἐξ P--------- ἐκ
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ἣν RR--ASF--- ὅς
ᾐχμαλώτευσεν VAI-AAI3S- αἰχμαλωτεύω
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
βασιλεὺς N3V-NSM--- βασιλεύς
Βαβυλῶνος N3W-GSM--- Βαβυλών

Est 2:7
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
τούτῳ RD--DSM--- οὗτος
παῖς N3D-NSN--- παῖς
θρεπτή N1--NSF--- θρεπτή
θυγάτηρ N3R-NSF--- θυγάτηρ
Αμιναδαβ N---GSM--- Αμιναδαβ
ἀδελφοῦ N2--GSM--- ἀδελφός
πατρὸς N3--GSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ὄνομα N3M-NSN--- ὄνομα
αὐτῇ RD--DSF--- αὐτός
Εσθηρ N---NSF--- Εσθηρ
ἐν P--------- ἐν
δὲ X--------- δέ
τῷ RA--DSN--- ὁ
μεταλλάξαι VA--AAN--- ἀλλάσσω μετα
αὐτῆς RD--GSF--- αὐτός
τοὺς RA--APM--- ὁ
γονεῖς N3V-APM--- γονεύς
ἐπαίδευσεν VAI-AAI3S- παιδεύω
αὐτὴν RD--ASF--- αὐτός
ἑαυτῷ RD--DSM--- ἑαυτοῦ
εἰς P--------- εἰς
γυναῖκα N3K-ASF--- γυνή
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
τὸ RA--NSN--- ὁ
κοράσιον N2N-NSN--- κοράσιον
καλὸν A1--NSN--- καλός
τῷ RA--DSN--- ὁ
εἴδει N3E-DSN--- εἶδος

Est 2:8
καὶ C--------- καί
ὅτε D--------- ὅτε
ἠκούσθη VA--API3S- ἀκούω
τὸ RA--NSN--- ὁ
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
πρόσταγμα N3M-NSN--- πρόσταγμα
συνήχθησαν VQI-API3P- ἄγω συν
κοράσια N2N-NPN--- κοράσιον
πολλὰ A1--NPN--- πολύς
εἰς P--------- εἰς
Σουσαν N---AS---- Σουσαν
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
ὑπὸ P--------- ὑπό
χεῖρα N3--ASF--- χείρ
Γαι N---GSM--- Γαι
καὶ C--------- καί
ἤχθη VCI-API3S- ἄγω
Εσθηρ N---NSF--- Εσθηρ
πρὸς P--------- πρός
Γαι N---ASM--- Γαι
τὸν RA--ASM--- ὁ
φύλακα N3K-ASM--- φύλαξ
τῶν RA--GPF--- ὁ
γυναικῶν N3K-GPF--- γυνή

Est 2:9
καὶ C--------- καί
ἤρεσεν VAI-AAI3S- ἀρέσκω
αὐτῷ RD--DSM--- αὐτός
τὸ RA--NSN--- ὁ
κοράσιον N2N-NSN--- κοράσιον
καὶ C--------- καί
εὗρεν VB--AAI3S- εὑρίσκω
χάριν N3--ASF--- χάρις
ἐνώπιον P--------- ἐνώπιον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔσπευσεν VAI-AAI3S- σπεύδω
αὐτῇ RD--DSF--- αὐτός
δοῦναι VO--AAN--- δίδωμι
τὸ RA--ASN--- ὁ
σμῆγμα N3M-ASN--- σμῆγμα
καὶ C--------- καί
τὴν RA--ASF--- ὁ
μερίδα N3D-ASF--- μερίς
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἑπτὰ M--------- ἑπτά
κοράσια N2N-APN--- κοράσιον
τὰ RA--APN--- ὁ
ἀποδεδειγμένα VK--XMPAPN δεικνύω ἀπο
αὐτῇ RD--DSF--- αὐτός
ἐκ P--------- ἐκ
βασιλικοῦ A1--GSN--- βασιλικός
καὶ C--------- καί
ἐχρήσατο VAI-AMI3S- χράω
αὐτῇ RD--DSF--- αὐτός
καλῶς D--------- καλῶς
καὶ C--------- καί
ταῖς RA--DPF--- ὁ
ἅβραις N1A-DPF--- ἅβρα
αὐτῆς RD--GSF--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
γυναικῶνι N3W-DSM--- γυναικών

Est 2:10
καὶ C--------- καί
οὐχ D--------- οὐ
ὑπέδειξεν VAI-AAI3S- δεικνύω ὑπο
Εσθηρ N---NSF--- Εσθηρ
τὸ RA--ASN--- ὁ
γένος N3E-ASN--- γένος
αὐτῆς RD--GSF--- αὐτός
οὐδὲ C--------- οὐδέ
τὴν RA--ASF--- ὁ
πατρίδα N3D-ASF--- πατρίς
ὁ RA--NSM--- ὁ
γὰρ X--------- γάρ
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ἐνετείλατο VAI-AMI3S- τέλλω ἐν
αὐτῇ RD--DSF--- αὐτός
μὴ D--------- μή
ἀπαγγεῖλαι VA--AAN--- ἀγγέλλω ἀπο

Est 2:11
καθ' P--------- κατά
ἑκάστην A1--ASF--- ἕκαστος
δὲ X--------- δέ
ἡμέραν N1A-ASF--- ἡμέρα
ὁ RA--NSM--- ὁ
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
περιεπάτει V2I-IAI3S- πατέω περι
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
τὴν RA--ASF--- ὁ
γυναικείαν A1A-ASF--- γυναικεῖος
ἐπισκοπῶν V2--PAPNSM σκοπέω ἐπι
τί RI--NSN--- τίς
Εσθηρ N---DSF--- Εσθηρ
συμβήσεται VF--FMI3S- βαίνω συν

Est 2:12
οὗτος RD--NSM--- οὗτος
δὲ X--------- δέ
ἦν V9--IAI3S- εἰμί
καιρὸς N2--NSM--- καιρός
κορασίου N2N-GSN--- κοράσιον
εἰσελθεῖν VB--AAN--- ἔρχομαι εἰς
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
ὅταν D--------- ὅταν
ἀναπληρώσῃ VA--AAS3S- πληρόω ἀνα
μῆνας N3--APM--- μήν
δέκα M--------- δέκα
δύο M--------- δύο
οὕτως D--------- οὕτως
γὰρ X--------- γάρ
ἀναπληροῦνται V4--PMI3P- πληρόω ἀνα
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
τῆς RA--GSF--- ὁ
θεραπείας N1A-GSF--- θεραπεία
μῆνας N3--APM--- μήν
ἓξ M--------- ἕξ
ἀλειφόμεναι V1--PMPNPF ἀλείφω
ἐν P--------- ἐν
σμυρνίνῳ A1--DSN--- σμύρνινος
ἐλαίῳ N2N-DSN--- ἔλαιον
καὶ C--------- καί
μῆνας N3--APM--- μήν
ἓξ M--------- ἕξ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἀρώμασιν N3M-DPN--- ἄρωμα
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
σμήγμασιν N3M-DPN--- σμῆγμα
τῶν RA--GPF--- ὁ
γυναικῶν N3K-GPF--- γυνή

Est 2:13
καὶ C--------- καί
τότε D--------- τότε
εἰσπορεύεται V1--PMI3S- πορεύομαι εἰς
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
καὶ C--------- καί
ὃ RR--ASN--- ὅς
ἐὰν C--------- ἐάν
εἴπῃ VB--AAS3S- λέγω
παραδώσει VF--FAI3S- δίδωμι παρα
αὐτῇ RD--DSF--- αὐτός
συνεισέρχεσθαι V1--PMN--- ἔρχομαι συν εἰς
αὐτῇ RD--DSF--- αὐτός
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
γυναικῶνος N3W-GSM--- γυναικών
ἕως P--------- ἕως
τῶν RA--GPM--- ὁ
βασιλείων N2N-GPN--- βασίλειον

Est 2:14
δείλης N1--GSF--- δείλη
εἰσπορεύεται V1--PMI3S- πορεύομαι εἰς
καὶ C--------- καί
πρὸς P--------- πρός
ἡμέραν N1A-ASF--- ἡμέρα
ἀποτρέχει V1--PAI3S- τρέχω ἀπο
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
γυναικῶνα N3W-ASM--- γυναικών
τὸν RA--ASM--- ὁ
δεύτερον A1A-ASM--- δεύτερος
οὗ D--------- οὗ
Γαι N---NSM--- Γαι
ὁ RA--NSM--- ὁ
εὐνοῦχος N2--NSM--- εὐνοῦχος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ὁ RA--NSM--- ὁ
φύλαξ N3K-NSM--- φύλαξ
τῶν RA--GPF--- ὁ
γυναικῶν N3K-GPF--- γυνή
καὶ C--------- καί
οὐκέτι D--------- οὐκέτι
εἰσπορεύεται V1--PMI3S- πορεύομαι εἰς
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
ἐὰν C--------- ἐάν
μὴ D--------- μή
κληθῇ VC--APS3S- καλέω
ὀνόματι N3M-DSN--- ὄνομα

Est 2:15
ἐν P--------- ἐν
δὲ X--------- δέ
τῷ RA--DSN--- ὁ
ἀναπληροῦσθαι V4--PMN--- πληρόω ἀνα
τὸν RA--ASM--- ὁ
χρόνον N2--ASM--- χρόνος
Εσθηρ N---GSF--- Εσθηρ
τῆς RA--GSF--- ὁ
θυγατρὸς N3--GSF--- θυγάτηρ
Αμιναδαβ N---GSM--- Αμιναδαβ
ἀδελφοῦ N2--GSM--- ἀδελφός
πατρὸς N3--GSM--- πατήρ
Μαρδοχαίου N2--GSM--- Μαρδοχαῖος
εἰσελθεῖν VB--AAN--- ἔρχομαι εἰς
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
οὐδὲν A3--ASN--- οὐδείς
ἠθέτησεν VAI-AAI3S- ἀθετέω
ὧν RR--GPN--- ὅς
αὐτῇ RD--DSF--- αὐτός
ἐνετείλατο VAI-AMI3S- τέλλω ἐν
ὁ RA--NSM--- ὁ
εὐνοῦχος N2--NSM--- εὐνοῦχος
ὁ RA--NSM--- ὁ
φύλαξ N3K-NSM--- φύλαξ
τῶν RA--GPF--- ὁ
γυναικῶν N3K-GPF--- γυνή
ἦν V9--IAI3S- εἰμί
γὰρ X--------- γάρ
Εσθηρ N---NSF--- Εσθηρ
εὑρίσκουσα V1--PAPNSF εὑρίσκω
χάριν N3--ASF--- χάρις
παρὰ P--------- παρά
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
βλεπόντων V1--PAPGPM βλέπω
αὐτήν RD--ASF--- αὐτός

Est 2:16
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
Εσθηρ N---NSF--- Εσθηρ
πρὸς P--------- πρός
Ἀρταξέρξην N1M-ASM--- Ἀρταξέρξης
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
τῷ RA--DSM--- ὁ
δωδεκάτῳ A1--DSM--- δωδέκατος
μηνί N3--DSM--- μήν
ὅς RR--NSM--- ὅς
ἐστιν V9--PAI3S- εἰμί
Αδαρ N---NSM--- Αδαρ
τῷ RA--DSN--- ὁ
ἑβδόμῳ A1--DSN--- ἕβδομος
ἔτει N3E-DSN--- ἔτος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός

Est 2:17
καὶ C--------- καί
ἠράσθη VSI-API3S- ἐράω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Εσθηρ N---GSF--- Εσθηρ
καὶ C--------- καί
εὗρεν VB--AAI3S- εὑρίσκω
χάριν N3--ASF--- χάρις
παρὰ P--------- παρά
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
παρθένους N2--APF--- παρθένος
καὶ C--------- καί
ἐπέθηκεν VAI-AAI3S- τίθημι ἐπι
αὐτῇ RD--DSF--- αὐτός
τὸ RA--ASN--- ὁ
διάδημα N3M-ASN--- διάδημα
τὸ RA--ASN--- ὁ
γυναικεῖον A1A-ASN--- γυναικεῖος

Est 2:18
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
πότον N2--ASM--- πότος
πᾶσι A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
φίλοις A1--DPM--- φίλος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ταῖς RA--DPF--- ὁ
δυνάμεσιν N3I-DPF--- δύναμις
ἐπὶ P--------- ἐπί
ἡμέρας N1A-APF--- ἡμέρα
ἑπτὰ M--------- ἑπτά
καὶ C--------- καί
ὕψωσεν VAI-AAI3S- ὑψόω
τοὺς RA--APM--- ὁ
γάμους N2--APM--- γάμος
Εσθηρ N---GSF--- Εσθηρ
καὶ C--------- καί
ἄφεσιν N3I-ASF--- ἄφεσις
ἐποίησεν VAI-AAI3S- ποιέω
τοῖς RA--DPM--- ὁ
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός

Est 2:19
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ἐθεράπευεν V1I-IAI3S- θεραπεύω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
αὐλῇ N1--DSF--- αὐλή

Est 2:20
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
Εσθηρ N---NSF--- Εσθηρ
οὐχ D--------- οὐ
ὑπέδειξεν VAI-AAI3S- δεικνύω ὑπο
τὴν RA--ASF--- ὁ
πατρίδα N3D-ASF--- πατρίς
αὐτῆς RD--GSF--- αὐτός
οὕτως D--------- οὕτως
γὰρ X--------- γάρ
ἐνετείλατο VAI-AMI3S- τέλλω ἐν
αὐτῇ RD--DSF--- αὐτός
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
φοβεῖσθαι V2--PMN--- φοβέω
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
καὶ C--------- καί
ποιεῖν V2--PAN--- ποιέω
τὰ RA--APN--- ὁ
προστάγματα N3M-APN--- πρόσταγμα
αὐτοῦ RD--GSM--- αὐτός
καθὼς D--------- καθώς
ἦν V9--IAI3S- εἰμί
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
