Eze 1:1
ἐστίν V9--PAI3S- εἰμί

Eze 2:8
καὶ C--------- καί
σύ RP--NS---- σύ
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἄκουε V1--PAD2S- ἀκούω
τοῦ RA--GSM--- ὁ
λαλοῦντος V2--PAPGSM λαλέω
πρὸς P--------- πρός
σέ RP--AS---- σύ
μὴ D--------- μή
γίνου V1--PMD2S- γίγνομαι
παραπικραίνων V1--PAPNSM πικραίνω παρα
καθὼς D--------- καθώς
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
ὁ RA--NSM--- ὁ
παραπικραίνων V1--PAPNSM πικραίνω παρα
χάνε VB--AAD2S- χάσκω
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
σου RP--GS---- σύ
καὶ C--------- καί
φάγε VB--AAD2S- ἐσθίω
ἃ RR--APN--- ὅς
ἐγὼ RP--NS---- ἐγώ
δίδωμί V8--PAI1S- δίδωμι
σοι RP--DS---- σύ

Eze 2:9
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
χεὶρ N3--NSF--- χείρ
ἐκτεταμένη VM--XMPNSF τείνω ἐκ
πρός P--------- πρός
με RP--AS---- ἐγώ
καὶ C--------- καί
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
κεφαλὶς N3D-NSF--- κεφαλίς
βιβλίου N2N-GSN--- βιβλίον

Eze 2:10
καὶ C--------- καί
ἀνείλησεν VA--AAI3S- εἰλέω ἀνα
αὐτὴν RD--ASF--- αὐτός
ἐνώπιον P--------- ἐνώπιον
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
γεγραμμένα VP--XPPNPN γράφω
ἦν V9--IAI3S- εἰμί
τὰ RA--NPN--- ὁ
ὄπισθεν D--------- ὄπισθεν
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ἔμπροσθεν D--------- ἔμπροσθεν
καὶ C--------- καί
ἐγέγραπτο VPI-YPI3S- γράφω
εἰς P--------- εἰς
αὐτὴν RD--ASF--- αὐτός
θρῆνος N2--NSM--- θρῆνος
καὶ C--------- καί
μέλος N3E-NSN--- μέλος
καὶ C--------- καί
οὐαί I--------- οὐαί

Eze 3:1
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
κατάφαγε VB--AAD2S- ἐσθίω κατα
τὴν RA--ASF--- ὁ
κεφαλίδα N3D-ASF--- κεφαλίς
ταύτην RD--ASF--- οὗτος
καὶ C--------- καί
πορεύθητι VC--APD2S- πορεύομαι
καὶ C--------- καί
λάλησον VA--AAD2S- λαλέω
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ

Eze 3:2
καὶ C--------- καί
διήνοιξα VAI-AAI1S- οἴγω δια ἀνα
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐψώμισέν VAI-AAI3S- ψωμίζω
με RP--AS---- ἐγώ
τὴν RA--ASF--- ὁ
κεφαλίδα N3D-ASF--- κεφαλίς

Eze 3:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
τὸ RA--NSN--- ὁ
στόμα N3M-NSN--- στόμα
σου RP--GS---- σύ
φάγεται VF--FMI3S- ἐσθίω
καὶ C--------- καί
ἡ RA--NSF--- ὁ
κοιλία N1A-NSF--- κοιλία
σου RP--GS---- σύ
πλησθήσεται VS--FPI3S- πίμπλημι
τῆς RA--GSF--- ὁ
κεφαλίδος N3D-GSF--- κεφαλίς
ταύτης RD--GSF--- οὗτος
τῆς RA--GSF--- ὁ
δεδομένης VM--XPPGSF δίδωμι
εἰς P--------- εἰς
σέ RP--AS---- σύ
καὶ C--------- καί
ἔφαγον VBI-AAI1S- ἐσθίω
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
στόματί N3M-DSN--- στόμα
μου RP--GS---- ἐγώ
ὡς C--------- ὡς
μέλι N3--NSN--- μέλι
γλυκάζον V1--PAPNSN γλυκάζω

Eze 3:4
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
βάδιζε V1--PAD2S- βαδίζω
εἴσελθε VB--AAD2S- ἔρχομαι εἰς
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
λάλησον VA--AAD2S- λαλέω
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
μου RP--GS---- ἐγώ
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός

Eze 3:5
διότι C--------- διότι
οὐ D--------- οὐ
πρὸς P--------- πρός
λαὸν N2--ASM--- λαός
βαθύχειλον A1B-ASM--- βαθύχειλος
καὶ C--------- καί
βαρύγλωσσον A1B-ASM--- βαρύγλωσσος
σὺ RP--NS---- σύ
ἐξαποστέλλῃ VF--FMI2S- στέλλω ἐκ ἀπο
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ

Eze 3:6
οὐδὲ C--------- οὐδέ
πρὸς P--------- πρός
λαοὺς N2--APM--- λαός
πολλοὺς A1--APM--- πολύς
ἀλλοφώνους A1B-APM--- ἀλλόφωνος
ἢ C--------- ἤ
ἀλλογλώσσους A1B-APM--- ἀλλόγλωσσος
οὐδὲ C--------- οὐδέ
στιβαροὺς A1A-APM--- στιβαρός
τῇ RA--DSF--- ὁ
γλώσσῃ N1S-DSF--- γλῶσσα
ὄντας V9--PAPAPM εἰμί
ὧν RR--GPM--- ὅς
οὐκ D--------- οὐ
ἀκούσῃ VF--FMI2S- ἀκούω
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
εἰ C--------- εἰ
πρὸς P--------- πρός
τοιούτους A1--APM--- τοιοῦτος
ἐξαπέστειλά VAI-AAI1S- στέλλω ἐκ ἀπο
σε RP--AS---- σύ
οὗτοι RD--NPM--- οὗτος
ἂν X--------- ἄν
εἰσήκουσάν VAI-AAI3P- ἀκούω εἰς
σου RP--GS---- σύ

Eze 3:7
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
οἶκος N2--NSM--- οἶκος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
οὐ D--------- οὐ
μὴ D--------- μή
θελήσωσιν VA--AAS3P- θέλω
εἰσακοῦσαί VA--AAN--- ἀκούω εἰς
σου RP--GS---- σύ
διότι C--------- διότι
οὐ D--------- οὐ
βούλονται V1--PMI3P- βούλομαι
εἰσακούειν V1--PAN--- ἀκούω εἰς
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
φιλόνεικοί A1B-NPM--- φιλόνεικος
εἰσιν V9--PAI3P- εἰμί
καὶ C--------- καί
σκληροκάρδιοι A1B-NPM--- σκληροκάρδιος

Eze 3:8
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
δέδωκα VX--XAI1S- δίδωμι
τὸ RA--ASN--- ὁ
πρόσωπόν N2N-ASN--- πρόσωπον
σου RP--GS---- σύ
δυνατὸν A1--ASN--- δυνατός
κατέναντι D--------- κατέναντι
τῶν RA--GPN--- ὁ
προσώπων N2N-GPN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
νεῖκός N3E-ASN--- νεῖκος
σου RP--GS---- σύ
κατισχύσω VF--FAI1S- ἰσχύω κατα
κατέναντι D--------- κατέναντι
τοῦ RA--GSN--- ὁ
νείκους N3E-GSN--- νεῖκος
αὐτῶν RD--GPM--- αὐτός

Eze 3:9
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
διὰ P--------- διά
παντὸς A3--GSM--- πᾶς
κραταιότερον A1A-ASMC-- κραταιός
πέτρας N1A-GSF--- πέτρα
μὴ D--------- μή
φοβηθῇς VC--APS2S- φοβέω
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός
μηδὲ C--------- μηδέ
πτοηθῇς VC--APS2S- πτοέω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
διότι C--------- διότι
οἶκος N2--NSM--- οἶκος
παραπικραίνων V1--PAPNSM πικραίνω παρα
ἐστίν V9--PAI3S- εἰμί

Eze 3:10
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
οὓς RR--APM--- ὅς
λελάληκα VX--XAI1S- λαλέω
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
λαβὲ VB--AAD2S- λαμβάνω
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
σου RP--GS---- σύ
καὶ C--------- καί
τοῖς RA--DPN--- ὁ
ὠσίν N3T-DPN--- οὖς
σου RP--GS---- σύ
ἄκουε V1--PAD2S- ἀκούω

Eze 3:11
καὶ C--------- καί
βάδιζε V1--PAD2S- βαδίζω
εἴσελθε VB--AAD2S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αἰχμαλωσίαν N1A-ASF--- αἰχμαλωσία
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
καὶ C--------- καί
λαλήσεις VF--FAI2S- λαλέω
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐὰν C--------- ἐάν
ἄρα X--------- ἄρα
ἀκούσωσιν VA--AAS3P- ἀκούω
ἐὰν C--------- ἐάν
ἄρα X--------- ἄρα
ἐνδῶσιν VO--AAS3P- δίδωμι ἐν

Eze 3:12
καὶ C--------- καί
ἀνέλαβέν VBI-AAI3S- λαμβάνω ἀνα
με RP--AS---- ἐγώ
πνεῦμα N3M-ASN--- πνεῦμα
καὶ C--------- καί
ἤκουσα VAI-AAI1S- ἀκούω
κατόπισθέν D--------- κατόπισθεν
μου RP--GS---- ἐγώ
φωνὴν N1--ASF--- φωνή
σεισμοῦ N2--GSM--- σεισμός
μεγάλου A1--GSM--- μέγας
εὐλογημένη VM--XPPNSF εὐλογέω
ἡ RA--NSF--- ὁ
δόξα N1S-NSF--- δόξα
κυρίου N2--GSM--- κύριος
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
αὐτοῦ RD--GSM--- αὐτός

Eze 3:13
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
φωνὴν N1--ASF--- φωνή
πτερύγων N3G-GPF--- πτέρυξ
τῶν RA--GPN--- ὁ
ζῴων N2N-GPN--- ζῷον
πτερυσσομένων V1--PMPGPF πτερύσσομαι
ἑτέρα A1A-NSF--- ἕτερος
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
ἑτέραν A1A-ASF--- ἕτερος
καὶ C--------- καί
φωνὴ N1--NSF--- φωνή
τῶν RA--GPM--- ὁ
τροχῶν N2--GPM--- τροχός
ἐχομένη V1--PMPNSF ἔχω
αὐτῶν RD--GPN--- αὐτός
καὶ C--------- καί
φωνὴ N1--NSF--- φωνή
τοῦ RA--GSM--- ὁ
σεισμοῦ N2--GSM--- σεισμός

Eze 3:14
καὶ C--------- καί
τὸ RA--NSN--- ὁ
πνεῦμα N3M-NSN--- πνεῦμα
ἐξῆρέν VAI-AAI3S- αἴρω ἐκ
με RP--AS---- ἐγώ
καὶ C--------- καί
ἀνέλαβέν VBI-AAI3S- λαμβάνω ἀνα
με RP--AS---- ἐγώ
καὶ C--------- καί
ἐπορεύθην VCI-API1S- πορεύομαι
ἐν P--------- ἐν
ὁρμῇ N1--DSF--- ὁρμή
τοῦ RA--GSN--- ὁ
πνεύματός N3M-GSN--- πνεῦμα
μου RP--GS---- ἐγώ
καὶ C--------- καί
χεὶρ N3--NSF--- χείρ
κυρίου N2--GSM--- κύριος
ἐγένετο VBI-AMI3S- γίγνομαι
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
κραταιά A1A-NSF--- κραταιός

Eze 3:15
καὶ C--------- καί
εἰσῆλθον VBI-AAI1S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αἰχμαλωσίαν N1A-ASF--- αἰχμαλωσία
μετέωρος A1B-NSM--- μετέωρος
καὶ C--------- καί
περιῆλθον VBI-AAI1S- ἔρχομαι περι
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
τοῦ RA--GSM--- ὁ
Χοβαρ N---GS---- Χοβαρ
τοὺς RA--APM--- ὁ
ὄντας V9--PAPAPM εἰμί
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
ἐκάθισα VAI-AAI1S- ἵζω κατα
ἐκεῖ D--------- ἐκεῖ
ἑπτὰ M--------- ἑπτά
ἡμέρας N1A-APF--- ἡμέρα
ἀναστρεφόμενος V1--PMPNSM στρέφω ἀνα
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
αὐτῶν RD--GPM--- αὐτός

Eze 3:16
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
μετὰ P--------- μετά
τὰς RA--APF--- ὁ
ἑπτὰ M--------- ἑπτά
ἡμέρας N1A-APF--- ἡμέρα
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Eze 3:17
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
σκοπὸν N2--ASM--- σκοπός
δέδωκά VX--XAI1S- δίδωμι
σε RP--AS---- σύ
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἀκούσῃ VF--FMI2S- ἀκούω
ἐκ P--------- ἐκ
στόματός N3M-GSN--- στόμα
μου RP--GS---- ἐγώ
λόγον N2--ASM--- λόγος
καὶ C--------- καί
διαπειλήσῃ VF--FMI2S- πειλέω δια
αὐτοῖς RD--DPM--- αὐτός
παρ' P--------- παρά
ἐμοῦ RP--GS---- ἐγώ

Eze 3:18
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
λέγειν V1--PAN--- λέγω
με RP--AS---- ἐγώ
τῷ RA--DSM--- ὁ
ἀνόμῳ A1B-DSM--- ἄνομος
θανάτῳ N2--DSM--- θάνατος
θανατωθήσῃ VC--FPI2S- θανατόω
καὶ C--------- καί
οὐ D--------- οὐ
διεστείλω VAI-AMI2S- στέλλω δια
αὐτῷ RD--DSM--- αὐτός
οὐδὲ C--------- οὐδέ
ἐλάλησας VAI-AAI2S- λαλέω
τοῦ RA--GSN--- ὁ
διαστείλασθαι VA--AMN--- στέλλω δια
τῷ RA--DSM--- ὁ
ἀνόμῳ A1B-DSM--- ἄνομος
ἀποστρέψαι VA--AAN--- στρέφω ἀπο
ἀπὸ P--------- ἀπό
τῶν RA--GPF--- ὁ
ὁδῶν N2--GPF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
τοῦ RA--GSN--- ὁ
ζῆσαι VA--AAN--- ζάω
αὐτόν RD--ASM--- αὐτός
ὁ RA--NSM--- ὁ
ἄνομος A1B-NSM--- ἄνομος
ἐκεῖνος RD--NSM--- ἐκεῖνος
τῇ RA--DSF--- ὁ
ἀδικίᾳ N1A-DSF--- ἀδικία
αὐτοῦ RD--GSM--- αὐτός
ἀποθανεῖται VF2-FMI3S- θνήσκω ἀπο
καὶ C--------- καί
τὸ RA--NSN--- ὁ
αἷμα N3M-NSN--- αἷμα
αὐτοῦ RD--GSM--- αὐτός
ἐκ P--------- ἐκ
χειρός N3--GSF--- χείρ
σου RP--GS---- σύ
ἐκζητήσω VF--FAI1S- ζητέω ἐκ

Eze 3:19
καὶ C--------- καί
σὺ RP--NS---- σύ
ἐὰν C--------- ἐάν
διαστείλῃ VA--AMS2S- στέλλω δια
τῷ RA--DSM--- ὁ
ἀνόμῳ A1B-DSM--- ἄνομος
καὶ C--------- καί
μὴ D--------- μή
ἀποστρέψῃ VA--AAS3S- στρέφω ἀπο
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ἀνομίας N1A-GSF--- ἀνομία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τῆς RA--GSF--- ὁ
ὁδοῦ N2--GSF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
ὁ RA--NSM--- ὁ
ἄνομος A1B-NSM--- ἄνομος
ἐκεῖνος RD--NSM--- ἐκεῖνος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἀδικίᾳ N1A-DSF--- ἀδικία
αὐτοῦ RD--GSM--- αὐτός
ἀποθανεῖται VF2-FMI3S- θνήσκω ἀπο
καὶ C--------- καί
σὺ RP--NS---- σύ
τὴν RA--ASF--- ὁ
ψυχήν N1--ASF--- ψυχή
σου RP--GS---- σύ
ῥύσῃ VF--FMI2S- ῥύομαι

Eze 3:20
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἀποστρέφειν V1--PAN--- στρέφω ἀπο
δίκαιον A1A-ASM--- δίκαιος
ἀπὸ P--------- ἀπό
τῶν RA--GPF--- ὁ
δικαιοσυνῶν N1--GPF--- δικαιοσύνη
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ποιήσῃ VA--AAS3S- ποιέω
παράπτωμα N3M-ASN--- παράπτωμα
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
τὴν RA--ASF--- ὁ
βάσανον N2--ASF--- βάσανος
εἰς P--------- εἰς
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
αὐτὸς RD--NSM--- αὐτός
ἀποθανεῖται VF2-FMI3S- θνήσκω ἀπο
ὅτι C--------- ὅτι
οὐ D--------- οὐ
διεστείλω VAI-AMI2S- στέλλω δια
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἁμαρτίαις N1A-DPF--- ἁμαρτία
αὐτοῦ RD--GSM--- αὐτός
ἀποθανεῖται VF2-FMI3S- θνήσκω ἀπο
διότι C--------- διότι
οὐ D--------- οὐ
μὴ D--------- μή
μνησθῶσιν VS--APS3P- μιμνήσκω
αἱ RA--NPF--- ὁ
δικαιοσύναι N1--NPF--- δικαιοσύνη
αὐτοῦ RD--GSM--- αὐτός
ἃς RR--APF--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
καὶ C--------- καί
τὸ RA--ASN--- ὁ
αἷμα N3M-ASN--- αἷμα
αὐτοῦ RD--GSM--- αὐτός
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
χειρός N3--GSF--- χείρ
σου RP--GS---- σύ
ἐκζητήσω VF--FAI1S- ζητέω ἐκ

Eze 3:21
σὺ RP--NS---- σύ
δὲ X--------- δέ
ἐὰν C--------- ἐάν
διαστείλῃ VA--AMS2S- στέλλω δια
τῷ RA--DSM--- ὁ
δικαίῳ A1A-DSM--- δίκαιος
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
ἁμαρτεῖν VB--AAN--- ἁμαρτάνω
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
μὴ D--------- μή
ἁμάρτῃ VB--AAS3S- ἁμαρτάνω
ὁ RA--NSM--- ὁ
δίκαιος A1A-NSM--- δίκαιος
ζωῇ N1--DSF--- ζωή
ζήσεται VF--FMI3S- ζάω
ὅτι C--------- ὅτι
διεστείλω VAI-AMI2S- στέλλω δια
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
σὺ RP--NS---- σύ
τὴν RA--ASF--- ὁ
σεαυτοῦ RD--GSM--- σεαυτοῦ
ψυχὴν N1--ASF--- ψυχή
ῥύσῃ VF--FMI2S- ῥύομαι

Eze 3:22
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
χεὶρ N3--NSF--- χείρ
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
ἀνάστηθι VH--AAD2S- ἵστημι ἀνα
καὶ C--------- καί
ἔξελθε VB--AAD2S- ἔρχομαι ἐκ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
πεδίον N2N-ASN--- πεδίον
καὶ C--------- καί
ἐκεῖ D--------- ἐκεῖ
λαληθήσεται VC--FPI3S- λαλέω
πρὸς P--------- πρός
σέ RP--AS---- σύ

Eze 3:23
καὶ C--------- καί
ἀνέστην VHI-AAI1S- ἵστημι ἀνα
καὶ C--------- καί
ἐξῆλθον VBI-AAI1S- ἔρχομαι ἐκ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
πεδίον N2N-ASN--- πεδίον
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἐκεῖ D--------- ἐκεῖ
δόξα N1S-NSF--- δόξα
κυρίου N2--GSM--- κύριος
εἱστήκει VXI-YAI2S- ἵστημι
καθὼς D--------- καθώς
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις
καὶ C--------- καί
καθὼς D--------- καθώς
ἡ RA--NSF--- ὁ
δόξα N1S-NSF--- δόξα
ἣν RR--ASF--- ὅς
εἶδον VBI-AAI1S- ὁράω
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
τοῦ RA--GSM--- ὁ
Χοβαρ N---GS---- Χοβαρ
καὶ C--------- καί
πίπτω V1--PAI1S- πίπτω
ἐπὶ P--------- ἐπί
πρόσωπόν N2N-ASN--- πρόσωπον
μου RP--GS---- ἐγώ

Eze 3:24
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
πνεῦμα N3M-NSN--- πνεῦμα
καὶ C--------- καί
ἔστησέν VAI-AAI3S- ἵστημι
