2Ch 1:1
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Χιραμ N---NSM--- Χιραμ
βασιλεὺς N3V-NSM--- βασιλεύς
Τύρου N2--GSM--- Τύρος
ἐν P--------- ἐν
γραφῇ N1--DSF--- γραφή
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
πρὸς P--------- πρός
Σαλωμων N---ASM--- Σαλωμών
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἀγαπῆσαι VA--AAN--- ἀγαπάω
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
αὐτοῦ RD--GSM--- αὐτός
ἔδωκέν VAI-AAI3S- δίδωμι
σε RP--AS---- σύ
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
βασιλέα N3V-ASM--- βασιλεύς

2Ch 2:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Χιραμ N---NSM--- Χιραμ
εὐλογητὸς A1--NSM--- εὐλογητός
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
ὃς RR--NSM--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
τὸν RA--ASM--- ὁ
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ὃς RR--NSM--- ὅς
ἔδωκεν VAI-AAI3S- δίδωμι
τῷ RA--DSM--- ὁ
Δαυιδ N---DSM--- Δαυίδ
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
υἱὸν N2--ASM--- υἱός
σοφὸν A1--ASM--- σοφός
καὶ C--------- καί
ἐπιστάμενον V6--PMPASM ἐπίσταμαι
σύνεσιν N3I-ASF--- σύνεσις
καὶ C--------- καί
ἐπιστήμην N1--ASF--- ἐπιστήμη
ὃς RR--NSM--- ὅς
οἰκοδομήσει VF--FAI3S- οἰκοδομέω
οἶκον N2--ASM--- οἶκος
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
καὶ C--------- καί
οἶκον N2--ASM--- οἶκος
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός

2Ch 2:12
καὶ C--------- καί
νῦν D--------- νῦν
ἀπέσταλκά VX--XAI1S- στέλλω ἀπο
σοι RP--DS---- σύ
ἄνδρα N3--ASM--- ἀνήρ
σοφὸν A1--ASM--- σοφός
καὶ C--------- καί
εἰδότα VX--XAPASM εἶδον
σύνεσιν N3I-ASF--- σύνεσις
τὸν RA--ASM--- ὁ
Χιραμ N---ASM--- Χιραμ
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
μου RP--GS---- ἐγώ

2Ch 2:13
ἡ RA--NSF--- ὁ
μήτηρ N3--NSF--- μήτηρ
αὐτοῦ RD--GSM--- αὐτός
ἀπὸ P--------- ἀπό
θυγατέρων N3--GPF--- θυγάτηρ
Δαν N---GSM--- Δαν
καὶ C--------- καί
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
ἀνὴρ N3--NSM--- ἀνήρ
Τύριος N2--NSM--- Τύριος
εἰδότα VX--XAPASM εἶδον
ποιῆσαι VA--AAN--- ποιέω
ἐν P--------- ἐν
χρυσίῳ N2N-DSN--- χρυσίον
καὶ C--------- καί
ἐν P--------- ἐν
ἀργυρίῳ N2N-DSN--- ἀργύριον
καὶ C--------- καί
ἐν P--------- ἐν
χαλκῷ A1C-DSM--- χαλκοῦς
καὶ C--------- καί
ἐν P--------- ἐν
σιδήρῳ N2--DSM--- σίδηρος
ἐν P--------- ἐν
λίθοις N2--DPM--- λίθος
καὶ C--------- καί
ξύλοις N2N-DPN--- ξύλον
καὶ C--------- καί
ὑφαίνειν V1--PAN--- ὑφαίνω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πορφύρᾳ N1A-DSF--- πορφύρα
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὑακίνθῳ N2--DSF--- ὑάκινθος
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βύσσῳ N2--DSF--- βύσσος
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
κοκκίνῳ A1--DSM--- κόκκινος
καὶ C--------- καί
γλύψαι VA--AAN--- γλύφω
γλυφὰς N1--APF--- γλυφή
καὶ C--------- καί
διανοεῖσθαι V2--PMN--- νοέομαι δια
πᾶσαν A1S-ASF--- πᾶς
διανόησιν N3I-ASF--- διανόησις
ὅσα A1--APN--- ὅσος
ἂν X--------- ἄν
δῷς VO--AAS2S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
σοφῶν A1--GPM--- σοφός
σου RP--GS---- σύ
καὶ C--------- καί
σοφῶν A1--GPM--- σοφός
Δαυιδ N---GSM--- Δαυίδ
κυρίου N2--GSM--- κύριος
μου RP--GS---- ἐγώ
πατρός N3--GSM--- πατήρ
σου RP--GS---- σύ

2Ch 2:14
καὶ C--------- καί
νῦν D--------- νῦν
τὸν RA--ASM--- ὁ
σῖτον N2--ASM--- σῖτος
καὶ C--------- καί
τὴν RA--ASF--- ὁ
κριθὴν N1--ASF--- κριθή
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἔλαιον N2N-ASN--- ἔλαιον
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οἶνον N2--ASM--- οἶνος
ἃ RR--APN--- ὅς
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
κύριός N2--NSM--- κύριος
μου RP--GS---- ἐγώ
ἀποστειλάτω VA--AAD3S- στέλλω ἀπο
τοῖς RA--DPM--- ὁ
παισὶν N3D-DPM--- παῖς
αὐτοῦ RD--GSM--- αὐτός

2Ch 2:15
καὶ C--------- καί
ἡμεῖς RP--NP---- ἐγώ
κόψομεν VF--FAI1P- κόπτω
ξύλα N2N-APN--- ξύλον
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
Λιβάνου N2--GSM--- Λιβάνος
κατὰ P--------- κατά
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
χρείαν N1A-ASF--- χρεία
σου RP--GS---- σύ
καὶ C--------- καί
ἄξομεν VF--FAI1P- ἄγω
αὐτὰ RD--APN--- αὐτός
σχεδίαις N1A-DPF--- σχεδία
ἐπὶ P--------- ἐπί
θάλασσαν N1S-ASF--- θάλασσα
Ιόππης N1--GSF--- Ιόππη
καὶ C--------- καί
σὺ RP--NS---- σύ
ἄξεις VF--FAI2S- ἄγω
αὐτὰ RD--APN--- αὐτός
εἰς P--------- εἰς
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ

2Ch 2:16
καὶ C--------- καί
συνήγαγεν VBI-AAI3S- ἄγω συν
Σαλωμων N---NSM--- Σαλωμών
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἄνδρας N3--APM--- ἀνήρ
τοὺς RA--APM--- ὁ
προσηλύτους N2--APM--- προσήλυτος
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Ισραηλ N---GSM--- Ἰσραήλ
μετὰ P--------- μετά
τὸν RA--ASM--- ὁ
ἀριθμόν N2--ASM--- ἀριθμός
ὃν RR--ASM--- ὅς
ἠρίθμησεν VAI-AAI3S- ἀριθμέω
αὐτοὺς RD--APM--- αὐτός
Δαυιδ N---NSM--- Δαυίδ
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εὑρέθησαν VC--API3P- εὑρίσκω
ἑκατὸν M--------- ἑκατόν
πεντήκοντα M--------- πεντήκοντα
χιλιάδες N3D-NPF--- χιλίας
καὶ C--------- καί
τρισχίλιοι A1A-NPM--- τρισχίλιοι
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι

2Ch 2:17
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ἐξ P--------- ἐκ
αὐτῶν RD--GPM--- αὐτός
ἑβδομήκοντα M--------- ἑβδομήκοντα
χιλιάδας N3D-APF--- χιλίας
νωτοφόρων A1B-GPM--- νωτοφόρος
καὶ C--------- καί
ὀγδοήκοντα M--------- ὀγδοήκοντα
χιλιάδας N3D-APF--- χιλίας
λατόμων N2--GPM--- λατόμος
καὶ C--------- καί
τρισχιλίους A1A-APM--- τρισχίλιοι
ἑξακοσίους A1A-APM--- ἑξακόσιοι
ἐργοδιώκτας N1M-APM--- ἐργοδιωκτής
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός

2Ch 3:1
καὶ C--------- καί
ἤρξατο VAI-AMI3S- ἄρχω
Σαλωμων N---NSM--- Σαλωμών
τοῦ RA--GSN--- ὁ
οἰκοδομεῖν V2--PAN--- οἰκοδομέω
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
ἐν P--------- ἐν
ὄρει N3E-DSN--- ὄρος
τοῦ RA--GSM--- ὁ
Αμορια N---GSM--- Αμορια
οὗ RR--GSM--- ὅς
ὤφθη VVI-API3S- ὁράω
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Δαυιδ N---DSM--- Δαυίδ
πατρὶ N3--DSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
ᾧ RR--DSM--- ὅς
ἡτοίμασεν VAI-AAI3S- ἑτοιμάζω
Δαυιδ N---NSM--- Δαυίδ
ἐν P--------- ἐν
ἅλῳ N3--DS---- ἅλων
Ορνα N---GSM--- Ορνα
τοῦ RA--GSM--- ὁ
Ιεβουσαίου N2--GSM--- Ιεβουσαῖος

2Ch 3:2
καὶ C--------- καί
ἤρξατο VAI-AMI3S- ἄρχω
οἰκοδομῆσαι VA--AAN--- οἰκοδομέω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
μηνὶ N3--DSM--- μήν
τῷ RA--DSM--- ὁ
δευτέρῳ A1A-DSM--- δεύτερος
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἔτει N3E-DSN--- ἔτος
τῷ RA--DSN--- ὁ
τετάρτῳ A1--DSN--- τέταρτος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός

2Ch 3:3
καὶ C--------- καί
ταῦτα RD--NPN--- οὗτος
ἤρξατο VAI-AMI3S- ἄρχω
Σαλωμων N---NSM--- Σαλωμών
τοῦ RA--GSN--- ὁ
οἰκοδομῆσαι VA--AAN--- οἰκοδομέω
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
μῆκος N3E-NSN--- μῆκος
πήχεων N3E-GPM--- πῆχυς
ἡ RA--NSF--- ὁ
διαμέτρησις N3I-NSF--- διαμέτρησις
ἡ RA--NSF--- ὁ
πρώτη A1--NSFS-- πρῶτος
πήχεων N3E-GPM--- πῆχυς
ἑξήκοντα M--------- ἑξήκοντα
καὶ C--------- καί
εὖρος N2--NSN--- εὖρος
πήχεων N3E-GPM--- πῆχυς
εἴκοσι M--------- εἴκοσι

2Ch 3:4
καὶ C--------- καί
αιλαμ N---NS---- αιλαμ
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
μῆκος N3E-NSN--- μῆκος
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
πλάτους N3E-GSN--- πλάτος
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
πήχεων N3E-GPM--- πῆχυς
εἴκοσι M--------- εἴκοσι
καὶ C--------- καί
ὕψος N3E-ASN--- ὕψος
πήχεων N3E-GPM--- πῆχυς
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
καὶ C--------- καί
κατεχρύσωσεν VAI-AAI3S- χρυσόω κατα
αὐτὸν RD--ASM--- αὐτός
ἔσωθεν D--------- ἔσωθεν
χρυσίῳ N2N-DSN--- χρυσίον
καθαρῷ A1A-DSN--- καθαρός

2Ch 3:5
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τὸν RA--ASM--- ὁ
μέγαν A1P-ASM--- μέγας
ἐξύλωσεν VAI-AAI3S- ξυλόω
ξύλοις N2N-DPN--- ξύλον
κεδρίνοις A1--DPM--- κέδρινος
καὶ C--------- καί
κατεχρύσωσεν VAI-AAI3S- χρυσόω κατα
χρυσίῳ N2N-DSN--- χρυσίον
καθαρῷ A1A-DSN--- καθαρός
καὶ C--------- καί
ἔγλυψεν VAI-AAI3S- γλύφω
ἐπ' P--------- ἐπί
αὐτοῦ RD--GSM--- αὐτός
φοίνικας N3K-APM--- φοῖνιξ
καὶ C--------- καί
χαλαστά N2N-APM--- χαλαστόν

2Ch 3:6
καὶ C--------- καί
ἐκόσμησεν VAI-AAI3S- κοσμέω
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
λίθοις N2--DPM--- λίθος
τιμίοις A1A-DPM--- τίμιος
εἰς P--------- εἰς
δόξαν N1S-ASF--- δόξα
καὶ C--------- καί
χρυσίῳ N2N-DSN--- χρυσίον
χρυσίου N2N-GSN--- χρυσίον
τοῦ RA--GSM--- ὁ
ἐκ P--------- ἐκ
Φαρουαιμ N---GSM--- Φαρουαιμ

2Ch 3:7
καὶ C--------- καί
ἐχρύσωσεν VAI-AAI3S- χρυσόω
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
τοίχους N2--APM--- τοῖχος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
πυλῶνας N3W-APM--- πυλών
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὀροφώματα N3M-APN--- ὀρόφωμα
καὶ C--------- καί
τὰ RA--APN--- ὁ
θυρώματα N3M-APN--- θύρωμα
χρυσίῳ N2N-DSN--- χρυσίον
καὶ C--------- καί
ἔγλυψεν VAI-AAI3S- γλύφω
χερουβιν N---APN--- χερουβιν
ἐπὶ P--------- ἐπί
τῶν RA--GPM--- ὁ
τοίχων N2--GPM--- τοῖχος

2Ch 3:8
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
ἁγίου A1A-GSM--- ἅγιος
τῶν RA--GPM--- ὁ
ἁγίων A1A-GPN--- ἅγιος
μῆκος N3E-ASN--- μῆκος
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
πλάτους N3E-GSN--- πλάτος
πήχεων N3E-GPM--- πῆχυς
εἴκοσι M--------- εἴκοσι
καὶ C--------- καί
τὸ RA--NSN--- ὁ
εὖρος N2--NSN--- εὖρος
πήχεων N3E-GPM--- πῆχυς
εἴκοσι M--------- εἴκοσι
καὶ C--------- καί
κατεχρύσωσεν VAI-AAI3S- χρυσόω κατα
αὐτὸν RD--ASM--- αὐτός
χρυσίῳ N2N-DSN--- χρυσίον
καθαρῷ A1A-DSN--- καθαρός
εἰς P--------- εἰς
χερουβιν N---APN--- χερουβιν
εἰς P--------- εἰς
τάλαντα N2N-APN--- τάλαντον
ἑξακόσια A1A-APN--- ἑξακόσιοι

2Ch 3:9
καὶ C--------- καί
ὁλκὴ N1--NSF--- ὁλκή
τῶν RA--GPM--- ὁ
ἥλων N2--GPM--- ἧλος
ὁλκὴ N1--NSF--- ὁλκή
τοῦ RA--GSM--- ὁ
ἑνὸς A3--GSM--- εἷς
πεντήκοντα M--------- πεντήκοντα
σίκλοι N2--NPM--- σίκλος
χρυσίου N2N-GSN--- χρυσίον
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ὑπερῷον N2N-ASN--- ὑπερῷον
ἐχρύσωσεν VAI-AAI3S- χρυσόω
χρυσίῳ N2N-DSN--- χρυσίον

2Ch 3:10
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
τῷ RA--DSM--- ὁ
ἁγίῳ A1A-DSM--- ἅγιος
τῶν RA--GPM--- ὁ
ἁγίων A1A-GPM--- ἅγιος
χερουβιν N---APN--- χερουβιν
δύο M--------- δύο
ἔργον N2N-ASN--- ἔργον
ἐκ P--------- ἐκ
ξύλων N2N-GPN--- ξύλον
καὶ C--------- καί
ἐχρύσωσεν VAI-AAI3S- χρυσόω
αὐτὰ RD--APN--- αὐτός
χρυσίῳ N2N-DSN--- χρυσίον

2Ch 3:11
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πτέρυγες N3G-NPF--- πτέρυξ
τῶν RA--GPM--- ὁ
χερουβιν N---GPN--- χερουβιν
τὸ RA--NSN--- ὁ
μῆκος N3E-NSN--- μῆκος
πήχεων N3E-GPM--- πῆχυς
εἴκοσι M--------- εἴκοσι
καὶ C--------- καί
ἡ RA--NSF--- ὁ
πτέρυξ N3G-NSF--- πτέρυξ
ἡ RA--NSF--- ὁ
μία A1A-APN--- εἷς
πήχεων N3E-GPM--- πῆχυς
πέντε M--------- πέντε
ἁπτομένη V1--PMPNSF ἅπτομαι
τοῦ RA--GSM--- ὁ
τοίχου N2--GSM--- τοῖχος
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
πτέρυξ N3G-NSF--- πτέρυξ
ἡ RA--NSF--- ὁ
ἑτέρα A1A-NSF--- ἕτερος
πήχεων N3E-GPM--- πῆχυς
πέντε M--------- πέντε
ἁπτομένη V1--PMPNSF ἅπτομαι
τῆς RA--GSF--- ὁ
πτέρυγος N3G-GSF--- πτέρυξ
τοῦ RA--GSM--- ὁ
χερουβ N---GSN--- χερουβ
τοῦ RA--GSM--- ὁ
ἑτέρου A1A-GSM--- ἕτερος

2Ch 3:12
καὶ C--------- καί
ἡ RA--NSF--- ὁ
πτέρυξ N3G-NSF--- πτέρυξ
τοῦ RA--GSM--- ὁ
χερουβ N---GSN--- χερουβ
τοῦ RA--GSM--- ὁ
ἑνὸς A3--GSM--- εἷς
πήχεων N3E-GPM--- πῆχυς
πέντε M--------- πέντε
ἁπτομένη V1--PMPNSF ἅπτομαι
τοῦ RA--GSM--- ὁ
τοίχου N2--GSM--- τοῖχος
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
πτέρυξ N3G-NSF--- πτέρυξ
ἡ RA--NSF--- ὁ
ἑτέρα A1A-NSF--- ἕτερος
πήχεων N3E-GPM--- πῆχυς
πέντε M--------- πέντε
ἁπτομένη V1--PMPNSF ἅπτομαι
τοῦ RA--GSM--- ὁ
πτέρυγος N3G-GSF--- πτέρυξ
τοῦ RA--GSM--- ὁ
χερουβ N---GSN--- χερουβ
τοῦ RA--GSM--- ὁ
ἑτέρου A1A-GSM--- ἕτερος

2Ch 3:13
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πτέρυγες N3G-NPF--- πτέρυξ
τῶν RA--GPM--- ὁ
χερουβιν N---GPN--- χερουβιν
διαπεπετασμέναι VM--XPPNPF πετάζω δια
πήχεων N3E-GPM--- πῆχυς
εἴκοσι M--------- εἴκοσι
καὶ C--------- καί
αὐτὰ RD--NPN--- αὐτός
ἑστηκότα VXI-XAPNPN ἵστημι
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
πόδας N3D-APM--- πούς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
πρόσωπα N2N-NPN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος

2Ch 3:14
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
τὸ RA--ASN--- ὁ
καταπέτασμα N3M-ASN--- καταπέτασμα
ἐξ P--------- ἐκ
ὑακίνθου N2--GSF--- ὑάκινθος
καὶ C--------- καί
πορφύρας N1A-GSF--- πορφύρα
καὶ C--------- καί
κοκκίνου A1--GSM--- κόκκινος
καὶ C--------- καί
βύσσου N2--GSF--- βύσσος
καὶ C--------- καί
ὕφανεν VZI-AAI3S- ὑφαίνω
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
χερουβιν N---APN--- χερουβιν

2Ch 3:15
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ἔμπροσθεν P--------- ἔμπροσθεν
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
στύλους N2--APM--- στῦλος
δύο M--------- δύο
πήχεων N3E-GPM--- πῆχυς
τριάκοντα M--------- τριάκοντα
πέντε M--------- πέντε
τὸ RA--ASN--- ὁ
ὕψος N3E-ASN--- ὕψος
καὶ C--------- καί
τὰς RA--APF--- ὁ
κεφαλὰς N1--APF--- κεφαλή
αὐτῶν RD--GPM--- αὐτός
πήχεων N3E-GPM--- πῆχυς
πέντε M--------- πέντε

2Ch 3:16
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
σερσερωθ N---APM--- σερσερωθ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
δαβιρ N---DSN--- δαβιρ
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
ἐπὶ P--------- ἐπί
τῶν RA--GPF--- ὁ
κεφαλῶν N1--GPF--- κεφαλή
τῶν RA--GPM--- ὁ
στύλων N2--GPM--- στῦλος
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ῥοΐσκους N2--APM--- ῥοΐσκος
ἑκατὸν M--------- ἑκατόν
καὶ C--------- καί
ἐπέθηκεν VAI-AAI3S- τίθημι ἐπι
ἐπὶ P--------- ἐπί
τῶν RA--GPN--- ὁ
χαλαστῶν N2N-GPN--- χάλαστα

2Ch 3:17
καὶ C--------- καί
ἔστησεν VAI-AAI3S- ἵστημι
τοὺς RA--APM--- ὁ
στύλους N2--APM--- στῦλος
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
τοῦ RA--GSM--- ὁ
ναοῦ N2--GSM--- ναός
ἕνα A3--ASM--- εἷς
ἐκ P--------- ἐκ
δεξιῶν A1A-GPM--- δεξιός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
ἕνα A3--ASM--- εἷς
ἐξ P--------- ἐκ
εὐωνύμων A1B-GPM--- εὐώνυμος
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
τοῦ RA--GSM--- ὁ
ἐκ P--------- ἐκ
δεξιῶν A1A-GPM--- δεξιός
Κατόρθωσις N3I-NSF--- Κατόρθωσις
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
τοῦ RA--GSM--- ὁ
ἐξ P--------- ἐκ
ἀριστερῶν A1A-GPM--- ἀριστερός
Ἰσχύς N3U-NSM--- ἰσχύς

2Ch 4:1
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
τὸ RA--ASN--- ὁ
θυσιαστήριον N2N-ASN--- θυσιαστήριον
χαλκοῦν A1C-ASM--- χαλκοῦς
πήχεων N3E-GPM--- πῆχυς
εἴκοσι M--------- εἴκοσι
