Job 1:1
εὐλογήσει VF--FAI3S- εὐλογέω

Job 2:6
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
διαβόλῳ N2--DSM--- διάβολος
ἰδοὺ I--------- ἰδού
παραδίδωμί V8--PAI1S- δίδωμι παρα
σοι RP--DS---- σύ
αὐτόν RD--ASM--- αὐτός
μόνον D--------- μόνον
τὴν RA--ASF--- ὁ
ψυχὴν N1--ASF--- ψυχή
αὐτοῦ RD--GSM--- αὐτός
διαφύλαξον VA--AAD2S- φυλάσσω δια

Job 2:7
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
διάβολος N2--NSM--- διάβολος
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἔπαισεν VAI-AAI3S- παίω
τὸν RA--ASM--- ὁ
Ιωβ N---ASM--- Ιωβ
ἕλκει N3E-DSN--- ἕλκος
πονηρῷ A1A-DSN--- πονηρός
ἀπὸ P--------- ἀπό
ποδῶν N3D-GPM--- πούς
ἕως P--------- ἕως
κεφαλῆς N1--GSF--- κεφαλή

Job 2:8
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
ὄστρακον N2N-ASN--- ὄστρακον
ἵνα C--------- ἵνα
τὸν RA--ASM--- ὁ
ἰχῶρα N3R-ASM--- ἰχώρ
ξύῃ V1--PAS3S- ξύω
καὶ C--------- καί
ἐκάθητο V1I-IMI3S- ἧμαι κατα
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κοπρίας N1A-GSF--- κοπρία
ἔξω P--------- ἔξω
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις

Job 2:9
χρόνου N2--GSM--- χρόνος
δὲ X--------- δέ
πολλοῦ A3U-GSM--- πολύς
προβεβηκότος VX--XAPGSM βαίνω προ
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
μέχρι P--------- μέχρι
τίνος RI--GSN--- τίς
καρτερήσεις VF--FAI2S- καρτερέω
λέγων V1--PAPNSM λέγω

Job 2:9a
ἰδοὺ I--------- ἰδού
ἀναμένω V1--PAI1S- μένω ἀνα
χρόνον N2--ASM--- χρόνος
ἔτι D--------- ἔτι
μικρὸν A1A-ASM--- μικρός
προσδεχόμενος V1--PMPNSM δέχομαι προς
τὴν RA--ASF--- ὁ
ἐλπίδα N3D-ASF--- ἐλπίς
τῆς RA--GSF--- ὁ
σωτηρίας N1A-GSF--- σωτηρία
μου RP--GS---- ἐγώ

Job 2:9b
ἰδοὺ I--------- ἰδού
γὰρ X--------- γάρ
ἠφάνισταί VT--XMI3S- ἵζω ἀπο ἀνα
σου RP--GS---- σύ
τὸ RA--NSN--- ὁ
μνημόσυνον N2N-NSN--- μνημόσυνον
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
υἱοὶ N2--NPM--- υἱός
καὶ C--------- καί
θυγατέρες N3--NPF--- θυγάτηρ
ἐμῆς A1--GSF--- ἐμός
κοιλίας N1A-GSF--- κοιλία
ὠδῖνες N3--NPF--- ὠδίν
καὶ C--------- καί
πόνοι N2--NPM--- πόνος
οὓς RR--APM--- ὅς
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
κενὸν A1--ASN--- κενός
ἐκοπίασα VAI-AAI1S- κοπιάω
μετὰ P--------- μετά
μόχθων N2--GPM--- μόχθος

Job 2:9c
σύ RP--NS---- σύ
τε X--------- τε
αὐτὸς RD--NSM--- αὐτός
ἐν P--------- ἐν
σαπρίᾳ N1A-DSF--- σαπρία
σκωλήκων N3K-GPM--- σκώληξ
κάθησαι V5--PMI2S- ἧμαι κατα
διανυκτερεύων V1--PAPNSM νυκτερεύω δια
αἴθριος A1B-NSM--- αἴθριος

Job 2:9d
κἀγὼ C+RPNS---- καί+ἐγώ
πλανῆτις N3D-NSF--- πλανῆτις
καὶ C--------- καί
λάτρις N3--NSF--- λάτρις
τόπον N2--ASM--- τόπος
ἐκ P--------- ἐκ
τόπου N2--GSM--- τόπος
περιερχομένη V1--PMPNSF ἔρχομαι περι
καὶ C--------- καί
οἰκίαν N1A-ASF--- οἰκία
ἐξ P--------- ἐκ
οἰκίας N1A-GSF--- οἰκία
προσδεχομένη V1--PMPNSF δέχομαι προς
τὸν RA--ASM--- ὁ
ἥλιον N2--ASM--- ἥλιος
πότε D--------- πότε
δύσεται VF--FMI3S- δύω
ἵνα C--------- ἵνα
ἀναπαύσωμαι VA--AMS1S- παύω ἀνα
τῶν RA--GPM--- ὁ
μόχθων N2--GPM--- μόχθος
καὶ C--------- καί
τῶν RA--GPF--- ὁ
ὀδυνῶν N1--GPF--- ὀδύνη
αἵ RR--NPF--- ὅς
με RP--AS---- ἐγώ
νῦν D--------- νῦν
συνέχουσιν V1--PAI3P- ἔχω συν

Job 2:9e
ἀλλὰ C--------- ἀλλά
εἰπόν VBI-AAD2S- εἶπον
τι RI--ASN--- τις
ῥῆμα N3M-ASN--- ῥῆμα
εἰς P--------- εἰς
κύριον N2--ASM--- κύριος
καὶ C--------- καί
τελεύτα V3--PAD2S- τελευτάω

Job 2:10
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
ἐμβλέψας VA--AAPNSM βλέπω ἐν
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
ὥσπερ D--------- ὥσπερ
μία A1A-NSF--- εἷς
τῶν RA--GPF--- ὁ
ἀφρόνων A3N-GPF--- ἄφρων
γυναικῶν N3K-GPF--- γυνή
ἐλάλησας VAI-AAI2S- λαλέω
εἰ C--------- εἰ
τὰ RA--APN--- ὁ
ἀγαθὰ A1--APN--- ἀγαθός
ἐδεξάμεθα VAI-AMI1P- δέχομαι
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
κυρίου N2--GSM--- κύριος
τὰ RA--APN--- ὁ
κακὰ A1--APN--- κακός
οὐχ D--------- οὐ
ὑποίσομεν VF--FAI1P- φέρω ὑπο
ἐν P--------- ἐν
πᾶσιν A3--DPN--- πᾶς
τούτοις RD--DPN--- οὗτος
τοῖς RA--DPN--- ὁ
συμβεβηκόσιν VX--XAPDPN βαίνω συν
αὐτῷ RD--DSM--- αὐτός
οὐδὲν A3--ASN--- οὐδείς
ἥμαρτεν VBI-AAI3S- ἁμαρτάνω
Ιωβ N---NSM--- Ιωβ
τοῖς RA--DPN--- ὁ
χείλεσιν N3E-DPN--- χεῖλος
ἐναντίον P--------- ἐναντίον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός

Job 2:11
ἀκούσαντες VA--AAPNPM ἀκούω
δὲ X--------- δέ
οἱ RA--NPM--- ὁ
τρεῖς A3--NPM--- τρεῖς
φίλοι A1--NPM--- φίλος
αὐτοῦ RD--GSM--- αὐτός
τὰ RA--APN--- ὁ
κακὰ A1--APN--- κακός
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἐπελθόντα VB--AAPAPN ἔρχομαι ἐπι
αὐτῷ RD--DSM--- αὐτός
παρεγένοντο VBI-AMI3P- γίγνομαι παρα
ἕκαστος A1--NSM--- ἕκαστος
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
ἰδίας A1A-GSF--- ἴδιος
χώρας N1A-GSF--- χώρα
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
Ελιφας N---NSM--- Ελιφας
ὁ RA--NSM--- ὁ
Θαιμανων N---GPM--- Θαιμάν
βασιλεύς N3V-NSM--- βασιλεύς
Βαλδαδ N---NSM--- Βαλδαδ
ὁ RA--NSM--- ὁ
Σαυχαίων N2--GPM--- Σαυχαῖος
τύραννος N2--NSM--- τύραννος
Σωφαρ N---NSM--- Σωφαρ
ὁ RA--NSM--- ὁ
Μιναίων N2--GPM--- Μιναῖος
βασιλεύς N3V-NSM--- βασιλεύς
καὶ C--------- καί
παρεγένοντο VBI-AMI3P- γίγνομαι παρα
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
ὁμοθυμαδὸν D--------- ὁμοθυμαδόν
τοῦ RA--GSN--- ὁ
παρακαλέσαι VA--AAN--- καλέω παρα
καὶ C--------- καί
ἐπισκέψασθαι VA--AMN--- σκέπτομαι ἐπι
αὐτόν RD--ASM--- αὐτός

Job 2:12
ἰδόντες VB--AAPNPM ὁράω
δὲ X--------- δέ
αὐτὸν RD--ASM--- αὐτός
πόρρωθεν D--------- πόρρωθεν
οὐκ D--------- οὐ
ἐπέγνωσαν VZI-AAI3P- γιγνώσκω ἐπι
καὶ C--------- καί
βοήσαντες VA--AAPNPM βοάω
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
ἔκλαυσαν VAI-AAI3P- κλαίω
ῥήξαντες VA--AAPNPM ῥήγνυμι
ἕκαστος A1--NSM--- ἕκαστος
τὴν RA--ASF--- ὁ
ἑαυτοῦ RD--GSM--- ἑαυτοῦ
στολὴν N1--ASF--- στολή
καὶ C--------- καί
καταπασάμενοι VA--AMPNPM πάσσω κατα
γῆν N1--ASF--- γῆ

Job 2:13
παρεκάθισαν VAI-AAI3P- ἵζω παρα κατα
αὐτῷ RD--DSM--- αὐτός
ἑπτὰ M--------- ἑπτά
ἡμέρας N1A-APF--- ἡμέρα
καὶ C--------- καί
ἑπτὰ M--------- ἑπτά
νύκτας N3--APF--- νύξ
καὶ C--------- καί
οὐδεὶς A3--NSM--- οὐδείς
αὐτῶν RD--GPM--- αὐτός
ἐλάλησεν VAI-AAI3S- λαλέω
ἑώρων V3I-IAI3P- ὁράω
γὰρ X--------- γάρ
τὴν RA--ASF--- ὁ
πληγὴν N1--ASF--- πληγή
δεινὴν A1--ASF--- δεινός
οὖσαν V9--PAPASF εἰμί
καὶ C--------- καί
μεγάλην A1--ASF--- μέγας
σφόδρα D--------- σφόδρα

Job 3:1
μετὰ P--------- μετά
τοῦτο RD--ASN--- οὗτος
ἤνοιξεν VAI-AAI3S- οἴγω ἀνα
Ιωβ N---NSM--- Ιωβ
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
αὐτοῦ RD--GSM--- αὐτός

Job 3:2
καὶ C--------- καί
κατηράσατο VAI-AMI3S- ἀράομαι κατα
τὴν RA--ASF--- ὁ
ἡμέραν N1A-ASF--- ἡμέρα
αὐτοῦ RD--GSM--- αὐτός
λέγων V1--PAPNSM λέγω

Job 3:3
ἀπόλοιτο VB--AMO3S- ὀλλύω ἀπο
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
ἐν P--------- ἐν
ᾗ RR--DSF--- ὅς
ἐγεννήθην VCI-API1S- γεννάω
καὶ C--------- καί
ἡ RA--NSF--- ὁ
νύξ N3--NSF--- νύξ
ἐν P--------- ἐν
ᾗ RR--DSF--- ὅς
εἶπαν VAI-AAI3P- εἶπον
ἰδοὺ I--------- ἰδού
ἄρσεν A3--NSN--- ἄρσην

Job 3:4
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
ἐκείνη RD--NSF--- ἐκεῖνος
εἴη V9--PAO3S- εἰμί
σκότος N3E-ASN--- σκότος
καὶ C--------- καί
μὴ D--------- μή
ἀναζητήσαι VA--AAO3S- ζητέω ἀνα
αὐτὴν RD--ASF--- αὐτός
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
ἄνωθεν D--------- ἄνωθεν
μηδὲ C--------- μηδέ
ἔλθοι VB--AAO3S- ἔρχομαι
εἰς P--------- εἰς
αὐτὴν RD--ASF--- αὐτός
φέγγος N3E-NSN--- φέγγος

Job 3:5
ἐκλάβοι VB--AAO3S- λαμβάνω ἐκ
δὲ X--------- δέ
αὐτὴν RD--ASF--- αὐτός
σκότος N3E-NSN--- σκότος
καὶ C--------- καί
σκιὰ N1A-NSF--- σκιά
θανάτου N2--GSM--- θάνατος
ἐπέλθοι VB--AAO3S- ἔρχομαι ἐπι
ἐπ' P--------- ἐπί
αὐτὴν RD--ASF--- αὐτός
γνόφος N2--NSM--- γνόφος

Job 3:6
καταραθείη VC--APO3S- ἀράομαι κατα
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
καὶ C--------- καί
ἡ RA--NSF--- ὁ
νὺξ N3--NSF--- νύξ
ἐκείνη RD--NSF--- ἐκεῖνος
ἀπενέγκαιτο VA--AMO3S- φέρω ἀπο
αὐτὴν RD--ASF--- αὐτός
σκότος N3E-NSN--- σκότος
μὴ D--------- μή
εἴη V9--PAO3S- εἰμί
εἰς P--------- εἰς
ἡμέρας N1A-APF--- ἡμέρα
ἐνιαυτοῦ N2--GSM--- ἐνιαυτός
μηδὲ C--------- μηδέ
ἀριθμηθείη VC--APO3S- ἀριθμέω
εἰς P--------- εἰς
ἡμέρας N1A-APF--- ἡμέρα
μηνῶν N3--GPM--- μήν

Job 3:7
ἀλλὰ C--------- ἀλλά
ἡ RA--NSF--- ὁ
νὺξ N3--NSF--- νύξ
ἐκείνη RD--NSF--- ἐκεῖνος
εἴη V9--PAO3S- εἰμί
ὀδύνη N1--NSF--- ὀδύνη
καὶ C--------- καί
μὴ D--------- μή
ἔλθοι VB--AAO3S- ἔρχομαι
ἐπ' P--------- ἐπί
αὐτὴν RD--ASF--- αὐτός
εὐφροσύνη N1--NSF--- εὐφροσύνη
μηδὲ C--------- μηδέ
χαρμονή N1--NSF--- χαρμονή

Job 3:8
ἀλλὰ C--------- ἀλλά
καταράσαιτο VA--AMO3S- ἀράομαι κατα
αὐτὴν RD--ASF--- αὐτός
ὁ RA--NSM--- ὁ
καταρώμενος V3--PMPNSM καταράομαι
τὴν RA--ASF--- ὁ
ἡμέραν N1A-ASF--- ἡμέρα
ἐκείνην RD--ASF--- ἐκεῖνος
ὁ RA--NSM--- ὁ
μέλλων V1--PAPNSM μέλλω
τὸ RA--ASN--- ὁ
μέγα A1P-ASN--- μέγας
κῆτος N3E-ASN--- κῆτος
χειρώσασθαι VA--AMN--- χειρόομαι

Job 3:9
σκοτωθείη VC--APO3S- σκοτόω
τὰ RA--NPN--- ὁ
ἄστρα N2N-NPN--- ἄστρον
τῆς RA--GSF--- ὁ
νυκτὸς N3--GSF--- νύξ
ἐκείνης RD--GSF--- ἐκεῖνος
ὑπομείναι VA--AAO3S- μένω ὑπο
καὶ D--------- καί
εἰς P--------- εἰς
φωτισμὸν N2--ASM--- φωτισμός
μὴ D--------- μή
ἔλθοι VB--AAO3S- ἔρχομαι
καὶ C--------- καί
μὴ D--------- μή
ἴδοι VB--AAO3S- ὁράω
ἑωσφόρον N2--ASM--- ἑωσφόρος
ἀνατέλλοντα V1--PAPASM τέλλω ἀνα

Job 3:10
ὅτι C--------- ὅτι
οὐ D--------- οὐ
συνέκλεισεν VAI-AAI3S- κλείω συν
πύλας N1--APF--- πύλη
γαστρὸς N3--GSF--- γαστήρ
μητρός N3--GSF--- μήτηρ
μου RP--GS---- ἐγώ
ἀπήλλαξεν VAI-AAI3S- ἀλλάσσω ἀπο
γὰρ X--------- γάρ
ἂν X--------- ἄν
πόνον N2--ASM--- πόνος
ἀπὸ P--------- ἀπό
ὀφθαλμῶν N2--GPM--- ὀφθαλμός
μου RP--GS---- ἐγώ

Job 3:11
διὰ P--------- διά
τί RI--ASN--- τίς
γὰρ X--------- γάρ
ἐν P--------- ἐν
κοιλίᾳ N1A-DSF--- κοιλία
οὐκ D--------- οὐ
ἐτελεύτησα VAI-AAI1S- τελευτάω
ἐκ P--------- ἐκ
γαστρὸς N3--GSF--- γαστήρ
δὲ X--------- δέ
ἐξῆλθον VBI-AAI1S- ἔρχομαι ἐκ
καὶ D--------- καί
οὐκ D--------- οὐ
εὐθὺς D--------- εὐθύς
ἀπωλόμην VBI-AMI1S- ὀλλύω ἀπο

Job 3:12
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
δὲ X--------- δέ
συνήντησάν VAI-AAI3P- ἀντάω συν
μοι RP--DS---- ἐγώ
γόνατα N3--NPN--- γόνυ
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
δὲ X--------- δέ
μαστοὺς N2--APM--- μαστός
ἐθήλασα VSI-AAI1S- θηλάζω

Job 3:13
νῦν D--------- νῦν
ἂν X--------- ἄν
κοιμηθεὶς VC--APPNSM κοιμάω
ἡσύχασα VA--AAI1S- ἡσυχάζω
ὑπνώσας VA--AAPNSM ὑπνόω
δὲ X--------- δέ
ἀνεπαυσάμην VAI-AMI1S- παύω ἀνα

Job 3:14
μετὰ P--------- μετά
βασιλέων N3V-GPM--- βασιλεύς
βουλευτῶν N1M-GPM--- βουλευτής
γῆς N1--GSF--- γῆ
οἳ RR--NPM--- ὅς
ἠγαυριῶντο V3I-IMI3P- ἀγαυριάω
ἐπὶ P--------- ἐπί
ξίφεσιν N3E-DPN--- ξίφος

Job 3:15
ἢ C--------- ἤ
μετὰ P--------- μετά
ἀρχόντων N3--GPM--- ἄρχων
ὧν RR--GPM--- ὅς
πολὺς A3U-NSM--- πολύς
ὁ RA--NSM--- ὁ
χρυσός N2--NSM--- χρυσός
οἳ RR--NPM--- ὅς
ἔπλησαν VAI-AAI3P- πίμπλημι
τοὺς RA--APM--- ὁ
οἴκους N2--APM--- οἶκος
αὐτῶν RD--GPM--- αὐτός
ἀργυρίου N2N-GSN--- ἀργύριον

Job 3:16
ἢ C--------- ἤ
ὥσπερ D--------- ὥσπερ
ἔκτρωμα N3M-NSN--- ἔκτρωμα
ἐκπορευόμενον V1--PMPNSM πορεύομαι ἐκ
ἐκ P--------- ἐκ
μήτρας N1A-GSF--- μήτρα
μητρὸς N3--GSF--- μήτηρ
ἢ C--------- ἤ
ὥσπερ D--------- ὥσπερ
νήπιοι A1--NPM--- νήπιος
οἳ RR--NPM--- ὅς
οὐκ D--------- οὐ
εἶδον VBI-AAI3P- ὁράω
φῶς N3T-ASN--- φῶς

Job 3:17
ἐκεῖ D--------- ἐκεῖ
ἀσεβεῖς A3H-NPM--- ἀσεβής
ἐξέκαυσαν VAI-AAI3P- καίω ἐκ
θυμὸν N2--ASM--- θυμός
ὀργῆς N1--GSF--- ὀργή
ἐκεῖ D--------- ἐκεῖ
ἀνεπαύσαντο VAI-AMI3P- παύω ἀνα
κατάκοποι A1B-NPM--- κατάκοπος
τῷ RA--DSN--- ὁ
σώματι N3M-DSN--- σῶμα

Job 3:18
ὁμοθυμαδὸν D--------- ὁμοθυμαδόν
δὲ X--------- δέ
οἱ RA--NPM--- ὁ
αἰώνιοι A1B-NPM--- αἰώνιος
οὐκ D--------- οὐ
ἤκουσαν VAI-AAI3P- ἀκούω
φωνὴν N1--ASF--- φωνή
φορολόγου N2--GSM--- φορολόγος

Job 3:19
μικρὸς A1A-NSM--- μικρός
καὶ C--------- καί
μέγας A1P-NSM--- μέγας
ἐκεῖ D--------- ἐκεῖ
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
θεράπων N3--NSM--- θεράπων
οὐ D--------- οὐ
δεδοικὼς VX--XAPNSM δείδω
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
αὐτοῦ RD--GSM--- αὐτός

Job 3:20
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
γὰρ X--------- γάρ
δέδοται VM--XMI3S- δίδωμι
τοῖς RA--DPM--- ὁ
ἐν P--------- ἐν
πικρίᾳ N1A-DSF--- πικρία
φῶς N3T-NSN--- φῶς
ζωὴ N1--NSF--- ζωή
δὲ X--------- δέ
ταῖς RA--DPF--- ὁ
ἐν P--------- ἐν
ὀδύναις N1--DPF--- ὀδύνη
ψυχαῖς N1--DPF--- ψυχή

Job 3:21
οἳ RR--NPM--- ὅς
ὁμείρονται V1--PMI3P- ὁμείρομαι
τοῦ RA--GSM--- ὁ
θανάτου N2--GSM--- θάνατος
καὶ C--------- καί
οὐ D--------- οὐ
τυγχάνουσιν V1--PAI3P- τυγχάνω
ἀνορύσσοντες V1--PAPNPM ὀρύσσω ἀνα
ὥσπερ D--------- ὥσπερ
θησαυρούς N2--APM--- θησαυρός

Job 3:22
περιχαρεῖς A3H-NPM--- περιχαρής
δὲ X--------- δέ
ἐγένοντο VBI-AMI3P- γίγνομαι
ἐὰν C--------- ἐάν
κατατύχωσιν VB--AAS3P- τυγχάνω κατα

Job 3:23
θάνατος N2--NSM--- θάνατος
ἀνδρὶ N3--DSM--- ἀνήρ
ἀνάπαυμα N3M-NSN--- ἀνάπαυμα
συνέκλεισεν VAI-AAI3S- κλείω συν
γὰρ X--------- γάρ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
κατ' P--------- κατά
αὐτοῦ RD--GSM--- αὐτός

Job 3:24
πρὸ P--------- πρό
γὰρ X--------- γάρ
τῶν RA--GPM--- ὁ
σίτων N2--GPM--- σῖτος
μου RP--GS---- ἐγώ
στεναγμός N2--NSM--- στεναγμός
μοι RP--DS---- ἐγώ
ἥκει V1--PAI3S- ἥκω
δακρύω V1--PAI1S- δακρύω
δὲ X--------- δέ
ἐγὼ RP--NS---- ἐγώ
συνεχόμενος V1--PMPNSM ἔχω συν
φόβῳ N2--DSM--- φόβος

Job 3:25
φόβος N2--NSM--- φόβος
γάρ X--------- γάρ
ὃν RR--ASM--- ὅς
ἐφρόντισα VAI-AAI1S- φροντίζω
ἦλθέν VBI-AAI3S- ἔρχομαι
μοι RP--DS---- ἐγώ
καὶ C--------- καί
ὃν RR--ASM--- ὅς
ἐδεδοίκειν VXI-YAI1S- δείδω
συνήντησέν VAI-AAI3S- ἀντάω συν
μοι RP--DS---- ἐγώ

Job 3:26
οὔτε C--------- οὔτε
εἰρήνευσα VAI-AAI1S- εἰρηνεύω
οὔτε C--------- οὔτε
ἡσύχασα VA--AAI1S- ἡσυχάζω
οὔτε C--------- οὔτε
ἀνεπαυσάμην VAI-AMI1S- παύω ἀνα
ἦλθεν VBI-AAI3S- ἔρχομαι
δέ X--------- δέ
μοι RP--DS---- ἐγώ
ὀργή N1--NSF--- ὀργή

Job 4:1
ὑπολαβὼν VB--AAPNSM λαμβάνω ὑπο
δὲ X--------- δέ
Ελιφας N---NSM--- Ελιφας
ὁ RA--NSM--- ὁ
Θαιμανίτης N1M-NSM--- Θαιμανίτης
λέγει V1--PAI3S- λέγω

Job 4:2
μὴ D--------- μή
πολλάκις D--------- πολλάκις
σοι RP--DS---- σύ
λελάληται VMI-XMI3S- λαλέω
ἐν P--------- ἐν
κόπῳ N2--DSM--- κόπος
ἰσχὺν N3U-ASF--- ἰσχύς
δὲ X--------- δέ
ῥημάτων N3M-GPN--- ῥῆμα
σου RP--GS---- σύ
τίς RI--NSM--- τίς
ὑποίσει VF--FAI3S- φέρω ὑπο

Job 4:3
εἰ C--------- εἰ
γὰρ X--------- γάρ
σὺ RP--NS---- σύ
ἐνουθέτησας VAI-AAI2S- νουθετέω
πολλοὺς A3U-APM--- πολύς
καὶ C--------- καί
χεῖρας N3--APF--- χείρ
ἀσθενοῦς A3H-APF--- ἀσθενής
παρεκάλεσας VAI-AAI2S- καλέω παρα

Job 4:4
ἀσθενοῦντάς V2--PAPAPM ἀσθενέω
τε X--------- τε
ἐξανέστησας VHI-AAI2S- ἵστημι ἐκ ἀνα
ῥήμασιν N3M-DPN--- ῥῆμα
γόνασίν N3--DPN--- γόνυ
τε X--------- τε
ἀδυνατοῦσιν V2--PAPDPN ἀδυνατέω
θάρσος N3E-ASN--- θάρσος
περιέθηκας VAI-AAI2S- τίθημι περι

Job 4:5
νῦν D--------- νῦν
δὲ X--------- δέ
ἥκει V1--PAI3S- ἥκω
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
πόνος N2--NSM--- πόνος
καὶ C--------- καί
ἥψατό VAI-AMI3S- ἅπτομαι
σου RP--GS---- σύ
σὺ RP--NS---- σύ
δὲ X--------- δέ
ἐσπούδασας VAI-AAI2S- σπουδάζω

Job 4:6
πότερον D--------- πότερον
