Dan 1:1
καθάπερ D--------- καθάπερ
οὖν X--------- οὖν
προστέταχα VX--XAI1S- τάσσω προς
οὕτως D--------- οὕτως
ἔσται VF--FMI3S- εἰμί

Dan 2:9
ἐὰν C--------- ἐάν
μὴ D--------- μή
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
ἀπαγγείλητέ VA--AAS2P- ἀγγέλλω ἀπο
μοι RP--DS---- ἐγώ
ἐπ' P--------- ἐπί
ἀληθείας N1A-GSF--- ἀλήθεια
καὶ C--------- καί
τὴν RA--ASF--- ὁ
τούτου RD--GSN--- οὗτος
σύγκρισιν N3I-ASF--- σύγκρισις
δηλώσητε VA--AAS2P- δηλόω
θανάτῳ N2--DSM--- θάνατος
περιπεσεῖσθε VF2-FMI2P- πίπτω περι
συνείπασθε VAI-AMI2P- εἶπον συν
γὰρ X--------- γάρ
λόγους N2--APM--- λόγος
ψευδεῖς A3H-APM--- ψευδής
ποιήσασθαι VA--AMN--- ποιέω
ἐπ' P--------- ἐπί
ἐμοῦ RP--GS---- ἐγώ
ἕως C--------- ἕως
ἂν X--------- ἄν
ὁ RA--NSM--- ὁ
καιρὸς N2--NSM--- καιρός
ἀλλοιωθῇ VC--APS3S- ἀλλοιόω
νῦν D--------- νῦν
οὖν X--------- οὖν
ἐὰν C--------- ἐάν
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
εἴπητέ VB--AAS2P- εἶπον
μοι RP--DS---- ἐγώ
ὃ RR--ASN--- ὅς
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
ἑώρακα VX--XAI1S- ὁράω
γνώσομαι VF--FMI1S- γιγνώσκω
ὅτι C--------- ὅτι
καὶ D--------- καί
τὴν RA--ASF--- ὁ
τούτου RD--GSN--- οὗτος
κρίσιν N3I-ASF--- κρίσις
δηλώσετε VF--FAI2P- δηλόω

Dan 2:10
καὶ C--------- καί
ἀπεκρίθησαν VCI-API3P- κρίνω ἀπο
οἱ RA--NPM--- ὁ
Χαλδαῖοι N2--NPM--- Χαλδαῖος
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ὅτι C--------- ὅτι
οὐδεὶς A3--NSM--- οὐδείς
τῶν RA--GPM--- ὁ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
δυνήσεται VF--FMI3S- δύναμαι
εἰπεῖν VB--AAN--- εἶπον
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
ὃ RR--NSN--- ὅς
ἑώρακε VX--XAI3S- ὁράω
καθάπερ D--------- καθάπερ
σὺ RP--NS---- σύ
ἐρωτᾷς V3--PAI2S- ἐρωτάω
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
δυνάστης N1M-NSM--- δυνάστης
τοιοῦτο RD--ASN--- τοιοῦτος
πρᾶγμα N3M-ASN--- πρᾶγμα
οὐκ D--------- οὐ
ἐπερωτᾷ V3--PAI3S- ἐρωτάω ἐπι
πάντα A3--ASM--- πᾶς
σοφὸν A1--ASM--- σοφός
καὶ C--------- καί
μάγον N2--ASM--- μάγος
καὶ C--------- καί
Χαλδαῖον N2--ASM--- Χαλδαῖος

Dan 2:11
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
ὃν RR--ASM--- ὅς
ζητεῖς V2--PAI2S- ζητέω
βασιλεῦ N3V-VSM--- βασιλεύς
βαρύς A3U-NSM--- βαρύς
ἐστι V9--PAI3S- εἰμί
καὶ C--------- καί
ἐπίδοξος A1B-NSM--- ἐπίδοξος
καὶ C--------- καί
οὐδείς A3--NSM--- οὐδείς
ἐστιν V9--PAI3S- εἰμί
ὃς RR--NSM--- ὅς
δηλώσει VF--FAI3S- δηλόω
ταῦτα RD--APN--- οὗτος
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
εἰ C--------- εἰ
μήτι D--------- μήτι
ἄγγελος N2--NSM--- ἄγγελος
οὗ RR--GSM--- ὅς
οὐκ D--------- οὐ
ἔστι V9--PAI3S- εἰμί
κατοικητήριον N2--ASN--- κατοικητήριον
μετὰ P--------- μετά
πάσης A1S-GSF--- πᾶς
σαρκός N3K-GSF--- σάρξ
ὅθεν D--------- ὅθεν
οὐκ D--------- οὐ
ἐνδέχεται V1--PMI3S- δέχομαι ἐν
γενέσθαι VB--AMN--- γίγνομαι
καθάπερ D--------- καθάπερ
οἴει V1--PAI3S- οἴομαι

Dan 2:12
τότε D--------- τότε
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
στυγνὸς A1--NSM--- στυγνός
γενόμενος VB--AMPNSM γίγνομαι
καὶ C--------- καί
περίλυπος A1B-NSM--- περίλυπος
προσέταξεν VAI-AAI3S- τάσσω προς
ἐξαγαγεῖν VB--AAN--- ἄγω ἐκ
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
σοφοὺς A1--APM--- σοφός
τῆς RA--GSF--- ὁ
Βαβυλωνίας N1A-GSF--- Βαβυλωνία

Dan 2:13
καὶ C--------- καί
ἐδογματίσθη VSI-API3S- δογματίζω
πάντας A3--APM--- πᾶς
ἀποκτεῖναι VA--AAN--- κτείνω ἀπο
ἐζητήθη VAI-API3S- ζητέω
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
Δανιηλ N---NSM--- Δανιηλ
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
χάριν N3--ASF--- χάρις
τοῦ RA--GSN--- ὁ
συναπολέσθαι VB--AMN--- ὄλλυμι συν ἀπο

Dan 2:14
τότε D--------- τότε
Δανιηλ N---NSM--- Δανιηλ
εἶπε VBI-AAI3S- εἶπον
βουλὴν N1--ASF--- βουλή
καὶ C--------- καί
γνώμην N1--ASF--- γνώμη
ἣν RR--ASF--- ὅς
εἶχεν V1I-IAI3S- ἔχω
Αριώχῃ N1M-DSM--- Αριώχης
τῷ RA--DSM--- ὁ
ἀρχιμαγείρῳ N2--DSM--- ἀρχιμάγειρος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ᾧ RR--DSM--- ὅς
προσέταξεν VAI-AAI3S- τάσσω προς
ἐξαγαγεῖν VB--AAN--- ἄγω ἐκ
τοὺς RA--APM--- ὁ
σοφιστὰς N1M-APM--- σοφιστής
τῆς RA--GSF--- ὁ
Βαβυλωνίας N1A-GSF--- Βαβυλωνία

Dan 2:15
καὶ C--------- καί
ἐπυνθάνετο V1I-IMI3S- πυνθάνομαι
αὐτοῦ RD--GSM--- αὐτός
λέγων V1--PAPNSM λέγω
περὶ P--------- περί
τίνος RI--GSN--- τίς
δογματίζεται V1--PMI3S- δογματίζω
πικρῶς D--------- πικρῶς
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
τότε D--------- τότε
τὸ RA--ASN--- ὁ
πρόσταγμα N3M-ASN--- πρόσταγμα
ἐσήμανεν VAI-AAI3S- σημαίνω
ὁ RA--NSM--- ὁ
Αριώχης N1M-NSM--- Αριώχης
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ

Dan 2:16
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
Δανιηλ N---NSM--- Δανιηλ
εἰσῆλθε VBI-AAI3S- ἔρχομαι εἰς
ταχέως D--------- ταχέως
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
καὶ C--------- καί
ἠξίωσεν VAI-AAI3S- ἀξιόω
ἵνα C--------- ἵνα
δοθῇ VC--APS3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
χρόνος N2--NSM--- χρόνος
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
δηλώσῃ VA--AAS3S- δηλόω
πάντα A3--ASM--- πᾶς
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

Dan 2:17
τότε D--------- τότε
ἀπελθὼν VB--AAPNSM ἔρχομαι ἀπο
Δανιηλ N---NSM--- Δανιηλ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
τῷ RA--DSM--- ὁ
Ανανια N1T-DSM--- Ανανιας
καὶ C--------- καί
Μισαηλ N---DSM--- Μισαηλ
καὶ C--------- καί
Αζαρια N1T-DSM--- Αζαριας
τοῖς RA--DPM--- ὁ
συνεταίροις N2--DPM--- συνέταιρος
ὑπέδειξε VAI-AAI3S- δεικνύω ὑπο
πάντα A3--APN--- πᾶς

Dan 2:18
καὶ C--------- καί
παρήγγειλε VAI-AAI3S- ἀγγέλλω παρα
νηστείαν N1A-ASF--- νηστεία
καὶ C--------- καί
δέησιν N3I-ASF--- δέησις
καὶ C--------- καί
τιμωρίαν N1A-ASF--- τιμωρία
ζητῆσαι VA--AAN--- ζητέω
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
ὑψίστου A1--GSM--- ὕψιστος
περὶ P--------- περί
τοῦ RA--GSN--- ὁ
μυστηρίου N2N-GSN--- μυστήριον
τούτου RD--GSN--- οὗτος
ὅπως C--------- ὅπως
μὴ D--------- μή
ἐκδοθῶσι VC--APS3P- δίδωμι ἐκ
Δανιηλ N---NSM--- Δανιηλ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
ἀπώλειαν N1A-ASF--- ἀπώλεια
ἅμα D--------- ἅμα
τοῖς RA--DPM--- ὁ
σοφισταῖς N1M-DPM--- σοφιστής
Βαβυλῶνος N3W-GSF--- Βαβυλών

Dan 2:19
τότε D--------- τότε
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
ἐν P--------- ἐν
ὁράματι N3M-DSN--- ὅραμα
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
τῇ RA--DSF--- ὁ
νυκτὶ N3--DSF--- νύξ
τὸ RA--NSN--- ὁ
μυστήριον N2N-NSN--- μυστήριον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἐξεφάνθη VCI-API3S- φαίνω ἐκ
εὐσήμως D--------- εὐσήμως
τότε D--------- τότε
Δανιηλ N---NSM--- Δανιηλ
εὐλόγησε VA--AAI3S- εὐλογέω
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
ὕψιστον A1--ASM--- ὕψιστος

Dan 2:20
καὶ C--------- καί
ἐκφωνήσας VA--AAPNSM φωνέω ἐκ
εἶπεν VBI-AAI3S- εἶπον
ἔσται VF--FMI3S- εἰμί
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
μεγάλου A1--GSM--- μέγας
εὐλογημένον VM--XPPASM εὐλογέω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
ὅτι C--------- ὅτι
ἡ RA--NSF--- ὁ
σοφία N1A-NSF--- σοφία
καὶ C--------- καί
ἡ RA--NSF--- ὁ
μεγαλωσύνη N1--NSF--- μεγαλωσύνη
αὐτοῦ RD--GSM--- αὐτός
ἐστι V9--PAI3S- εἰμί

Dan 2:21
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
ἀλλοιοῖ V4--PAI3S- ἀλλοιόω
καιροὺς N2--APM--- καιρός
καὶ C--------- καί
χρόνους N2--APM--- χρόνος
μεθιστῶν V6--PAPNSM ἵστημι μετα
βασιλεῖς N3V-NPM--- βασιλεύς
καὶ C--------- καί
καθιστῶν V6--PAPNSM ἵστημι κατα
διδοὺς V8--PAPNSM δίδωμι
σοφοῖς A1--DPM--- σοφός
σοφίαν N1A-ASF--- σοφία
καὶ C--------- καί
σύνεσιν N3I-ASF--- σύνεσις
τοῖς RA--DPM--- ὁ
ἐν P--------- ἐν
ἐπιστήμῃ N1--DSF--- ἐπιστήμη
οὖσιν V9--PAPDPM εἰμί

Dan 2:22
ἀνακαλύπτων V1--PAPNSM καλύπτω ἀνα
τὰ RA--APN--- ὁ
βαθέα A3U-APN--- βαθύς
καὶ C--------- καί
σκοτεινὰ A1--APN--- σκοτεινός
καὶ C--------- καί
γινώσκων V1--PAPNSM γιγνώσκω
τὰ RA--APN--- ὁ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
σκότει N3E-DSN--- σκότος
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
φωτί N3T-DSN--- φῶς
καὶ C--------- καί
παρ' P--------- παρά
αὐτῷ RD--DSM--- αὐτός
κατάλυσις N3I-NSF--- κατάλυσις

Dan 2:23
σοί RP--DS---- σύ
κύριε N2--VSM--- κύριος
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
μου RP--GS---- ἐγώ
ἐξομολογοῦμαι V2--PMI1S- ὁμολογέω ἐκ
καὶ C--------- καί
αἰνῶ V2--PAI1S- αἰνέω
ὅτι C--------- ὅτι
σοφίαν N1A-ASF--- σοφία
καὶ C--------- καί
φρόνησιν N3I-ASF--- φρόνησις
ἔδωκάς VAI-AAI2S- δίδωμι
μοι RP--DS---- ἐγώ
καὶ C--------- καί
νῦν D--------- νῦν
ἐσήμανάς VAI-AAI2S- σημαίνω
μοι RP--DS---- ἐγώ
ὅσα A1--APN--- ὅσος
ἠξίωσα VAI-AAI1S- ἀξιόω
τοῦ RA--GSN--- ὁ
δηλῶσαι VA--AAN--- δηλόω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
πρὸς P--------- πρός
ταῦτα RD--APN--- οὗτος

Dan 2:24
εἰσελθὼν VB--AAPNSM ἔρχομαι εἰς
δὲ X--------- δέ
Δανιηλ N---NSM--- Δανιηλ
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
Αριωχ N---ASM--- Αριωχ
τὸν RA--ASM--- ὁ
κατασταθέντα VC--APPASM ἵστημι κατα
ὑπὸ P--------- ὑπό
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἀποκτεῖναι VA--AAN--- κτείνω ἀπο
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
σοφιστὰς N1M-APM--- σοφιστής
τῆς RA--GSF--- ὁ
Βαβυλωνίας N1A-GSF--- Βαβυλωνία
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
τοὺς RA--APM--- ὁ
μὲν X--------- μέν
σοφιστὰς N1M-APM--- σοφιστής
τῆς RA--GSF--- ὁ
Βαβυλωνίας N1A-GSF--- Βαβυλωνία
μὴ D--------- μή
ἀπολέσῃς VA--AAS2S- ὀλλύω ἀπο
εἰσάγαγε VB--AAD2S- ἄγω εἰς
δέ X--------- δέ
με RP--AS---- ἐγώ
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
καὶ C--------- καί
ἕκαστα A1--APN--- ἕκαστος
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
δηλώσω VF--FAI1S- δηλόω

Dan 2:25
τότε D--------- τότε
Αριωχ N---NSM--- Αριωχ
κατὰ P--------- κατά
σπουδὴν N1--ASF--- σπουδή
εἰσήγαγεν VBI-AAI3S- ἄγω εἰς
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ὅτι C--------- ὅτι
εὕρηκα VX--XAI1S- εὑρίσκω
ἄνθρωπον N2--ASM--- ἄνθρωπος
σοφὸν A1--ASM--- σοφός
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία
ὃς RR--NSM--- ὅς
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
δηλώσει VF--FAI3S- δηλόω
ἕκαστα A1--APN--- ἕκαστος

Dan 2:26
ἀποκριθεὶς VC--APPNSM κρίνω ἀπο
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἶπε VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
ἐπικαλουμένῳ V2--PPPDSM καλέω ἐπι
δὲ X--------- δέ
Χαλδαϊστὶ D--------- Χαλδαϊστί
Βαλτασαρ N---DSM--- Βαλτασαρ
δυνήσῃ VF--FMI2S- δύναμαι
δηλῶσαί VA--AAN--- δηλόω
μοι RP--DS---- ἐγώ
τὸ RA--ASN--- ὁ
ὅραμα N3M-ASN--- ὅραμα
ὃ RR--ASN--- ὅς
εἶδον VBI-AAI1S- ὁράω
καὶ C--------- καί
τὴν RA--ASF--- ὁ
τούτου RD--GSN--- οὗτος
σύγκρισιν N3I-ASF--- σύγκρισις

Dan 2:27
ἐκφωνήσας VA--AAPNSM φωνέω ἐκ
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
Δανιηλ N---NSM--- Δανιηλ
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
εἶπεν VBI-AAI3S- εἶπον
τὸ RA--ASN--- ὁ
μυστήριον N2N-ASN--- μυστήριον
ὃ RR--ASN--- ὅς
ἑώρακεν VX--XAI3S- ὁράω
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
οὐκ D--------- οὐ
ἔστι V9--PAI3S- εἰμί
σοφῶν A1--GPM--- σοφός
καὶ C--------- καί
φαρμακῶν N2--GPM--- φαρμακός
καὶ C--------- καί
ἐπαοιδῶν N2--GPM--- ἐπαοιδός
καὶ C--------- καί
γαζαρηνῶν N2--GPM--- γαζαρηνός
ἡ RA--NSF--- ὁ
δήλωσις N3I-NSF--- δήλωσις

Dan 2:28
ἀλλ' C--------- ἀλλά
ἔστι V9--PAI3S- εἰμί
θεὸς N2--NSM--- θεός
ἐν P--------- ἐν
οὐρανῷ N2--DSM--- οὐρανός
ἀνακαλύπτων V1--PAPNSM καλύπτω ἀνα
μυστήρια N2N-APN--- μυστήριον
ὃς RR--NSM--- ὅς
ἐδήλωσε VAI-AAI3S- δηλόω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
Ναβουχοδονοσορ N---DSM--- Ναβουχοδονοσορ
ἃ RR--APN--- ὅς
δεῖ V2--PAI3S- δέω
γενέσθαι VB--AMN--- γίγνομαι
ἐπ' P--------- ἐπί
ἐσχάτων A1--GPF--- ἔσχατος
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα
βασιλεῦ N3V-VSM--- βασιλεύς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
ζῆθι V3--PAD2S- ζάω
τὸ RA--NSN--- ὁ
ἐνύπνιον N2N-NSN--- ἐνύπνιον
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ὅραμα N3M-NSN--- ὅραμα
τῆς RA--GSF--- ὁ
κεφαλῆς N1--GSF--- κεφαλή
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κοίτης N1--GSF--- κοίτη
σου RP--GS---- σύ
τοῦτό RD--NSN--- οὗτος
ἐστι V9--PAI3S- εἰμί

Dan 2:29
σύ RP--NS---- σύ
βασιλεῦ N3V-VSM--- βασιλεύς
κατακλιθεὶς VC--APPNSM κλίνω κατα
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κοίτης N1--GSF--- κοίτη
σου RP--GS---- σύ
ἑώρακας VX--XAI2S- ὁράω
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
δεῖ V2--PAI3S- δέω
γενέσθαι VB--AMN--- γίγνομαι
ἐπ' P--------- ἐπί
ἐσχάτων A1--GPF--- ἔσχατος
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἀνακαλύπτων V1--PAPNSM καλύπτω ἀνα
μυστήρια N2N-APN--- μυστήριον
ἐδήλωσέ VAI-AAI3S- δηλόω
σοι RP--DS---- σύ
ἃ RR--APN--- ὅς
δεῖ V2--PAI3S- δέω
γενέσθαι VB--AMN--- γίγνομαι

Dan 2:30
κἀμοὶ C+RPDS---- καί+ἐμός
δὲ X--------- δέ
οὐ D--------- οὐ
παρὰ P--------- παρά
τὴν RA--ASF--- ὁ
σοφίαν N1A-ASF--- σοφία
τὴν RA--ASF--- ὁ
οὖσαν V9--PAPASF εἰμί
ἐν P--------- ἐν
ἐμοὶ RP--DS---- ἐγώ
ὑπὲρ P--------- ὑπέρ
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἀνθρώπους N2--APM--- ἄνθρωπος
τὸ RA--NSN--- ὁ
μυστήριον N2N-NSN--- μυστήριον
τοῦτο RD--NSN--- οὗτος
ἐξεφάνθη VCI-API3S- φαίνω ἐκ
ἀλλ' C--------- ἀλλά
ἕνεκεν P--------- ἕνεκεν
τοῦ RA--GSN--- ὁ
δηλωθῆναι VC--APN--- δηλόω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
ἐσημάνθη VCI-API3S- σημαίνω
μοι RP--DS---- ἐγώ
ἃ RR--APN--- ὅς
ὑπέλαβες VBI-AAI2S- λαμβάνω ὑπο
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
σου RP--GS---- σύ
ἐν P--------- ἐν
γνώσει N3I-DSF--- γνῶσις

Dan 2:31
καὶ C--------- καί
σύ RP--NS---- σύ
βασιλεῦ N3V-VSM--- βασιλεύς
ἑώρακας VX--XAI2S- ὁράω
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
εἰκὼν N3N-NSF--- εἰκών
μία A1A-NSF--- εἷς
καὶ C--------- καί
ἦν V9I-IAI3S- εἰμί
ἡ RA--NSF--- ὁ
εἰκὼν N3N-NSF--- εἰκών
ἐκείνη RD--NSF--- ἐκεῖνος
μεγάλη A1--NSF--- μέγας
σφόδρα D--------- σφόδρα
καὶ C--------- καί
ἡ RA--NSF--- ὁ
πρόσοψις N3I-NSF--- πρόσοψις
αὐτῆς RD--GSF--- αὐτός
ὑπερφερὴς A3H-NSF--- ὑπερφερής
ἑστήκει VXI-YAI3S- ἵστημι
ἐναντίον P--------- ἐναντίον
σου RP--GS---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
πρόσοψις N3I-NSF--- πρόσοψις
τῆς RA--GSF--- ὁ
εἰκόνος N3N-GSF--- εἰκών
φοβερά A1A-NSF--- φοβερός

Dan 2:32
καὶ C--------- καί
ἦν V9I-IAI3S- εἰμί
ἡ RA--NSF--- ὁ
κεφαλὴ N1--NSF--- κεφαλή
αὐτῆς RD--GSF--- αὐτός
ἀπὸ P--------- ἀπό
