Hos 1:1
πόλεμος N2--NSM--- πόλεμος
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
τέκνα N2N-APN--- τέκνον
ἀδικίας N1A-GSF--- ἀδικία

Hos 10:10
ἦλθεν VBI-AAI3S- ἔρχομαι
παιδεῦσαι VA--AAN--- παιδεύω
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
συναχθήσονται VQ--FPI3P- ἄγω συν
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
λαοὶ N2--NPM--- λαός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
παιδεύεσθαι V1--PMN--- παιδεύω
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
δυσὶν M---DPF--- δύο
ἀδικίαις N1A-DPF--- ἀδικία
αὐτῶν RD--GPM--- αὐτός

Hos 10:11
Εφραιμ N---NSM--- Ἐφράιμ
δάμαλις N3I-NSF--- δάμαλις
δεδιδαγμένη VK--XPPNSF διδάσκω
ἀγαπᾶν V3--PAN--- ἀγαπάω
νεῖκος N3E-ASN--- νεῖκος
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
ἐπελεύσομαι VF--FMI1S- ἔρχομαι ἐπι
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
κάλλιστον A1--ASMS-- καλός
τοῦ RA--GSM--- ὁ
τραχήλου N2--GSM--- τράχηλος
αὐτῆς RD--GSF--- αὐτός
ἐπιβιβῶ VF2-FAI1S- βιβάζω ἐπι
Εφραιμ N---ASM--- Ἐφράιμ
καὶ C--------- καί
παρασιωπήσομαι VF--FMI1S- σιωπάω παρα
Ιουδαν N1T-ASM--- Ἰούδας
ἐνισχύσει VF--FAI3S- ἰσχύω ἐν
αὐτῷ RD--DSM--- αὐτός
Ιακωβ N---NSM--- Ἰακώβ

Hos 10:12
σπείρατε VA--AAD2P- σπείρω
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
εἰς P--------- εἰς
δικαιοσύνην N1--ASF--- δικαιοσύνη
τρυγήσατε VA--AAD2P- τρυγάω
εἰς P--------- εἰς
καρπὸν N2--ASM--- καρπός
ζωῆς N1--GSF--- ζωή
φωτίσατε VA--AAD2P- φωτίζω
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
φῶς N3T-ASN--- φῶς
γνώσεως N3I-GSF--- γνῶσις
ἐκζητήσατε VA--AAD2P- ζητέω ἐκ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ἐλθεῖν VB--AAN--- ἔρχομαι
γενήματα N3M-APN--- γένημα
δικαιοσύνης N1--GSF--- δικαιοσύνη
ὑμῖν RP--DP---- σύ

Hos 10:13
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
παρεσιωπήσατε VAI-AAI2P- σιωπάω παρα
ἀσέβειαν N1A-ASF--- ἀσέβεια
καὶ C--------- καί
τὰς RA--APF--- ὁ
ἀδικίας N1A-APF--- ἀδικία
αὐτῆς RD--GSF--- αὐτός
ἐτρυγήσατε VAI-AAI2P- τρυγάω
ἐφάγετε VBI-AAI2P- ἐσθίω
καρπὸν N2--ASM--- καρπός
ψευδῆ A3H-APN--- ψευδής
ὅτι C--------- ὅτι
ἤλπισας VAI-AAI2S- ἐλπίζω
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἅρμασίν N3M-DPN--- ἅρμα
σου RP--GS---- σύ
ἐν P--------- ἐν
πλήθει N3E-DSN--- πλῆθος
δυνάμεώς N3I-GSF--- δύναμις
σου RP--GS---- σύ

Hos 10:14
καὶ C--------- καί
ἐξαναστήσεται VF--FMI3S- ἵστημι ἐκ ἀνα
ἀπώλεια N1A-NSF--- ἀπώλεια
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
σου RP--GS---- σύ
καὶ C--------- καί
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
περιτετειχισμένα VT--XMPNPN τειχίζω περι
σου RP--GS---- σύ
οἰχήσεται VF--FMI3S- οἴχομαι
ὡς C--------- ὡς
ἄρχων N3--NSM--- ἄρχων
Σαλαμαν N---NSM--- Σαλαμαν
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
Ιεροβααλ N---GS---- Ιεροβααλ
ἐν P--------- ἐν
ἡμέραις N1A-DPF--- ἡμέρα
πολέμου N2--GSM--- πόλεμος
μητέρα N3--ASF--- μήτηρ
ἐπὶ P--------- ἐπί
τέκνοις N2N-DPN--- τέκνον
ἠδάφισαν VAI-AAI3P- ἐδαφίζω

Hos 10:15
οὕτως D--------- οὕτως
ποιήσω VF--FAI1S- ποιέω
ὑμῖν RP--DP---- σύ
οἶκος N2--NSM--- οἶκος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
κακιῶν N1A-GPF--- κακία
ὑμῶν RP--GP---- σύ
ὄρθρου N2--GSM--- ὄρθρος
ἀπερρίφησαν VV--API3P- ῥίπτω ἀπο
ἀπερρίφη VV--API3S- ῥίπτω ἀπο
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ

Hos 11:1
διότι C--------- διότι
νήπιος A1A-NSM--- νήπιος
Ισραηλ N---NSM--- Ἰσραήλ
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἠγάπησα VAI-AAI1S- ἀγαπάω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
ἐξ P--------- ἐκ
Αἰγύπτου N2--GSF--- Αἴγυπτος
μετεκάλεσα VAI-AAI1S- καλέω μετα
τὰ RA--APN--- ὁ
τέκνα N2N-APN--- τέκνον
αὐτοῦ RD--GSM--- αὐτός

Hos 11:2
καθὼς D--------- καθώς
μετεκάλεσα VAI-AAI1S- καλέω μετα
αὐτούς RD--APM--- αὐτός
οὕτως D--------- οὕτως
ἀπῴχοντο V1I-IMI3P- οἴχομαι ἀπο
ἐκ P--------- ἐκ
προσώπου N2N-GSN--- πρόσωπον
μου RP--GS---- ἐγώ
αὐτοὶ RD--NPM--- αὐτός
τοῖς RA--DPM--- ὁ
Βααλιμ N---DPM--- Βααλιμ
ἔθυον V1I-IAI3P- θύω
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
γλυπτοῖς A1--DPM--- γλυπτός
ἐθυμίων V3I-IAI3P- θυμιάω

Hos 11:3
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
συνεπόδισα VAI-AAI1S- ποδίζω συν
τὸν RA--ASM--- ὁ
Εφραιμ N---ASM--- Ἐφράιμ
ἀνέλαβον VBI-AAI1S- λαμβάνω ἀνα
αὐτὸν RD--ASM--- αὐτός
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
βραχίονά N3N-ASM--- βραχίων
μου RP--GS---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔγνωσαν VZI-AAI3P- γιγνώσκω
ὅτι C--------- ὅτι
ἴαμαι VM--XPI1S- ἰάομαι
αὐτούς RD--APM--- αὐτός

Hos 11:4
ἐν P--------- ἐν
διαφθορᾷ N1A-DSF--- διαφθορά
ἀνθρώπων N2--GPM--- ἄνθρωπος
ἐξέτεινα VAI-AAI1S- τείνω ἐκ
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
δεσμοῖς N2--DPM--- δεσμός
ἀγαπήσεώς N3I-GSF--- ἀγάπησις
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἔσομαι VF--FMI1S- εἰμί
αὐτοῖς RD--DPM--- αὐτός
ὡς C--------- ὡς
ῥαπίζων V1--PAPNSM ῥαπίζω
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
σιαγόνας N3N-APF--- σιαγών
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπιβλέψομαι VF--FMI1S- βλέπω ἐπι
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
δυνήσομαι VF--FMI1S- δύναμαι
αὐτῷ RD--DSM--- αὐτός

Hos 11:5
κατῴκησεν VAI-AAI3S- οἰκέω κατα
Εφραιμ N---NSM--- Ἐφράιμ
ἐν P--------- ἐν
Αἰγύπτῳ N2--DSF--- Αἴγυπτος
καὶ C--------- καί
Ασσουρ N---NSM--- Ασσουρ
αὐτὸς RD--NSM--- αὐτός
βασιλεὺς N3V-NSM--- βασιλεύς
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἠθέλησεν VAI-AAI3S- θέλω
ἐπιστρέψαι VA--AAN--- στρέφω ἐπι

Hos 11:6
καὶ C--------- καί
ἠσθένησεν VAI-AAI3S- ἀσθενέω
ῥομφαία N1A-NSF--- ῥομφαία
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πόλεσιν N3I-DPF--- πόλις
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
κατέπαυσεν VAI-AAI3S- παύω κατα
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
χερσὶν N3--DPF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
φάγονται VF--FMI3P- ἐσθίω
ἐκ P--------- ἐκ
τῶν RA--GPF--- ὁ
διαβουλίων N1A-GPF--- διαβουλία
αὐτῶν RD--GPM--- αὐτός

Hos 11:7
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
αὐτοῦ RD--GSM--- αὐτός
ἐπικρεμάμενος V1--PMPNSM κρεμάννυμι ἐπι
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
κατοικίας N1A-GSF--- κατοικία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
τίμια A1A-APN--- τίμιος
αὐτοῦ RD--GSM--- αὐτός
θυμωθήσεται VC--FPI3S- θυμόω
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ὑψώσῃ V4--AAS3S- ὑψόω
αὐτόν RD--ASM--- αὐτός

Hos 11:8
τί RI--ASN--- τίς
σε RP--AS---- σύ
διαθῶ VE--AAS1S- τίθημι δια
Εφραιμ N---VSM--- Ἐφράιμ
ὑπερασπιῶ VF2-FAI1S- ἀσπίζω ὑπερ
σου RP--GS---- σύ
Ισραηλ N---VSM--- Ἰσραήλ
τί RI--ASN--- τίς
σε RP--AS---- σύ
διαθῶ VE--AAS1S- τίθημι δια
ὡς C--------- ὡς
Αδαμα N---AS---- Αδαμα
θήσομαί VF--FMI1S- τίθημι
σε RP--AS---- σύ
καὶ C--------- καί
ὡς C--------- ὡς
Σεβωιμ N---A----- Σεβωιμ
μετεστράφη VDI-API3S- στρέφω μετα
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
αὐτῷ RD--DSM--- αὐτός
συνεταράχθη VQI-API3S- ταράσσω συν
ἡ RA--NSF--- ὁ
μεταμέλειά N1A-NSF--- μεταμέλεια
μου RP--GS---- ἐγώ

Hos 11:9
οὐ D--------- οὐ
μὴ D--------- μή
ποιήσω VA--AAS1S- ποιέω
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ὀργὴν N1--ASF--- ὀργή
τοῦ RA--GSM--- ὁ
θυμοῦ N2--GSM--- θυμός
μου RP--GS---- ἐγώ
οὐ D--------- οὐ
μὴ D--------- μή
ἐγκαταλίπω VB--AAS1S- λείπω ἐν κατα
τοῦ RA--GSN--- ὁ
ἐξαλειφθῆναι VV--APN--- ἀλείφω ἐκ
τὸν RA--ASM--- ὁ
Εφραιμ N---ASM--- Ἐφράιμ
διότι C--------- διότι
θεὸς N2--NSM--- θεός
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
καὶ C--------- καί
οὐκ D--------- οὐ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἐν P--------- ἐν
σοὶ RP--DS---- σύ
ἅγιος A1A-NSM--- ἅγιος
καὶ C--------- καί
οὐκ D--------- οὐ
εἰσελεύσομαι VF--FMI1S- ἔρχομαι εἰς
εἰς P--------- εἰς
πόλιν N3I-ASF--- πόλις

Hos 11:10
ὀπίσω P--------- ὀπίσω
κυρίου N2--GSM--- κύριος
πορεύσομαι VF--FMI1S- πορεύομαι
ὡς C--------- ὡς
λέων N3W-NSM--- λέων
ἐρεύξεται VF--FMI3S- ἐρεύγομαι
ὅτι C--------- ὅτι
αὐτὸς RD--NSM--- αὐτός
ὠρύσεται VF--FMI3S- ὠρύομαι
καὶ C--------- καί
ἐκστήσονται VF--FMI3P- ἵστημι ἐκ
τέκνα N2N-NPN--- τέκνον
ὑδάτων N3T-GPN--- ὕδωρ

Hos 11:11
καὶ C--------- καί
ἐκστήσονται VF--FMI3P- ἵστημι ἐκ
ὡς C--------- ὡς
ὄρνεον N2N-NSN--- ὄρνεον
ἐξ P--------- ἐκ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ὡς C--------- ὡς
περιστερὰ N1A-NSF--- περιστερά
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Ἀσσυρίων N2--GPM--- Ἀσσύριος
καὶ C--------- καί
ἀποκαταστήσω VF--FAI1S- ἵστημι ἀπο κατα
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
οἴκους N2--APM--- οἶκος
αὐτῶν RD--GPM--- αὐτός
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Hos 12:1
ἐκύκλωσέν VAI-AAI3S- κυκλόω
με RP--AS---- ἐγώ
ἐν P--------- ἐν
ψεύδει N3E-DSN--- ψεῦδος
Εφραιμ N---NSM--- Ἐφράιμ
καὶ C--------- καί
ἐν P--------- ἐν
ἀσεβείαις N1A-DPF--- ἀσέβεια
οἶκος N2--NSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
Ιουδα N---GSM--- Ιουδα
νῦν D--------- νῦν
ἔγνω VZI-AAI3S- γιγνώσκω
αὐτοὺς RD--APM--- αὐτός
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
καὶ C--------- καί
λαὸς N2--NSM--- λαός
ἅγιος A1A-NSM--- ἅγιος
κεκλήσεται VFX-FPI3S- καλέω
θεοῦ N2--GSM--- θεός

Hos 12:2
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
Εφραιμ N---NSM--- Ἐφράιμ
πονηρὸν A1A-ASN--- πονηρός
πνεῦμα N3M-ASN--- πνεῦμα
ἐδίωξεν VAI-AAI3S- διώκω
καύσωνα N3W-ASM--- καύσων
ὅλην A1--ASF--- ὅλος
τὴν RA--ASF--- ὁ
ἡμέραν N1A-ASF--- ἡμέρα
κενὰ A1--APN--- κενός
καὶ C--------- καί
μάταια A1A-APN--- μάταιος
ἐπλήθυνεν V1I-IAI3S- πληθύνω
καὶ C--------- καί
διαθήκην N1--ASF--- διαθήκη
μετὰ P--------- μετά
Ἀσσυρίων N2--GPM--- Ἀσσύριος
διέθετο VEI-AMI3S- τίθημι δια
καὶ C--------- καί
ἔλαιον N2N-ASN--- ἔλαιον
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
ἐνεπορεύετο V1I-IMI3S- πορεύομαι ἐν

Hos 12:3
καὶ C--------- καί
κρίσις N3I-NSF--- κρίσις
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
πρὸς P--------- πρός
Ιουδαν N1T-ASM--- Ἰούδας
τοῦ RA--GSN--- ὁ
ἐκδικῆσαι VA--AAN--- δικέω ἐκ
τὸν RA--ASM--- ὁ
Ιακωβ N---ASM--- Ἰακώβ
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
ὁδοὺς N2--APF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
ἐπιτηδεύματα N3M-APN--- ἐπιτήδευμα
αὐτοῦ RD--GSM--- αὐτός
ἀνταποδώσει VF--FAI3S- δίδωμι ἀντι ἀπο
αὐτῷ RD--DSM--- αὐτός

Hos 12:4
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
κοιλίᾳ N1A-DSF--- κοιλία
ἐπτέρνισεν VAI-AAI3S- πτερνίζω
τὸν RA--ASM--- ὁ
ἀδελφὸν N2--ASM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
κόποις N2--DPM--- κόπος
αὐτοῦ RD--GSM--- αὐτός
ἐνίσχυσεν VAI-AAI3S- ἰσχύω ἐν
πρὸς P--------- πρός
θεὸν N2--ASM--- θεός

Hos 12:5
καὶ C--------- καί
ἐνίσχυσεν VAI-AAI3S- ἰσχύω ἐν
μετὰ P--------- μετά
ἀγγέλου N2--GSM--- ἄγγελος
καὶ C--------- καί
ἠδυνάσθη VSI-API3S- δύναμαι
ἔκλαυσαν VAI-AAI3P- κλαίω
καὶ C--------- καί
ἐδεήθησάν VCI-API3P- δέω
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
Ων N---GS---- Ων
εὕροσάν VA--AAI3P- εὑρίσκω
με RP--AS---- ἐγώ
καὶ C--------- καί
ἐκεῖ D--------- ἐκεῖ
ἐλαλήθη VCI-API3S- λαλέω
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός

Hos 12:6
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὁ RA--NSM--- ὁ
παντοκράτωρ N3R-NSM--- παντοκράτωρ
ἔσται V9--FMI3S- εἰμί
μνημόσυνον N2N-NSN--- μνημόσυνον
αὐτοῦ RD--GSM--- αὐτός

Hos 12:7
καὶ C--------- καί
σὺ RP--NS---- σύ
ἐν P--------- ἐν
θεῷ N2--DSM--- θεός
σου RP--GS---- σύ
ἐπιστρέψεις VF--FAI2S- στρέφω ἐπι
ἔλεον N3E-ASN--- ἔλεος
καὶ C--------- καί
κρίμα N3M-ASN--- κρίμα
φυλάσσου V1--PMD2S- φυλάσσω
καὶ C--------- καί
ἔγγιζε V1--PAD2S- ἐγγίζω
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
θεόν N2--ASM--- θεός
σου RP--GS---- σύ
διὰ P--------- διά
παντός A3--GSM--- πᾶς

Hos 12:8
Χανααν N---NS---- Χανααν
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
ζυγὸς N2--NSM--- ζυγός
ἀδικίας N1A-GSF--- ἀδικία
καταδυναστεύειν V1--PAN--- δυναστεύω κατα
ἠγάπησε VAI-AAI3S- ἀγαπάω

Hos 12:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Εφραιμ N---NSM--- Ἐφράιμ
πλὴν D--------- πλήν
πεπλούτηκα VX--XAI1S- πλουτέω
εὕρηκα VX--XAI1S- εὑρίσκω
ἀναψυχὴν N1--ASF--- ἀναψυχή
ἐμαυτῷ RD--DSM--- ἐμαυτοῦ
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
πόνοι N2--NPM--- πόνος
αὐτοῦ RD--GSM--- αὐτός
οὐχ D--------- οὐ
εὑρεθήσονται VC--FPI3P- εὑρίσκω
αὐτῷ RD--DSM--- αὐτός
δι' P--------- διά
ἀδικίας N1A-APF--- ἀδικία
ἃς RR--APF--- ὅς
ἥμαρτεν VBI-AAI3S- ἁμαρτάνω

Hos 12:10
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ
ἀνήγαγόν VBI-AAI1S- ἄγω ἀνα
σε RP--AS---- σύ
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
ἔτι D--------- ἔτι
κατοικιῶ VF2-FAI1S- οἰκίζω κατα
σε RP--AS---- σύ
ἐν P--------- ἐν
σκηναῖς N1--DPF--- σκηνή
καθὼς D--------- καθώς
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἑορτῆς N1--GSF--- ἑορτή

Hos 12:11
καὶ C--------- καί
λαλήσω VF--FAI1S- λαλέω
πρὸς P--------- πρός
προφήτας N1M-APM--- προφήτης
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ὁράσεις N3I-APF--- ὅρασις
ἐπλήθυνα VAI-AAI1S- πληθύνω
καὶ C--------- καί
ἐν P--------- ἐν
χερσὶν N3--DPF--- χείρ
προφητῶν N1M-GPM--- προφήτης
ὡμοιώθην VCI-API1S- ὁμοιόω

Hos 12:12
εἰ C--------- εἰ
μὴ D--------- μή
Γαλααδ N---NS---- Γαλαάδ
ἔστιν V9--PAI3S- εἰμί
ἄρα X--------- ἄρα
ψευδεῖς A3H-NPM--- ψευδής
ἦσαν V9--IAI3P- εἰμί
ἐν P--------- ἐν
Γαλγαλ N---DS---- Γαλγαλ
ἄρχοντες N3--NPM--- ἄρχων
θυσιάζοντες V1--PAPNPM θυσιάζω
καὶ C--------- καί
τὰ RA--NPN--- ὁ
θυσιαστήρια N2N-NPN--- θυσιαστήριον
αὐτῶν RD--GPM--- αὐτός
ὡς C--------- ὡς
χελῶναι N1--NPF--- χελώνη
ἐπὶ P--------- ἐπί
χέρσον N2--ASF--- χέρσος
ἀγροῦ N2--GSM--- ἀγρός

Hos 12:13
καὶ C--------- καί
ἀνεχώρησεν VAI-AAI3S- χωρέω ἀνα
Ιακωβ N---NSM--- Ἰακώβ
εἰς P--------- εἰς
πεδίον N2N-ASN--- πεδίον
Συρίας N---GS---- Συρία
καὶ C--------- καί
ἐδούλευσεν VAI-AAI3S- δουλεύω
Ισραηλ N---NSM--- Ἰσραήλ
ἐν P--------- ἐν
γυναικὶ N3K-DSF--- γυνή
καὶ C--------- καί
ἐν P--------- ἐν
γυναικὶ N3K-DSF--- γυνή
ἐφυλάξατο VAI-AMI3S- φυλάσσω

Hos 12:14
καὶ C--------- καί
ἐν P--------- ἐν
προφήτῃ N1M-DSM--- προφήτης
ἀνήγαγεν VBI-AAI3S- ἄγω ἀνα
κύριος N2--NSM--- κύριος
τὸν RA--ASM--- ὁ
Ισραηλ N---ASM--- Ἰσραήλ
ἐξ P--------- ἐκ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἐν P--------- ἐν
προφήτῃ N1M-DSM--- προφήτης
διεφυλάχθη VQI-API3S- φυλάσσω δια

Hos 12:15
ἐθύμωσεν VAI-AAI3S- θυμόω
Εφραιμ N---NSM--- Ἐφράιμ
καὶ C--------- καί
παρώργισεν VAI-AAI3S- ὀργίζω παρα
καὶ C--------- καί
τὸ RA--NSN--- ὁ
αἷμα N3M-NSN--- αἷμα
αὐτοῦ RD--GSM--- αὐτός
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
ἐκχυθήσεται VC--FPI3S- χέω ἐκ
καὶ C--------- καί
τὸν RA--ASM--- ὁ
ὀνειδισμὸν N2--ASM--- ὀνειδισμός
αὐτοῦ RD--GSM--- αὐτός
ἀνταποδώσει VF--FAI3S- δίδωμι ἀντι ἀπο
αὐτῷ RD--DSM--- αὐτός
κύριος N2--NSM--- κύριος

Hos 13:1
κατὰ P--------- κατά
τὸν RA--ASM--- ὁ
λόγον N2--ASM--- λόγος
Εφραιμ N---GSM--- Ἐφράιμ
δικαιώματα N3M-APN--- δικαίωμα
αὐτὸς RD--NSM--- αὐτός
ἔλαβεν VBI-AAI3S- λαμβάνω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Ισραηλ N---DSM--- Ἰσραήλ
καὶ C--------- καί
ἔθετο VEI-AMI3S- τίθημι
αὐτὰ RD--APN--- αὐτός
τῇ RA--DSF--- ὁ
Βααλ N---DSF--- Βααλ
καὶ C--------- καί
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο

Hos 13:2
καὶ C--------- καί
προσέθετο VEI-AMI3S- τίθημι προς
τοῦ RA--GSN--- ὁ
ἁμαρτάνειν V1--PAN--- ἁμαρτάνω
ἔτι D--------- ἔτι
καὶ C--------- καί
ἐποίησαν VAI-AAI3P- ποιέω
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
χώνευμα N3M-ASN--- χώνευμα
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
ἀργυρίου N2N-GSN--- ἀργύριον
αὐτῶν RD--GPM--- αὐτός
κατ' P--------- κατά
εἰκόνα N3N-ASF--- εἰκων
εἰδώλων N2N-GPN--- εἴδωλον
ἔργα N2N-APN--- ἔργον
τεκτόνων N3N-GPM--- τέκτων
συντετελεσμένα VM--XPPAPN τελέω συν
αὐτοῖς RD--DPM--- αὐτός
αὐτοὶ RD--NPM--- αὐτός
λέγουσιν V1--PAI3P- λέγω
θύσατε VA--AAD2P- θύω
ἀνθρώπους N2--APM--- ἄνθρωπος
μόσχοι N2--NPM--- μόσχος
γὰρ X--------- γάρ
ἐκλελοίπασιν VX--XAI3P- λείπω ἐκ

Hos 13:3
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἔσονται VF--FMI3P- εἰμί
ὡς C--------- ὡς
νεφέλη N1--NSF--- νεφέλη
πρωινὴ A1--NSF--- πρωινός
καὶ C--------- καί
ὡς C--------- ὡς
δρόσος N2--NSF--- δρόσος
ὀρθρινὴ A1--NSF--- ὀρθρινός
πορευομένη V1--PMPNSF πορεύομαι
ὥσπερ D--------- ὥσπερ
χνοῦς N3--NSM--- χνοῦς
ἀποφυσώμενος V3--PMPNSM φυσάω ἀπο
ἀφ' P--------- ἀπό
ἅλωνος N3W-GSF--- ἅλων
καὶ C--------- καί
ὡς C--------- ὡς
ἀτμὶς N3D-NSF--- ἀτμίς
ἀπὸ P--------- ἀπό
ἀκρίδων N3D-GPF--- ἀκρίς

Hos 13:4
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ
στερεῶν V4--PAPNSM στερεόω
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
κτίζων V1--PAPNSM κτίζω
γῆν N1--ASF--- γῆ
οὗ RR--GSM--- ὅς
αἱ RA--NPF--- ὁ
χεῖρες N3--NPF--- χείρ
ἔκτισαν VAI-AAI3P- κτίζω
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
στρατιὰν N1A-ASF--- στρατιά
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
οὐ D--------- οὐ
παρέδειξά VAI-AAI1S- δεικνύω παρα
σοι RP--DS---- σύ
αὐτὰ RD--APN--- αὐτός
τοῦ RA--GSN--- ὁ
πορεύεσθαι V1--PMN--- πορεύομαι
ὀπίσω P--------- ὀπίσω
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἀνήγαγόν VBI-AAI1S- ἄγω ἀνα
σε RP--AS---- σύ
