Wis 1:1
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
εὗρεν VB--AAI3S- εὑρίσκω
αὐτοὺς RD--APM--- αὐτός
ἀξίους A1A-APM--- ἄξιος
ἑαυτοῦ RD--GSM--- ἑαυτοῦ

Wis 3:6
ὡς D--------- ὡς
χρυσὸν A1--ASM--- χρυσός
ἐν P--------- ἐν
χωνευτηρίῳ N2N-DSN--- χωνευτήριον
ἐδοκίμασεν VAI-AAI3S- δοκιμάζω
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
ὡς D--------- ὡς
ὁλοκάρπωμα N3M-ASN--- ὁλοκάρπωμα
θυσίας N1A-GSF--- θυσία
προσεδέξατο VAI-AMI3S- δέχομαι προς
αὐτούς RD--APM--- αὐτός

Wis 3:7
καὶ C--------- καί
ἐν P--------- ἐν
καιρῷ N2--DSM--- καιρός
ἐπισκοπῆς N1--GSF--- ἐπισκοπή
αὐτῶν RD--GPM--- αὐτός
ἀναλάμψουσιν VF--FAI3P- λάμπω ἀνα
καὶ C--------- καί
ὡς D--------- ὡς
σπινθῆρες N3--APM--- σπινθήρ
ἐν P--------- ἐν
καλάμῃ N1--DSF--- καλάμη
διαδραμοῦνται VF2-FMI3P- τρέχω δια

Wis 3:8
κρινοῦσιν VF2-FAI3P- κρίνω
ἔθνη N3E-APN--- ἔθνος
καὶ C--------- καί
κρατήσουσιν VF--FAI3P- κρατέω
λαῶν N2--GPM--- λαός
καὶ C--------- καί
βασιλεύσει VF--FAI3S- βασιλεύω
αὐτῶν RD--GPM--- αὐτός
κύριος N2--NSM--- κύριος
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Wis 3:9
οἱ RA--NPM--- ὁ
πεποιθότες VX--XAPNPM πείθω
ἐπ' P--------- ἐπί
αὐτῷ RD--DSM--- αὐτός
συνήσουσιν VF--FAI3P- ἵημι συν
ἀλήθειαν N1A-ASF--- ἀλήθεια
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πιστοὶ A1--NPM--- πιστός
ἐν P--------- ἐν
ἀγάπῃ N1--DSF--- ἀγάπη
προσμενοῦσιν VF2-FAI3P- μένω προς
αὐτῷ RD--DSM--- αὐτός
ὅτι C--------- ὅτι
χάρις N3--NSF--- χάρις
καὶ C--------- καί
ἔλεος N2--NSM--- ἔλεος
τοῖς RA--DPM--- ὁ
ἐκλεκτοῖς A1--DPM--- ἐκλεκτός
αὐτοῦ RD--GSM--- αὐτός

Wis 3:10
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
ἀσεβεῖς A3H-NPM--- ἀσεβής
καθὰ D--------- καθά
ἐλογίσαντο VAI-AMI3P- λογίζομαι
ἕξουσιν VF--FAI3P- ἔχω
ἐπιτιμίαν N1A-ASF--- ἐπιτιμία
οἱ RA--NPM--- ὁ
ἀμελήσαντες VA--AAPNPM ἀμελέω
τοῦ RA--GSM--- ὁ
δικαίου A1A-GSM--- δίκαιος
καὶ C--------- καί
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
ἀποστάντες VH--AAPNPM ἵστημι ἀπο

Wis 3:11
σοφίαν N1A-ASF--- σοφία
γὰρ X--------- γάρ
καὶ C--------- καί
παιδείαν N1A-ASF--- παιδεία
ὁ RA--NSM--- ὁ
ἐξουθενῶν V4--PAPNSM ἐξουδενόω
ταλαίπωρος A1B-NSM--- ταλαίπωρος
καὶ C--------- καί
κενὴ A1--NSF--- κενός
ἡ RA--NSF--- ὁ
ἐλπὶς N3D-NSF--- ἐλπίς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
κόποι N2--NPM--- κόπος
ἀνόνητοι A1B-NPM--- ἀνόνητος
καὶ C--------- καί
ἄχρηστα A1B-NPN--- ἄχρηστος
τὰ RA--NPN--- ὁ
ἔργα N2N-NPN--- ἔργον
αὐτῶν RD--GPM--- αὐτός

Wis 3:12
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
αὐτῶν RD--GPM--- αὐτός
ἄφρονες A3N-NPF--- ἄφρων
καὶ C--------- καί
πονηρὰ A1A-NPN--- πονηρός
τὰ RA--NPN--- ὁ
τέκνα N2N-NPN--- τέκνον
αὐτῶν RD--GPM--- αὐτός
ἐπικατάρατος A1B-NSM--- ἐπικατάρατος
ἡ RA--NSF--- ὁ
γένεσις N3I-NSF--- γένεσις
αὐτῶν RD--GPM--- αὐτός

Wis 3:13
ὅτι C--------- ὅτι
μακαρία A1A-NSF--- μακάριος
στεῖρα N1A-NSF--- στεῖρα
ἡ RA--NSF--- ὁ
ἀμίαντος A1B-NSF--- ἀμίαντος
ἥτις RX--NSF--- ὅστις
οὐκ D--------- οὐ
ἔγνω VZI-AAI3S- γιγνώσκω
κοίτην N1--ASF--- κοίτη
ἐν P--------- ἐν
παραπτώματι N3M-DSN--- παράπτωμα
ἕξει N3I-DSF--- ἕξις
καρπὸν N2--ASM--- καρπός
ἐν P--------- ἐν
ἐπισκοπῇ N1--DSF--- ἐπισκοπή
ψυχῶν N1--GPF--- ψυχή

Wis 3:14
καὶ C--------- καί
εὐνοῦχος N2--NSM--- εὐνοῦχος
ὁ RA--NSM--- ὁ
μὴ D--------- μή
ἐργασάμενος VA--AMPNSM ἐργάζομαι
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
ἀνόμημα N3M-ASN--- ἀνόμημα
μηδὲ C--------- μηδέ
ἐνθυμηθεὶς VC--APPNSM θυμέομαι ἐν
κατὰ P--------- κατά
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
πονηρά A1A-APN--- πονηρός
δοθήσεται VC--FPI3S- δίδωμι
γὰρ X--------- γάρ
αὐτῷ RD--DSM--- αὐτός
τῆς RA--GSF--- ὁ
πίστεως N3I-GSF--- πίστις
χάρις N3--NSF--- χάρις
ἐκλεκτὴ A1--NSF--- ἐκλεκτός
καὶ C--------- καί
κλῆρος N2--NSM--- κλῆρος
ἐν P--------- ἐν
ναῷ N2--DSM--- ναός
κυρίου N2--GSM--- κύριος
θυμηρέστερος A3H-NSMC-- θυμήρης

Wis 3:15
ἀγαθῶν A1--GPM--- ἀγαθός
γὰρ X--------- γάρ
πόνων N2--GPM--- πόνος
καρπὸς N2--NSM--- καρπός
εὐκλεής A3H-NSM--- εὐκλεής
καὶ C--------- καί
ἀδιάπτωτος A1B-NSF--- ἀδιάπτωτος
ἡ RA--NSF--- ὁ
ῥίζα N1S-NSF--- ῥίζα
τῆς RA--GSF--- ὁ
φρονήσεως N3I-GSF--- φρόνησις

Wis 3:16
τέκνα N2N-NPN--- τέκνον
δὲ X--------- δέ
μοιχῶν N2--GPM--- μοιχός
ἀτέλεστα A1B-NPN--- ἀτέλεστος
ἔσται VF--FMI3S- εἰμί
καὶ C--------- καί
ἐκ P--------- ἐκ
παρανόμου A1B-GSF--- παράνομος
κοίτης N1--GSF--- κοίτη
σπέρμα N3M-NSN--- σπέρμα
ἀφανισθήσεται VS--FPI3S- ἵζω ἀπο ἀνα

Wis 3:17
ἐάν C--------- ἐάν
τε X--------- τε
γὰρ X--------- γάρ
μακρόβιοι A1B-NPM--- μακρόβιος
γένωνται VB--AMS3P- γίγνομαι
εἰς P--------- εἰς
οὐθὲν A3--ASN--- οὐδείς
λογισθήσονται VS--FPI3P- λογίζομαι
καὶ C--------- καί
ἄτιμον A1B-ASM--- ἄτιμος
ἐπ' P--------- ἐπί
ἐσχάτων A1--GPM--- ἔσχατος
τὸ RA--ASN--- ὁ
γῆρας N3--ASN--- γῆρας
αὐτῶν RD--GPM--- αὐτός

Wis 3:18
ἐάν C--------- ἐάν
τε X--------- τε
ὀξέως D--------- ὀξέως
τελευτήσωσιν VA--AAS3P- τελευτάω
οὐχ D--------- οὐ
ἕξουσιν VF--FAI3P- ἔχω
ἐλπίδα N3D-ASF--- ἐλπίς
οὐδὲ C--------- οὐδέ
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
διαγνώσεως N3I-GSF--- διάγνωσις
παραμύθιον N2--ASN--- παραμύθιον

Wis 3:19
γενεᾶς N1A-GSF--- γενεά
γὰρ X--------- γάρ
ἀδίκου A1B-GSF--- ἄδικος
χαλεπὰ A1--NPN--- χαλεπός
τὰ RA--NPN--- ὁ
τέλη N3E-NPN--- τέλος

Wis 4:1
κρείσσων A3C-NSM--- κρείσσων
ἀτεκνία N1A-NSF--- ἀτεκνία
μετὰ P--------- μετά
ἀρετῆς N1--GSF--- ἀρετή
ἀθανασία N1A-NSF--- ἀθανασία
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
μνήμῃ N1--DSF--- μνήμη
αὐτῆς RD--GSF--- αὐτός
ὅτι C--------- ὅτι
καὶ C--------- καί
παρὰ P--------- παρά
θεῷ N2--DSM--- θεός
γινώσκεται V1--PMI3S- γιγνώσκω
καὶ C--------- καί
παρὰ P--------- παρά
ἀνθρώποις N2--DPM--- ἄνθρωπος

Wis 4:2
παροῦσάν V9--PAPASF εἰμί παρα
τε X--------- τε
μιμοῦνται V2--PMI3P- μιμέομαι
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ποθοῦσιν V2--PAI3P- ποθέω
ἀπελθοῦσαν VB--AAPASF ἔρχομαι ἀπο
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
αἰῶνι N3W-DSM--- αἰών
στεφανηφοροῦσα V2--PAPNSF στεφανηφορέω
πομπεύει V1--PAI3S- πομπεύω
τὸν RA--ASM--- ὁ
τῶν RA--GPM--- ὁ
ἀμιάντων A1B-GPM--- ἀμίαντος
ἄθλων N2N-GPN--- ἆθλον
ἀγῶνα N3W-ASM--- ἀγών
νικήσασα VA--AAPNSF νικάω

Wis 4:3
πολύγονον A1B-NSN--- πολύγονος
δὲ X--------- δέ
ἀσεβῶν A3H-GPM--- ἀσεβής
πλῆθος N3E-NSN--- πλῆθος
οὐ D--------- οὐ
χρησιμεύσει VF--FAI3S- χρησιμεύω
καὶ C--------- καί
ἐκ P--------- ἐκ
νόθων A1--GPN--- νόθος
μοσχευμάτων N3M-GPN--- μόσχευμα
οὐ D--------- οὐ
δώσει VF--FAI3S- δίδωμι
ῥίζαν N1S-ASF--- ῥίζα
εἰς P--------- εἰς
βάθος N3E-ASN--- βάθος
οὐδὲ C--------- οὐδέ
ἀσφαλῆ A3H-NPN--- ἀσφαλής
βάσιν N3I-ASF--- βάσις
ἑδράσει VF--FAI3S- ἑδράζω

Wis 4:4
κἂν C+X------- καί+ἄν
γὰρ X--------- γάρ
ἐν P--------- ἐν
κλάδοις N2--DPM--- κλάδος
πρὸς P--------- πρός
καιρὸν N2--ASM--- καιρός
ἀναθάλῃ VB--AAS3S- θάλλω ἀνα
ἐπισφαλῶς D--------- ἐπισφαλῶς
βεβηκότα VX--XAPASM βαίνω
ὑπὸ P--------- ὑπό
ἀνέμου N2--GSM--- ἄνεμος
σαλευθήσεται VC--FPI3S- σαλεύω
καὶ C--------- καί
ὑπὸ P--------- ὑπό
βίας N1A-GSF--- βία
ἀνέμων N2--GPM--- ἄνεμος
ἐκριζωθήσεται VC--FPI3S- ῥιζόω ἐκ

Wis 4:5
περικλασθήσονται VS--FPI3P- κλάω περι
κλῶνες N3W-NPM--- κλών
ἀτέλεστοι A1B-NPM--- ἀτέλεστος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
καρπὸς N2--NSM--- καρπός
αὐτῶν RD--GPM--- αὐτός
ἄχρηστος A1B-NSM--- ἄχρηστος
ἄωρος A1B-NSM--- ἄωρος
εἰς P--------- εἰς
βρῶσιν N3I-ASF--- βρῶσις
καὶ C--------- καί
εἰς P--------- εἰς
οὐθὲν A3--ASN--- οὐδείς
ἐπιτήδειος A1A-NSM--- ἐπιτήδειος

Wis 4:6
ἐκ P--------- ἐκ
γὰρ X--------- γάρ
ἀνόμων A1B-GPM--- ἄνομος
ὕπνων N2--GPM--- ὕπνος
τέκνα N2N-APN--- τέκνον
γεννώμενα V3--PMPAPN γεννάω
μάρτυρές N3--NPM--- μάρτυς
εἰσιν V9--PAI3P- εἰμί
πονηρίας N1A-GSF--- πονηρία
κατὰ P--------- κατά
γονέων N3V-GPM--- γονεύς
ἐν P--------- ἐν
ἐξετασμῷ N2--DSM--- ἐξετασμός
αὐτῶν RD--GPM--- αὐτός

Wis 4:7
δίκαιος A1A-NSM--- δίκαιος
δὲ X--------- δέ
ἐὰν C--------- ἐάν
φθάσῃ VA--AAS3S- φθάνω
τελευτῆσαι VA--AAN--- τελευτάω
ἐν P--------- ἐν
ἀναπαύσει N3I-DSF--- ἀνάπαυσις
ἔσται VF--FMI3S- εἰμί

Wis 4:8
γῆρας N3--ASN--- γῆρας
γὰρ X--------- γάρ
τίμιον A1A-NSN--- τίμιος
οὐ D--------- οὐ
τὸ RA--NSN--- ὁ
πολυχρόνιον A1B-NSN--- πολυχρόνιος
οὐδὲ C--------- οὐδέ
ἀριθμῷ N2--DSM--- ἀριθμός
ἐτῶν N3E-GPN--- ἔτος
μεμέτρηται VM--XMI3S- μετρέω

Wis 4:9
πολιὰ N1A-NSF--- πολιά
δέ X--------- δέ
ἐστιν V9--PAI3S- εἰμί
φρόνησις N3I-NSF--- φρόνησις
ἀνθρώποις N2--DPM--- ἄνθρωπος
καὶ C--------- καί
ἡλικία N1A-NSF--- ἡλικία
γήρως N3--GSN--- γῆρας
βίος N2--NSM--- βίος
ἀκηλίδωτος A1B-NSM--- ἀκηλίδωτος

Wis 4:10
εὐάρεστος A1B-NSM--- εὐάρεστος
θεῷ N2--DSM--- θεός
γενόμενος VB--AMPNSM γίγνομαι
ἠγαπήθη VCI-API3S- ἀγαπάω
καὶ C--------- καί
ζῶν V3--PAPNSM ζάω
μεταξὺ D--------- μεταξύ
ἁμαρτωλῶν A1B-GPM--- ἁμαρτωλός
μετετέθη VCI-API3S- τίθημι μετα

Wis 4:11
ἡρπάγη VDI-API3S- ἁρπάζω
μὴ D--------- μή
κακία N1A-NSF--- κακία
ἀλλάξῃ VF--FMI2S- ἀλλάσσω
σύνεσιν N3I-ASF--- σύνεσις
αὐτοῦ RD--GSM--- αὐτός
ἢ C--------- ἤ
δόλος N2--NSM--- δόλος
ἀπατήσῃ VF--FMI2S- ἀπατάω
ψυχὴν N1--ASF--- ψυχή
αὐτοῦ RD--GSM--- αὐτός

Wis 4:12
βασκανία N1A-NSF--- βασκανία
γὰρ X--------- γάρ
φαυλότητος N3T-GSF--- φαυλότης
ἀμαυροῖ A1A-NPM--- ἀμαυρός
τὰ RA--NPN--- ὁ
καλά A1--NPN--- καλός
καὶ C--------- καί
ῥεμβασμὸς N2--NSM--- ῥεμβασμός
ἐπιθυμίας N1A-GSF--- ἐπιθυμία
μεταλλεύει V1--PAI3S- μεταλλεύω
νοῦν N2C-ASM--- νοῦς
ἄκακον A1B-ASM--- ἄκακος

Wis 4:13
τελειωθεὶς VC--APPNSM τελειόω
ἐν P--------- ἐν
ὀλίγῳ A1--DSN--- ὀλίγος
ἐπλήρωσεν VAI-AAI3S- πληρόω
χρόνους N2--APM--- χρόνος
μακρούς A1A-APM--- μακρός

Wis 4:14
ἀρεστὴ A1--NSF--- ἀρεστός
γὰρ X--------- γάρ
ἦν V9--IAI3S- εἰμί
κυρίῳ N2--DSM--- κύριος
ἡ RA--NSF--- ὁ
ψυχὴ N1--NSF--- ψυχή
αὐτοῦ RD--GSM--- αὐτός
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἔσπευσεν VAI-AAI3S- σπεύδω
ἐκ P--------- ἐκ
μέσου A1--GSN--- μέσος
πονηρίας N1A-GSF--- πονηρία
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
λαοὶ N2--NPM--- λαός
ἰδόντες VB--AAPNPM ὁράω
καὶ C--------- καί
μὴ D--------- μή
νοήσαντες VA--AAPNPM νοέω
μηδὲ C--------- μηδέ
θέντες VE--AAPNPM τίθημι
ἐπὶ P--------- ἐπί
διανοίᾳ N1A-DSF--- διάνοια
τὸ RA--ASN--- ὁ
τοιοῦτο A1--ASN--- τοιοῦτος

Wis 4:15
ὅτι C--------- ὅτι
χάρις N3--NSF--- χάρις
καὶ C--------- καί
ἔλεος N2--NSM--- ἔλεος
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
ἐκλεκτοῖς A1--DPM--- ἐκλεκτός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπισκοπὴ N1--NSF--- ἐπισκοπή
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
ὁσίοις A1A-DPM--- ὅσιος
αὐτοῦ RD--GSM--- αὐτός

Wis 4:16
κατακρινεῖ VF2-FAI3S- κρίνω κατα
δὲ X--------- δέ
δίκαιος A1A-NSM--- δίκαιος
καμὼν VB--AAPNSM κάμνω
τοὺς RA--APM--- ὁ
ζῶντας V3--PAPAPM ζάω
ἀσεβεῖς A3H-NPM--- ἀσεβής
καὶ C--------- καί
νεότης N3T-NSF--- νεότης
τελεσθεῖσα VS--APPNSF τελέω
ταχέως D--------- ταχέως
πολυετὲς A3H-GSN--- πολυετής
γῆρας N3--ASN--- γῆρας
ἀδίκου A1B-GSM--- ἄδικος

Wis 4:17
ὄψονται VF--FMI3P- ὁράω
γὰρ X--------- γάρ
τελευτὴν N1--ASF--- τελευτή
σοφοῦ A1--GSM--- σοφός
καὶ C--------- καί
οὐ D--------- οὐ
νοήσουσιν VF--FAI3P- νοέω
τί RI--ASN--- τίς
ἐβουλεύσατο VAI-AMI3S- βουλεύω
περὶ P--------- περί
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἰς P--------- εἰς
τί RI--ASN--- τίς
ἠσφαλίσατο VAI-AMI3S- ἀσφαλίζω
αὐτὸν RD--ASM--- αὐτός
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος

Wis 4:18
ὄψονται VF--FMI3P- ὁράω
καὶ C--------- καί
ἐξουθενήσουσιν VF--FAI3P- οὐδενέω ἐκ
αὐτοὺς RD--APM--- αὐτός
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
ἐκγελάσεται VF--FMI3S- γελάω ἐκ

Wis 4:19
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
μετὰ P--------- μετά
τοῦτο RD--ASN--- οὗτος
εἰς P--------- εἰς
πτῶμα N3M-ASN--- πτῶμα
ἄτιμον A1B-ASM--- ἄτιμος
καὶ C--------- καί
εἰς P--------- εἰς
ὕβριν N3I-ASF--- ὕβρις
ἐν P--------- ἐν
νεκροῖς N2--DPM--- νεκρός
δι' P--------- διά
αἰῶνος N3W-GSM--- αἰών
ὅτι C--------- ὅτι
ῥήξει VF--FAI3S- ῥήγνυμι
αὐτοὺς RD--APM--- αὐτός
ἀφώνους A1B-APM--- ἄφωνος
πρηνεῖς N3S-APM--- πρηνής
καὶ C--------- καί
σαλεύσει VF--FAI3S- σαλεύω
αὐτοὺς RD--APM--- αὐτός
ἐκ P--------- ἐκ
θεμελίων N2N-GPN--- θεμέλιον
καὶ C--------- καί
ἕως C--------- ἕως
ἐσχάτου A1--GSM--- ἔσχατος
χερσωθήσονται VC--FPI3P- χερσόομαι
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
ἐν P--------- ἐν
ὀδύνῃ N1--DSF--- ὀδύνη
καὶ C--------- καί
ἡ RA--NSF--- ὁ
μνήμη N1--NSF--- μνήμη
αὐτῶν RD--GPM--- αὐτός
ἀπολεῖται VF2-FMI3S- ὀλλύω ἀπο

Wis 4:20
ἐλεύσονται VF--FMI3P- ἔρχομαι
ἐν P--------- ἐν
συλλογισμῷ N2--DSM--- συλλογισμός
ἁμαρτημάτων N3M-GPN--- ἁμάρτημα
αὐτῶν RD--GPM--- αὐτός
δειλοί A1--NPM--- δειλός
καὶ C--------- καί
ἐλέγξει VF--FAI3S- ἐλέγχω
αὐτοὺς RD--APM--- αὐτός
ἐξ P--------- ἐκ
ἐναντίας A1A-GSF--- ἐναντίος
τὰ RA--APN--- ὁ
ἀνομήματα N3M-APN--- ἀνόμημα
αὐτῶν RD--GPM--- αὐτός

Wis 5:1
τότε D--------- τότε
στήσεται VF--FMI3S- ἵστημι
ἐν P--------- ἐν
παρρησίᾳ N1A-DSF--- παρρησία
πολλῇ A1--DSF--- πολύς
ὁ RA--NSM--- ὁ
δίκαιος A1A-NSM--- δίκαιος
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
τῶν RA--GPM--- ὁ
θλιψάντων VA--AAPGPM θλίβω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
τῶν RA--GPM--- ὁ
ἀθετούντων V2--PAPGPM ἀθετέω
τοὺς RA--APM--- ὁ
πόνους N2--APM--- πόνος
αὐτοῦ RD--GSM--- αὐτός

Wis 5:2
ἰδόντες VB--AAPNPM ὁράω
ταραχθήσονται VQ--FPI3P- ταράσσω
φόβῳ N2--DSM--- φόβος
δεινῷ A1--DSM--- δεινός
καὶ C--------- καί
ἐκστήσονται VF--FMI3P- ἵστημι ἐκ
ἐπὶ P--------- ἐπί
τῷ RA--DSM--- ὁ
παραδόξῳ N2--DSM--- παράδοξος
τῆς RA--GSF--- ὁ
σωτηρίας N1A-GSF--- σωτηρία

Wis 5:3
ἐροῦσιν VF2-FAI3P- εἶπον
ἐν P--------- ἐν
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
μετανοοῦντες V2--PAPNPM νοέω μετα
καὶ C--------- καί
διὰ P--------- διά
στενοχωρίαν N1A-ASF--- στενοχωρία
πνεύματος N3M-GSN--- πνεῦμα
στενάξονται VF--FMI3P- στενάζω
καὶ C--------- καί
ἐροῦσιν VF2-FAI3P- εἶπον

Wis 5:4
οὗτος RD--NSM--- οὗτος
ἦν V9--IAI3S- εἰμί
ὃν RR--ASM--- ὅς
ἔσχομέν VBI-AAI1P- ἔχω
ποτε D--------- ποτέ
εἰς P--------- εἰς
γέλωτα N3T-ASM--- γέλως
καὶ C--------- καί
εἰς P--------- εἰς
παραβολὴν N1--ASF--- παραβολή
ὀνειδισμοῦ N2--GSM--- ὀνειδισμός
οἱ RA--NPM--- ὁ
ἄφρονες A3N-NPM--- ἄφρων
τὸν RA--ASM--- ὁ
βίον N2--ASM--- βίος
αὐτοῦ RD--GSM--- αὐτός
ἐλογισάμεθα VAI-AMI1P- λογίζομαι
μανίαν N1A-ASF--- μανία
καὶ C--------- καί
τὴν RA--ASF--- ὁ
τελευτὴν N1--ASF--- τελευτή
αὐτοῦ RD--GSM--- αὐτός
ἄτιμον A1B-ASM--- ἄτιμος

Wis 5:5
πῶς D--------- πῶς
κατελογίσθη VSI-API3S- λογίζομαι κατα
ἐν P--------- ἐν
υἱοῖς N2--DPM--- υἱός
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ἐν P--------- ἐν
ἁγίοις A1A-DPM--- ἅγιος
ὁ RA--NSM--- ὁ
