Jdt 1:1
καὶ C--------- καί
διατηρήσεις VF--FAI2S- τηρέω δια
ἐμοὶ RP--DS---- ἐγώ
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
ἡμέραν N1A-ASF--- ἡμέρα
ἐλεγμοῦ N2--GSM--- ἐλεγμός
αὐτῶν RD--GPM--- αὐτός

Jdt 2:11
ἐπὶ P--------- ἐπί
δὲ X--------- δέ
τοὺς RA--APM--- ὁ
ἀπειθοῦντας V2--PAPAPM ἀπειθέω
οὐ D--------- οὐ
φείσεται VF--FMI3S- φείδομαι
ὁ RA--NSM--- ὁ
ὀφθαλμός N2--NSM--- ὀφθαλμός
σου RP--GS---- σύ
τοῦ RA--GSN--- ὁ
δοῦναι VO--AAN--- δίδωμι
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
φόνον N2--ASM--- φόνος
καὶ C--------- καί
ἁρπαγὴν N1--ASF--- ἁρπαγή
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
σου RP--GS---- σύ

Jdt 2:12
ὅτι C--------- ὅτι
ζῶν V3--PAPNSM ζάω
ἐγὼ RP--NS---- ἐγώ
καὶ C--------- καί
τὸ RA--NSN--- ὁ
κράτος N3E-NSN--- κράτος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
μου RP--GS---- ἐγώ
λελάληκα VX--XAI1S- λαλέω
καὶ C--------- καί
ποιήσω VF--FAI1S- ποιέω
ταῦτα RD--APN--- οὗτος
ἐν P--------- ἐν
χειρί N3--DSF--- χείρ
μου RP--GS---- ἐγώ

Jdt 2:13
καὶ C--------- καί
σὺ RP--NS---- σύ
δὲ X--------- δέ
οὐ D--------- οὐ
παραβήσῃ VF--FMI2S- βαίνω παρα
ἕν A3--ASN--- εἷς
τι RI--ASN--- τις
τῶν RA--GPN--- ὁ
ῥημάτων N3M-GPN--- ῥῆμα
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
σου RP--GS---- σύ
ἀλλὰ C--------- ἀλλά
ἐπιτελῶν V2--PAPNSM τελέω ἐπι
ἐπιτελέσεις VF--FAI2S- τελέω ἐπι
καθότι C--------- καθότι
προστέταχά VX--XAI1S- τάσσω προς
σοι RP--DS---- σύ
καὶ C--------- καί
οὐ D--------- οὐ
μακρυνεῖς VF2-FAI2S- μακρύνω
τοῦ RA--GSN--- ὁ
ποιῆσαι VA--AAN--- ποιέω
αὐτά RD--APN--- αὐτός

Jdt 2:14
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
Ολοφέρνης N1M-NSM--- Ολοφέρνης
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
δυνάστας N1M-APM--- δυνάστης
καὶ C--------- καί
τοὺς RA--APM--- ὁ
στρατηγοὺς N2--APM--- στρατηγός
καὶ C--------- καί
ἐπιστάτας N1--APM--- ἐπιστάτης
τῆς RA--GSF--- ὁ
δυνάμεως N3I-GSF--- δύναμις
Ασσουρ N---GS---- Ασσουρ

Jdt 2:15
καὶ C--------- καί
ἠρίθμησεν VAI-AAI3S- ἀριθμέω
ἐκλεκτοὺς A1--APM--- ἐκλεκτός
ἄνδρας N3--APM--- ἀνήρ
εἰς P--------- εἰς
παράταξιν N3I-ASF--- παράταξις
καθότι C--------- καθότι
ἐκέλευσεν VAI-AAI3S- κελεύω
αὐτῷ RD--DSM--- αὐτός
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
μυριάδας N3D-APF--- μυριάς
δέκα M--------- δέκα
δύο M--------- δύο
καὶ C--------- καί
ἱππεῖς N3V-APM--- ἱππεύς
τοξότας N1--APM--- τοξότης
μυρίους A1A-APM--- μύριοι
δισχιλίους A1A-APM--- δισχίλιοι

Jdt 2:16
καὶ C--------- καί
διέταξεν VAI-AAI3S- τάσσω δια
αὐτοὺς RD--APM--- αὐτός
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
πολέμου N2--GSM--- πόλεμος
πλῆθος N3E-NSN--- πλῆθος
συντάσσεται V1--PMI3S- τάσσω συν

Jdt 2:17
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
καμήλους N2--APM--- κάμηλος
καὶ C--------- καί
ὄνους N2--APM--- ὄνος
καὶ C--------- καί
ἡμιόνους N2--APM--- ἡμίονος
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ἀπαρτίαν N1A-ASF--- ἀπαρτία
αὐτῶν RD--GPM--- αὐτός
πλῆθος N3E-ASN--- πλῆθος
πολὺ A1P-ASN--- πολύς
σφόδρα D--------- σφόδρα
καὶ C--------- καί
πρόβατα N2N-APN--- πρόβατον
καὶ C--------- καί
βόας N3--APM--- βοῦς
καὶ C--------- καί
αἶγας N3G-APM--- αἴξ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
παρασκευὴν N1--ASF--- παρασκευή
αὐτῶν RD--GPM--- αὐτός
ὧν RR--GPM--- ὅς
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ἀριθμός N2--NSM--- ἀριθμός

Jdt 2:18
καὶ C--------- καί
ἐπισιτισμὸν N2--ASM--- ἐπισιτισμός
παντὶ A3--DSM--- πᾶς
ἀνδρὶ N3--DSM--- ἀνήρ
εἰς P--------- εἰς
πλῆθος N3E-ASN--- πλῆθος
καὶ C--------- καί
χρυσίον N2N-ASN--- χρυσίον
καὶ C--------- καί
ἀργύριον N2N-ASN--- ἀργύριον
ἐξ P--------- ἐκ
οἴκου N2--GSM--- οἶκος
βασιλέως N3V-GSM--- βασιλεύς
πολὺ A1P-ASN--- πολύς
σφόδρα D--------- σφόδρα

Jdt 2:19
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
δύναμις N3I-NSF--- δύναμις
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
πορείαν N1A-ASF--- πορεία
τοῦ RA--GSN--- ὁ
προελθεῖν VB--AAN--- ἔρχομαι προ
βασιλέως N3V-GSM--- βασιλεύς
Ναβουχοδονοσορ N---GSM--- Ναβουχοδονοσορ
καὶ C--------- καί
καλύψαι VA--AAN--- καλύπτω
πᾶν A3--ASN--- πᾶς
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
πρὸς P--------- πρός
δυσμαῖς N1--DPF--- δυσμή
ἐν P--------- ἐν
ἅρμασι N3M-DPN--- ἅρμα
καὶ C--------- καί
ἱππεῦσι N3U-DPM--- ἱππεύς
καὶ C--------- καί
πεζοῖς A1--DPM--- πεζός
ἐπιλέκτοις A1B-DPM--- ἐπίλεκτος
αὐτῶν RD--GPM--- αὐτός

Jdt 2:20
καὶ C--------- καί
πολὺς A1P-NSM--- πολύς
ὁ RA--NSM--- ὁ
ἐπίμικτος A1B-NSM--- ἐπίμικτος
ὡς C--------- ὡς
ἀκρὶς N3D-NSF--- ἀκρίς
συνεξῆλθον VBI-AAI3P- ἔρχομαι συν ἐκ
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
ὡς C--------- ὡς
ἡ RA--NSF--- ὁ
ἄμμος N2--NSF--- ἄμμος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
οὐ D--------- οὐ
γὰρ X--------- γάρ
ἦν V9--IAI3S- εἰμί
ἀριθμὸς N2--NSM--- ἀριθμός
ἀπὸ P--------- ἀπό
πλήθους N3E-GSN--- πλῆθος
αὐτῶν RD--GPM--- αὐτός

Jdt 2:21
καὶ C--------- καί
ἀπῆλθον VBI-AAI3P- ἔρχομαι ἀπο
ἐκ P--------- ἐκ
Νινευη N---GS---- Νινευη
ὁδὸν N2--ASF--- ὁδός
τριῶν A3--GPF--- τρεῖς
ἡμερῶν N1A-GPF--- ἡμέρα
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
τοῦ RA--GSN--- ὁ
πεδίου N2N-GSN--- πεδίον
Βεκτιλεθ N---GS---- Βεκτιλεθ
καὶ C--------- καί
ἐπεστρατοπέδευσαν VAI-AAI3P- στρατοπεδεύω ἐπι
ἀπὸ P--------- ἀπό
Βεκτιλεθ N---GS---- Βεκτιλεθ
πλησίον D--------- πλησίον
τοῦ RA--GSN--- ὁ
ὄρους N3E-GSN--- ὄρος
τοῦ RA--GSN--- ὁ
ἐπ' P--------- ἐπί
ἀριστερᾷ A1A-DSF--- ἀριστερός
τῆς RA--GSF--- ὁ
ἄνω D--------- ἄνω
Κιλικίας N1A-GSF--- Κιλικία

Jdt 2:22
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
δύναμιν N3I-ASF--- δύναμις
αὐτοῦ RD--GSM--- αὐτός
τοὺς RA--APM--- ὁ
πεζοὺς A1--APM--- πεζός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἱππεῖς N3U-APM--- ἱππεύς
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἅρματα N3M-APN--- ἅρμα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀπῆλθεν VBI-AAI3S- ἔρχομαι ἀπο
ἐκεῖθεν D--------- ἐκεῖθεν
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ὀρεινήν N1--ASF--- ὀρεινή

Jdt 2:23
καὶ C--------- καί
διέκοψεν VAI-AAI3S- κόπτω δια
τὸ RA--ASN--- ὁ
Φουδ N---ASN--- Φουδ
καὶ C--------- καί
Λουδ N---ASN--- Λουδ
καὶ C--------- καί
ἐπρονόμευσεν VAI-AAI3S- νομεύω προ
υἱοὺς N2--APM--- υἱός
πάντας A3--APM--- πᾶς
Ρασσις N---GS---- Ρασσις
καὶ C--------- καί
υἱοὺς N2--APM--- υἱός
Ισμαηλ N---GSM--- Ισμαηλ
τοὺς RA--APM--- ὁ
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
τῆς RA--GSF--- ὁ
ἐρήμου N2--GSF--- ἔρημος
πρὸς P--------- πρός
νότον N2--ASM--- νότος
τῆς RA--GSF--- ὁ
Χελεων N---GSF--- Χελεων

Jdt 2:24
καὶ C--------- καί
παρῆλθεν VBI-AAI3S- ἔρχομαι παρα
τὸν RA--ASM--- ὁ
Εὐφράτην N1M-ASM--- Εὐφράτης
καὶ C--------- καί
διῆλθεν VBI-AAI3S- ἔρχομαι δια
τὴν RA--ASF--- ὁ
Μεσοποταμίαν N1A-ASF--- Μεσοποταμία
καὶ C--------- καί
κατέσκαψεν VAI-AAI3S- σκάπτω κατα
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
τὰς RA--APF--- ὁ
ὑψηλὰς A1--APF--- ὑψηλός
τὰς RA--APF--- ὁ
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
χειμάρρου N2--GSM--- χειμάρρους
Αβρωνα N---GS---- Αβρωνα
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ἐλθεῖν VB--AAN--- ἔρχομαι
ἐπὶ P--------- ἐπί
θάλασσαν N1S-ASF--- θάλασσα

Jdt 2:25
καὶ C--------- καί
κατελάβετο VBI-AMI3S- λαμβάνω κατα
τὰ RA--APN--- ὁ
ὅρια N2N-APN--- ὅριον
τῆς RA--GSF--- ὁ
Κιλικίας N1A-GSF--- Κιλικία
καὶ C--------- καί
κατέκοψε VAI-AAI3S- κόπτω κατα
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἀντιστάντας VH--AAPAPM ἵστημι ἀντι
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
ἕως P--------- ἕως
ὁρίων N2N-GPN--- ὅριον
Ιαφεθ N---GS---- Ιαφεθ
τὰ RA--APN--- ὁ
πρὸς P--------- πρός
νότον N2--ASM--- νότος
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
τῆς RA--GSF--- ὁ
Ἀραβίας N1A-GSF--- Ἀραβία

Jdt 2:26
καὶ C--------- καί
ἐκύκλωσεν VAI-AAI3S- κυκλόω
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Μαδιαμ N---GS---- Μαδιαμ
καὶ C--------- καί
ἐνέπρησεν VAI-AAI3S- πίμπρημι ἐν
τὰ RA--APN--- ὁ
σκηνώματα N3M-APN--- σκήνωμα
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐπρονόμευσεν VAI-AAI3S- νομεύω προ
τὰς RA--APF--- ὁ
μάνδρας N1A-APF--- μάνδρα
αὐτῶν RD--GPM--- αὐτός

Jdt 2:27
καὶ C--------- καί
κατέβη VZI-AAI3S- βαίνω κατα
εἰς P--------- εἰς
πεδίον N2N-ASN--- πεδίον
Δαμασκοῦ N2--GSM--- Δαμασκός
ἐν P--------- ἐν
ἡμέραις N1A-DPF--- ἡμέρα
θερισμοῦ N2--GSM--- θερισμός
πυρῶν N1A-GPF--- πυρός
καὶ C--------- καί
ἐνέπρησεν VAI-AAI3S- πίμπρημι ἐν
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἀγροὺς N2--APM--- ἀγρός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
ποίμνια N2N-APN--- ποίμνιον
καὶ C--------- καί
τὰ RA--APN--- ὁ
βουκόλια N2N-APN--- βουκόλιον
ἔδωκεν VAI-AAI3S- δίδωμι
εἰς P--------- εἰς
ἀφανισμὸν N2--ASM--- ἀφανισμός
καὶ C--------- καί
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
αὐτῶν RD--GPM--- αὐτός
ἐσκύλευσεν VAI-AAI3S- σκυλεύω
καὶ C--------- καί
τὰ RA--APN--- ὁ
πεδία N2N-APN--- πεδίον
αὐτῶν RD--GPM--- αὐτός
ἐξελίκμησεν VAI-AAI3S- λικμάω ἐκ
καὶ C--------- καί
ἐπάταξεν VAI-AAI3S- πατάσσω
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
νεανίσκους N2--APM--- νεανίσκος
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
στόματι N3M-DSN--- στόμα
ῥομφαίας N1A-GSF--- ῥομφαία

Jdt 2:28
καὶ C--------- καί
ἐπέπεσεν VAI-AAI3S- πίπτω ἐπι
φόβος N2--NSM--- φόβος
καὶ C--------- καί
τρόμος N2--NSM--- τρόμος
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
τὴν RA--ASF--- ὁ
παραλίαν A1A-ASF--- παράλιος
τοὺς RA--APM--- ὁ
ὄντας V9--PAPAPM εἰμί
ἐν P--------- ἐν
Σιδῶνι N3N-DS---- Σιδών
καὶ C--------- καί
ἐν P--------- ἐν
Τύρῳ N2--DSM--- Τύρος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
Σουρ N---DS---- Σουρ
καὶ C--------- καί
Οκινα N---DS---- Οκινα
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
Ιεμνααν N---DS---- Ιεμνααν
καὶ C--------- καί
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
ἐν P--------- ἐν
Ἀζώτῳ N2--DSM--- Ἄζωτος
καὶ C--------- καί
Ἀσκαλῶνι N3--DS---- Ἀσκαλών
ἐφοβήθησαν VCI-API3P- φοβέω
αὐτὸν RD--ASM--- αὐτός
σφόδρα D--------- σφόδρα

Jdt 3:1
καὶ C--------- καί
ἀπέστειλαν VAI-AAI3P- στέλλω ἀπο
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
ἀγγέλους N2--APM--- ἄγγελος
λόγοις N2--DPM--- λόγος
εἰρηνικοῖς A1--DPM--- εἰρηνικός
λέγοντες V1--PAPNPM λέγω

Jdt 3:2
ἰδοὺ I--------- ἰδού
ἡμεῖς RP--NP---- ἐγώ
οἱ RA--NPM--- ὁ
παῖδες N3D-NPM--- παῖς
Ναβουχοδονοσορ N---GSM--- Ναβουχοδονοσορ
βασιλέως N3V-GSM--- βασιλεύς
μεγάλου A1--GSM--- μέγας
παρακείμεθα V5--PMI1P- κεῖμαι παρα
ἐνώπιόν P--------- ἐνώπιον
σου RP--GS---- σύ
χρῆσαι VA--AAN--- χράω
ἡμῖν RP--DP---- ἐγώ
καθὼς D--------- καθώς
ἀρεστόν A1--NSN--- ἀρεστός
ἐστιν V9--PAI3S- εἰμί
τῷ RA--DSN--- ὁ
προσώπῳ N2N-DSN--- πρόσωπον
σου RP--GS---- σύ

Jdt 3:3
ἰδοὺ I--------- ἰδού
αἱ RA--NPF--- ὁ
ἐπαύλεις N3I-NPF--- ἔπαυλις
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
τόπος N2--NSM--- τόπος
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
πᾶν A3--NSN--- πᾶς
πεδίον N2N-NSN--- πεδίον
πυρῶν N1A-GPF--- πυρός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ποίμνια N2N-NPN--- ποίμνιον
καὶ C--------- καί
τὰ RA--NPN--- ὁ
βουκόλια N2N-NPN--- βουκόλιον
καὶ C--------- καί
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
μάνδραι N1A-NPF--- μάνδρα
τῶν RA--GPF--- ὁ
σκηνῶν N1--GPF--- σκηνή
ἡμῶν RP--GP---- ἐγώ
παράκεινται V5--PMI3P- κεῖμαι παρα
πρὸ P--------- πρό
προσώπου N2N-GSN--- πρόσωπον
σου RP--GS---- σύ
χρῆσαι VA--AAN--- χράω
καθὸ D--------- καθό
ἂν X--------- ἄν
ἀρέσκῃ V1--PAS3S- ἀρέσκω
σοι RP--DS---- σύ

Jdt 3:4
ἰδοὺ I--------- ἰδού
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πόλεις N3I-NPF--- πόλις
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
ἐν P--------- ἐν
αὐταῖς RD--DPF--- αὐτός
δοῦλοι N2--NPM--- δοῦλος
σοί RP--DS---- σύ
εἰσιν V9--PAI3P- εἰμί
ἐλθὼν VB--AAPNSM ἔρχομαι
ἀπάντησον VA--AAD2S- ἀντάω ἀπο
αὐταῖς RD--DPF--- αὐτός
ὡς C--------- ὡς
ἔστιν V9--PAI3S- εἰμί
ἀγαθὸν A1--NSN--- ἀγαθός
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
σου RP--GS---- σύ

Jdt 3:5
καὶ C--------- καί
παρεγένοντο VBI-AMI3P- γίγνομαι παρα
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
πρὸς P--------- πρός
Ολοφέρνην N1M-ASM--- Ολοφέρνης
καὶ C--------- καί
ἀπήγγειλαν VAI-AAI3P- ἀγγέλλω ἀπο
αὐτῷ RD--DSM--- αὐτός
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
ῥήματα N3M-APN--- ῥῆμα
ταῦτα RD--APN--- οὗτος

Jdt 3:6
καὶ C--------- καί
κατέβη VZI-AAI3S- βαίνω κατα
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
παραλίαν A1A-ASF--- παράλιος
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
δύναμις N3I-NSF--- δύναμις
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐφρούρωσε VAI-AAI3S- φρουρόω
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
τὰς RA--APF--- ὁ
ὑψηλὰς A1--APF--- ὑψηλός
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
ἐξ P--------- ἐκ
αὐτῶν RD--GPF--- αὐτός
εἰς P--------- εἰς
συμμαχίαν N1A-ASF--- συμμαχία
ἄνδρας N3--APM--- ἀνήρ
ἐπιλέκτους A1B-APM--- ἐπίλεκτος

Jdt 3:7
καὶ C--------- καί
ἐδέξαντο VAI-AMI3P- δέχομαι
αὐτὸν RD--ASM--- αὐτός
αὐτοὶ RD--NPM--- αὐτός
καὶ C--------- καί
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
περίχωρος A1B-NSF--- περίχωρος
αὐτῶν RD--GPM--- αὐτός
μετὰ P--------- μετά
στεφάνων N2--GPM--- στέφανος
καὶ C--------- καί
χορῶν N2--GPM--- χορός
καὶ C--------- καί
τυμπάνων N2N-GPN--- τύμπανον

Jdt 3:8
καὶ C--------- καί
κατέσκαψεν VAI-AAI3S- σκάπτω κατα
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ὅρια N2N-APN--- ὅριον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἄλση N3E-APN--- ἄλσος
αὐτῶν RD--GPM--- αὐτός
ἐξέκοψεν VAI-AAI3S- κόπτω ἐκ
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
δεδομένον VM--XMPNSN δίδωμι
αὐτῷ RD--DSM--- αὐτός
ἐξολεθρεῦσαι VA--AAN--- ὀλεθρεύω ἐκ
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
θεοὺς N2--APM--- θεός
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὅπως C--------- ὅπως
αὐτῷ RD--DSM--- αὐτός
μόνῳ A1--DSM--- μόνος
τῷ RA--DSM--- ὁ
Ναβουχοδονοσορ N---DSM--- Ναβουχοδονοσορ
λατρεύσωσι VA--AAS3P- λατρεύω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
ἔθνη N3E-NPN--- ἔθνος
καὶ C--------- καί
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
γλῶσσαι N1S-NPF--- γλῶσσα
καὶ C--------- καί
αἱ RA--NPF--- ὁ
φυλαὶ N1--NPF--- φυλή
αὐτῶν RD--GPM--- αὐτός
ἐπικαλέσωνται VA--AMS3P- καλέω ἐπι
αὐτὸν RD--ASM--- αὐτός
