1Sa 1:1
κυρίῳ N2--DSM--- κύριος

1Sa 2:1
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἐστερεώθη VCI-API3S- στερεόω
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
κυρίῳ N2--DSM--- κύριος
ὑψώθη VCI-API3S- ὑψόω
κέρας N3T-NSN--- κέρας
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
θεῷ N2--DSM--- θεός
μου RP--GS---- ἐγώ
ἐπλατύνθη VCI-API3S- πλατύνω
ἐπὶ P--------- ἐπί
ἐχθροὺς N2--APM--- ἐχθρός
τὸ RA--NSN--- ὁ
στόμα N3M-NSN--- στόμα
μου RP--GS---- ἐγώ
εὐφράνθην VC--API1S- εὐφραίνω
ἐν P--------- ἐν
σωτηρίᾳ N1A-DSF--- σωτηρία
σου RP--GS---- σύ

1Sa 2:2
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἅγιος A1A-NSM--- ἅγιος
ὡς C--------- ὡς
κύριος N2--NSM--- κύριος
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
δίκαιος A1A-NSM--- δίκαιος
ὡς C--------- ὡς
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἅγιος A1A-NSM--- ἅγιος
πλὴν D--------- πλήν
σοῦ RP--GS---- σύ

1Sa 2:3
μὴ D--------- μή
καυχᾶσθε V3--PMD2P- καυχάομαι
καὶ C--------- καί
μὴ D--------- μή
λαλεῖτε V2--PAI2P- λαλέω
ὑψηλά A1--APN--- ὑψηλός
μὴ D--------- μή
ἐξελθάτω VB--APD3S- ἔρχομαι ἐκ
μεγαλορρημοσύνη N1--NSF--- μεγαλορρημοσύνη
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
στόματος N3M-GSN--- στόμα
ὑμῶν RP--GP---- σύ
ὅτι C--------- ὅτι
θεὸς N2--NSM--- θεός
γνώσεων N3I-GPF--- γνῶσις
κύριος N2--NSM--- κύριος
καὶ C--------- καί
θεὸς N2--NSM--- θεός
ἑτοιμάζων V1--PAPNSM ἑτοιμάζω
ἐπιτηδεύματα N3M-APN--- ἐπιτήδευμα
αὐτοῦ RD--GSM--- αὐτός

1Sa 2:4
τόξον N2N-ASN--- τόξον
δυνατῶν A1--GPM--- δυνατός
ἠσθένησεν VAI-AAI3S- ἀσθενέω
καὶ C--------- καί
ἀσθενοῦντες V2--PAPNPM ἀσθενέω
περιεζώσαντο VAI-AMI3P- ζώννυμι περι
δύναμιν N3I-ASF--- δύναμις

1Sa 2:5
πλήρεις A3H-NPM--- πλήρης
ἄρτων N2--GPM--- ἄρτος
ἠλαττώθησαν VCI-API3P- ἀλάσσω
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πεινῶντες V3--PAPNPM πεινάω
παρῆκαν VAI-AAI3P- ἵημι παρα
γῆν N1--ASF--- γῆ
ὅτι C--------- ὅτι
στεῖρα N1A-NSF--- στεῖρα
ἔτεκεν VBI-AAI3S- τίκτω
ἑπτά M--------- ἑπτά
καὶ C--------- καί
ἡ RA--NSF--- ὁ
πολλὴ A1--NSF--- πολύς
ἐν P--------- ἐν
τέκνοις N2N-DPN--- τέκνον
ἠσθένησεν VAI-AAI3S- ἀσθενέω

1Sa 2:6
κύριος N2--NSM--- κύριος
θανατοῖ V4--PAI3S- θανατόω
καὶ C--------- καί
ζωογονεῖ V2--PAI3S- ζωογονέω
κατάγει V1--PAI3S- ἄγω κατα
εἰς P--------- εἰς
ᾅδου N1M-GSM--- ᾅδης
καὶ C--------- καί
ἀνάγει V1--PAI3S- ἄγω ἀνα

1Sa 2:7
κύριος N2--NSM--- κύριος
πτωχίζει V1--PAI--- πτωχίζω
καὶ C--------- καί
πλουτίζει V1--PAI3S- πλουτίζω
ταπεινοῖ V4--PAI3S- ταπεινόω
καὶ C--------- καί
ἀνυψοῖ V4--PAI3S- ὑψόω ἀνα

1Sa 2:8
ἀνιστᾷ V6--PAI3S- ἵστημι ἀνα
ἀπὸ P--------- ἀπό
γῆς N1--GSF--- γῆ
πένητα N3T-ASM--- πένης
καὶ C--------- καί
ἀπὸ P--------- ἀπό
κοπρίας N1A-GSF--- κοπρία
ἐγείρει V1--PAI3S- ἐγείρω
πτωχὸν N2--ASM--- πτωχός
καθίσαι VA--AAN--- ἵζω κατα
μετὰ P--------- μετά
δυναστῶν N1M-GPM--- δυνάστης
λαῶν N2--GPM--- λαός
καὶ C--------- καί
θρόνον N2--ASM--- θρόνος
δόξης N1S-GSF--- δόξα
κατακληρονομῶν V2--PAPNSM κληρονομέω κατα
αὐτοῖς RD--DPM--- αὐτός

1Sa 2:9
διδοὺς V8--PAPNSM δίδωμι
εὐχὴν N1--ASF--- εὐχή
τῷ RA--DSM--- ὁ
εὐχομένῳ V1--PMPDSM εὔχομαι
καὶ C--------- καί
εὐλόγησεν VA--AAI3S- εὐλογέω
ἔτη N3E-APN--- ἔτος
δικαίου A1A-GSM--- δίκαιος
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἐν P--------- ἐν
ἰσχύι N3U-DSF--- ἰσχύς
δυνατὸς A1--NSM--- δυνατός
ἀνήρ N3--NSM--- ἀνήρ

1Sa 2:10
κύριος N2--NSM--- κύριος
ἀσθενῆ A3H-APN--- ἀσθενής
ποιήσει VF--FAI3S- ποιέω
ἀντίδικον N2--ASM--- ἀντίδικος
αὐτοῦ RD--GSM--- αὐτός
κύριος N2--NSM--- κύριος
ἅγιος A1A-NSM--- ἅγιος
μὴ D--------- μή
καυχάσθω V3--PMD3S- καυχάομαι
ὁ RA--NSM--- ὁ
φρόνιμος A1B-NSM--- φρόνιμος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
φρονήσει N3I-DSF--- φρόνησις
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
μὴ D--------- μή
καυχάσθω V3--PMD3S- καυχάομαι
ὁ RA--NSM--- ὁ
δυνατὸς A1--NSM--- δυνατός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
δυνάμει N3I-DSF--- δύναμις
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
μὴ D--------- μή
καυχάσθω V3--PMD3S- καυχάομαι
ὁ RA--NSM--- ὁ
πλούσιος A1A-NSM--- πλούσιος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
πλούτῳ N2--DSM--- πλοῦτος
αὐτοῦ RD--GSM--- αὐτός
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
ἐν P--------- ἐν
τούτῳ RD--DSM--- οὗτος
καυχάσθω V3--PMD3S- καυχάομαι
ὁ RA--NSM--- ὁ
καυχώμενος V3--PMPNSM καυχάομαι
συνίειν V7--PAN--- ἵημι συν
καὶ C--------- καί
γινώσκειν V1--PAN--- γιγνώσκω
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
καὶ C--------- καί
ποιεῖν V2--PAN--- ποιέω
κρίμα N3M-ASN--- κρίμα
καὶ C--------- καί
δικαιοσύνην N1--ASF--- δικαιοσύνη
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
κύριος N2--NSM--- κύριος
ἀνέβη VZI-AAI3S- βαίνω ἀνα
εἰς P--------- εἰς
οὐρανοὺς N2--APM--- οὐρανός
καὶ C--------- καί
ἐβρόντησεν VAI-AAI3S- βροντάω
αὐτὸς RD--NSM--- αὐτός
κρινεῖ VF2-FAI3S- κρίνω
ἄκρα A1A-APN--- ἄκρος
γῆς N1--GSF--- γῆ
καὶ C--------- καί
δίδωσιν V8--PAI3S- δίδωμι
ἰσχὺν N3--ASF--- ἰσχύς
τοῖς RA--DPM--- ὁ
βασιλεῦσιν N3V-DPM--- βασιλεύς
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ὑψώσει VF--FAI3S- ὑψόω
κέρας N3T-ASN--- κέρας
χριστοῦ A1--GSM--- χριστός
αὐτοῦ RD--GSM--- αὐτός

1Sa 2:11
καὶ C--------- καί
κατέλιπον VBI-AAI3P- λείπω κατα
αὐτὸν RD--ASM--- αὐτός
ἐκεῖ D--------- ἐκεῖ
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἀπῆλθον VBI-AAI3P- ἔρχομαι ἀπο
εἰς P--------- εἰς
Αρμαθαιμ N---AS---- Αρμαθαιμ
καὶ C--------- καί
τὸ RA--NSN--- ὁ
παιδάριον N2N-NSN--- παιδάριον
ἦν V9--IAI3S- εἰμί
λειτουργῶν V2--PAPNSM λειτουργέω
τῷ RA--DSN--- ὁ
προσώπῳ N2N-DSN--- πρόσωπον
κυρίου N2--GSM--- κύριος
ἐνώπιον P--------- ἐνώπιον
Ηλι N---GSM--- Ηλι
τοῦ RA--GSM--- ὁ
ἱερέως N3V-GSM--- ἱερεύς

1Sa 2:12
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ηλι N---GSM--- Ηλι
τοῦ RA--GSM--- ὁ
ἱερέως N3V-GSM--- ἱερεύς
υἱοὶ N2--NPM--- υἱός
λοιμοὶ A1A-NPM--- λοιμός
οὐκ D--------- οὐ
εἰδότες VB--AAPNPM εἰδότες
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος

1Sa 2:13
καὶ C--------- καί
τὸ RA--ASN--- ὁ
δικαίωμα N3M-ASN--- δικαίωμα
τοῦ RA--GSM--- ὁ
ἱερέως N3V-GSM--- ἱερεύς
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
παντὸς A3--GSM--- πᾶς
τοῦ RA--GSM--- ὁ
θύοντος V1--PAPGSM θύω
καὶ C--------- καί
ἤρχετο V1I-IMI3S- ἄρχω
τὸ RA--ASN--- ὁ
παιδάριον N2N-ASN--- παιδάριον
τοῦ RA--GSM--- ὁ
ἱερέως N3V-GSM--- ἱερεύς
ὡς C--------- ὡς
ἂν X--------- ἄν
ἡψήθη VA--API3S- ἡψήθη
τὸ RA--ASN--- ὁ
κρέας N3--ASN--- κρέας
καὶ C--------- καί
κρεάγρα N1A-NSF--- κρεάγρα
τριόδους A1--ASM--- τριόδους
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χειρὶ N3--DSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός

1Sa 2:14
καὶ C--------- καί
ἐπάταξεν VAI-AAI3S- πατάσσω
αὐτὴν RD--ASF--- αὐτός
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λέβητα N3T-ASM--- λέβης
τὸν RA--ASM--- ὁ
μέγαν A1P-ASM--- μέγας
ἢ C--------- ἤ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
χαλκίον N2N-ASN--- χαλκίον
ἢ C--------- ἤ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
κύθραν N1A-ASF--- κύθρα
πᾶν A3--ASN--- πᾶς
ὃ RR--ASN--- ὅς
ἐὰν C--------- ἐάν
ἀνέβη VZI-AAI3S- βαίνω ἀνα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
κρεάγρᾳ N1A-DSF--- κρεάγρα
ἐλάμβανεν V1I-IAI3S- λαμβάνω
ἑαυτῷ RD--DSM--- ἑαυτοῦ
ὁ RA--NSM--- ὁ
ἱερεύς N3V-NSM--- ἱερεύς
κατὰ P--------- κατά
τάδε RD--NPN--- ὅδε
ἐποίουν V2I-IAI3P- ποιέω
παντὶ A3--DSM--- πᾶς
Ισραηλ N---DSM--- Ἰσραήλ
τοῖς RA--DPM--- ὁ
ἐρχομένοις V1--PMPDPM ἔρχομαι
θῦσαι VA--AAN--- θύω
κυρίῳ N2--DSM--- κύριος
ἐν P--------- ἐν
Σηλωμ N---DS---- Σηλωμ

1Sa 2:15
καὶ C--------- καί
πρὶν D--------- πρίν
θυμιαθῆναι VC--APN--- θυμιάω
τὸ RA--ASN--- ὁ
στέαρ N3--ASN--- στέαρ
ἤρχετο V1I-IMI3S- ἄρχω
τὸ RA--NSN--- ὁ
παιδάριον N2N-NSN--- παιδάριον
τοῦ RA--GSM--- ὁ
ἱερέως N3V-GSM--- ἱερεύς
καὶ C--------- καί
ἔλεγεν V1I-IAI3S- λέγω
τῷ RA--DSM--- ὁ
ἀνδρὶ N3--DSM--- ἀνήρ
τῷ RA--DSM--- ὁ
θύοντι V1--PAPDSM θύω
δὸς VO--AAD2S- δίδωμι
κρέας N3--ASN--- κρέας
ὀπτῆσαι VA--AAN--- ὀπτάω
τῷ RA--DSM--- ὁ
ἱερεῖ N3V-DSM--- ἱερεύς
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
λάβω VB--AAS1S- λαμβάνω
παρὰ P--------- παρά
σοῦ RP--GS---- σύ
ἑφθὸν A1--ASM--- ἑφθός
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
λέβητος N3T-GSM--- λέβης

1Sa 2:16
καὶ C--------- καί
ἔλεγεν V1I-IAI3S- λέγω
ὁ RA--NSM--- ὁ
ἀνὴρ N3--NSM--- ἀνήρ
ὁ RA--NSM--- ὁ
θύων V1--PAPNSM θύω
θυμιαθήτω VC--APD3S- θυμιάω
πρῶτον A1--ASMS-- πρῶτος
ὡς C--------- ὡς
καθήκει V1--PAI3S- ἥκω κατα
τὸ RA--ASN--- ὁ
στέαρ N3--ASN--- στέαρ
καὶ C--------- καί
λαβὲ VB--AAD2S- λαμβάνω
σεαυτῷ RD--DSM--- σεαυτοῦ
ἐκ P--------- ἐκ
πάντων A3--GPM--- πᾶς
ὧν RR--GPM--- ὅς
ἐπιθυμεῖ V2--PAI3S- θυμέω ἐπι
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
σου RP--GS---- σύ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
οὐχί D--------- οὐ
ὅτι C--------- ὅτι
νῦν D--------- νῦν
δώσεις VF--FAI2S- δίδωμι
καὶ C--------- καί
ἐὰν C--------- ἐάν
μή D--------- μή
λήμψομαι VF--FMI1S- λαμβάνω
κραταιῶς D--------- κραταιῶς

1Sa 2:17
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
ἡ RA--NSF--- ὁ
ἁμαρτία N1A-NSF--- ἁμαρτία
τῶν RA--GPN--- ὁ
παιδαρίων N2N-GPN--- παιδάριον
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
μεγάλη A1--NSF--- μέγας
σφόδρα D--------- σφόδρα
ὅτι C--------- ὅτι
ἠθέτουν V2I-IAI3P- ἀθετέω
τὴν RA--ASF--- ὁ
θυσίαν N1A-ASF--- θυσία
κυρίου N2--GSM--- κύριος

1Sa 2:18
καὶ C--------- καί
Σαμουηλ N---NSM--- Σαμουηλ
ἦν V9--IAI3S- εἰμί
λειτουργῶν V2--PAPNSM λειτουργέω
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
παιδάριον N2N-NSN--- παιδάριον
περιεζωσμένον VMI-XAPNSN ζώννυμι περι
εφουδ N---ASN--- εφουδ
βαρ A---ASN--- βαρ

1Sa 2:19
καὶ C--------- καί
διπλοΐδα N3D-ASF--- διπλοΐς
μικρὰν A1A-ASF--- μικρός
ἐποίησεν VAI-AAI3S- ποιέω
αὐτῷ RD--DSM--- αὐτός
ἡ RA--NSF--- ὁ
μήτηρ N3--NSF--- μήτηρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀνέφερεν V1I-IAI3S- φέρω ἀνα
αὐτῷ RD--DSM--- αὐτός
ἐξ P--------- ἐκ
ἡμερῶν N1A-GPF--- ἡμέρα
εἰς P--------- εἰς
ἡμέρας N1A-APF--- ἡμέρα
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἀναβαίνειν V1--PAN--- βαίνω ἀνα
αὐτὴν RD--ASF--- αὐτός
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
ἀνδρὸς N3--GSM--- ἀνήρ
αὐτῆς RD--GSF--- αὐτός
θῦσαι VA--AAN--- θύω
τὴν RA--ASF--- ὁ
θυσίαν N1A-ASF--- θυσία
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα

1Sa 2:20
καὶ C--------- καί
εὐλόγησεν VA--AAI3S- εὐλογέω
Ηλι N---NSM--- Ηλι
τὸν RA--ASM--- ὁ
Ελκανα N---ASM--- Ελκανα
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
λέγων V1--PAPNSM λέγω
ἀποτείσαι VA--AAN--- τείνω ἀπο
σοι RP--DS---- σύ
κύριος N2--NSM--- κύριος
σπέρμα N3M-ASN--- σπέρμα
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
γυναικὸς N3K-GSF--- γυνή
ταύτης RD--GSF--- οὗτος
ἀντὶ P--------- ἀντί
τοῦ RA--GSN--- ὁ
χρέους N3E-GSN--- χρέους
οὗ RR--GSN--- ὅς
ἔχρησας VAI-AAI2S- χράομαι
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
καὶ C--------- καί
ἀπῆλθεν VBI-AAI3S- ἔρχομαι ἀπο
ὁ RA--NSM--- ὁ
ἄνθρωπος N2--NSM--- ἄνθρωπος
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
αὐτοῦ RD--GSM--- αὐτός

1Sa 2:21
καὶ C--------- καί
ἐπεσκέψατο VAI-AMI3S- σκέπτομαι ἐπι
κύριος N2--NSM--- κύριος
τὴν RA--ASF--- ὁ
Ανναν N1A-ASF--- Ανναν
καὶ C--------- καί
ἔτεκεν VBI-AAI3S- τίκτω
ἔτι D--------- ἔτι
τρεῖς A3--NPM--- τρεῖς
υἱοὺς N2--APM--- υἱός
καὶ C--------- καί
δύο M--------- δύο
θυγατέρας N3--APF--- θυγάτηρ
καὶ C--------- καί
ἐμεγαλύνθη VCI-API3S- μεγαλύνω
τὸ RA--NSN--- ὁ
παιδάριον N2N-NSN--- παιδάριον
Σαμουηλ N---NSM--- Σαμουηλ
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος

1Sa 2:22
καὶ C--------- καί
Ηλι N---NSM--- Ηλι
πρεσβύτης N1M-NSM--- πρεσβύτης
σφόδρα D--------- σφόδρα
καὶ C--------- καί
ἤκουσεν VAI-AAI3S- ἀκούω
ἃ RR--APN--- ὅς
ἐποίουν V2I-IAI3P- ποιέω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ

1Sa 2:23
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
ποιεῖτε V2--PAI2P- ποιέω
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
τοῦτο RD--ASN--- οὗτος
ὃ RR--ASN--- ὅς
ἐγὼ RP--NS---- ἐγώ
ἀκούω V1--PAI1S- ἀκούω
ἐκ P--------- ἐκ
στόματος N3M-GSN--- στόμα
παντὸς A3--GSM--- πᾶς
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
κυρίου N2--GSM--- κύριος

1Sa 2:24
μή D--------- μή
τέκνα N2N-APN--- τέκνον
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἀγαθὴ A1--NSF--- ἀγαθός
ἡ RA--NSF--- ὁ
ἀκοή N1--NSF--- ἀκοή
ἣν RR--ASF--- ὅς
ἐγὼ RP--NS---- ἐγώ
ἀκούω V1--PAI1S- ἀκούω
μὴ D--------- μή
ποιεῖτε V2--PAI2P- ποιέω
οὕτως D--------- οὕτως
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἀγαθαὶ A1--NPF--- ἀγαθός
αἱ RA--NPF--- ὁ
ἀκοαί N1--NPF--- ἀκοή
ἃς RR--APF--- ὅς
ἐγὼ RP--NS---- ἐγώ
ἀκούω V1--PAI1S- ἀκούω
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
δουλεύειν V1--PAN--- δουλεύω
λαὸν N2--ASM--- λαός
θεῷ N2--DSM--- θεός

1Sa 2:25
ἐὰν C--------- ἐάν
ἁμαρτάνων V1--PAPNSM ἁμαρτάνω
ἁμάρτῃ VB--AAS3S- ἁμαρτάνω
ἀνὴρ N3--NSM--- ἀνήρ
εἰς P--------- εἰς
ἄνδρα N3--ASM--- ἀνήρ
καὶ C--------- καί
προσεύξονται VF--FMI3P- εὔχομαι προς
ὑπὲρ P--------- ὑπέρ
αὐτοῦ RD--GSM--- αὐτός
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
καὶ C--------- καί
ἐὰν C--------- ἐάν
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
ἁμάρτῃ VB--AAS3S- ἁμαρτάνω
τίς RI--ASN--- τίς
προσεύξεται VF--FMI3S- εὔχομαι προς
ὑπὲρ P--------- ὑπέρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἤκουον V1I-IAI3P- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
βουλόμενος V1--PMPNSM βούλομαι
ἐβούλετο V1I-IMI3S- βούλομαι
κύριος N2--NSM--- κύριος
διαφθεῖραι VA--AAN--- φθείρω δια
αὐτούς RD--APM--- αὐτός

1Sa 2:26
καὶ C--------- καί
τὸ RA--NSN--- ὁ
παιδάριον N2N-NSN--- παιδάριον
Σαμουηλ N---NSM--- Σαμουηλ
ἐπορεύετο V1I-IMI3S- πορεύομαι
καὶ C--------- καί
ἐμεγαλύνετο V1I-IMI3S- μεγαλύνω
καὶ C--------- καί
ἀγαθὸν A1--ASM--- ἀγαθός
καὶ C--------- καί
μετὰ P--------- μετά
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
μετὰ P--------- μετά
ἀνθρώπων N2--GPM--- ἄνθρωπος

1Sa 2:27
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
ἄνθρωπος N2--NSM--- ἄνθρωπος
θεοῦ N2--GSM--- θεός
πρὸς P--------- πρός
Ηλι N---ASM--- Ηλι
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἀποκαλυφθεὶς VV--APPNSM καλύπτω ἀπο
ἀπεκαλύφθην VVI-AMI1S- καλύπτω ἀπο
πρὸς P--------- πρός
οἶκον N2--ASM--- οἶκος
πατρός N3--GSM--- πατήρ
σου RP--GS---- σύ
ὄντων V9--PAPGPM εἰμί
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Αἰγύπτῳ N2--DSF--- Αἴγυπτος
δούλων N2--GPM--- δοῦλος
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
Φαραω N---GSM--- Φαραώ

1Sa 2:28
καὶ C--------- καί
ἐξελεξάμην VAI-AMI1S- λέγω ἐκ
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
σου RP--GS---- σύ
ἐκ P--------- ἐκ
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
σκήπτρων N2N-GPN--- σκῆπτρον
